File Path,Line Number,Type,Name
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\training\pdl_trainer.py,36,attribute,sched_D
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\training\trainer.py,174,variable,model_path
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\training\trainer.py,272,variable,task_name
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\training\training_helpers.py,33,function,_add_task_head
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\constraint_losses.py,41,variable,DEFAULT_LAMBDAS
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\fsnet_utils.py,118,function,lbfgs_solve
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\logger_plotter.py,153,variable,num_outputs
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\logger_plotter.py,385,variable,pg_test
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\logger_plotter.py,546,variable,max_max_real
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\repro.py,9,attribute,deterministic
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\repro.py,10,attribute,benchmark
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\repro.py,13,function,worker_init_fn
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\repro.py,13,variable,worker_id
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\ybus_builder.py,88,variable,idx_to_bus
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\ybus_builder.py,91,variable,idx_to_branch
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\ybus_builder.py,92,variable,branch_to_idx
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\ybus_builder.py,135,variable,Y_branch
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\Dyn_DNN4OPF\utils\ybus_builder.py,136,variable,thermal_limit
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\main.py,180,function,get_default_mask
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\main.py,238,function,_parse_keyvals
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\penalty_nn\training\penalty_trainer.py,59,variable,total_train_loss
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,2,function,train_penalty_progressive
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,115,function,train_penalty_mtl
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,213,function,load_opf_with_batch5
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,250,function,load_opf_batch_by_index
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,281,function,flatten_constraint_bounds
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,300,function,auto_train_tasks
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,349,function,_estimate_importance
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,395,function,_average_mse
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,412,function,thermal_limit_loss
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,442,function,inequality_constraint_violation
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,463,function,plot_power_balance_histograms
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,506,function,plot_power_balance
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,543,function,save_l2_power_residuals_per_bus_to_csv
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,582,function,save_l2_power_residuals_per_sample_to_csv
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,611,variable,n_samples
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,638,function,plot_l2_power_residuals_per_sample_from_csv_pdf
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,694,function,plot_constraint_scatter
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,765,function,compute_and_save_inequality_constraints
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,839,function,compute_mean_inequality_violation_per_sample
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,879,function,save_l2_inequality_constraints_per_sample
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,941,function,plot_l2_inequality_constraints_from_csv
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,984,function,plot_sg_vector_deviation
D:\Internship\IITR Sem 2 Summer\AAAI Conference work\Dyn_DNN4OPF\unused.py,1034,function,plot_gap_objective
