task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc
simulation,1,ablation_stl,stl_ablation_r01_d09_w0033_33_33_33_33_33_33_33_33_33,"[33, 33, 33, 33, 33, 33, 33, 33, 33]",9901,1.1228994131088257,9,19,1.235013723373413,
simulation,2,ablation_stl,stl_ablation_r02_d09_w0033_33_33_33_33_33_33_33_33_33,"[33, 33, 33, 33, 33, 33, 33, 33, 33]",9901,0.007406431715935469,329,339,0.01989809051156044,
simulation,3,ablation_stl,stl_ablation_r03_d09_w0033_33_33_33_33_33_33_33_33_33,"[33, 33, 33, 33, 33, 33, 33, 33, 33]",9901,1.1226669549942017,14,24,1.2353359460830688,
simulation,4,ablation_stl,stl_ablation_r04_d09_w0033_33_33_33_33_33_33_33_33_33,"[33, 33, 33, 33, 33, 33, 33, 33, 33]",9901,0.019871698692440987,100,110,0.07654160261154175,
simulation,5,ablation_stl,stl_ablation_r05_d09_w0033_33_33_33_33_33_33_33_33_33,"[33, 33, 33, 33, 33, 33, 33, 33, 33]",9901,0.03729349747300148,87,97,0.07280866801738739,
