[2026-06-13 20:31:47] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 20:31:47] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_114_d2_w58/training_log.txt
[2026-06-13 20:31:47] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_114_d2_w58/training_stats.csv
[2026-06-13 20:31:47] Epoch 1 | architecture=[58, 57] train_loss=0.037286 val_loss=0.028548 best=0.028548 es=0/10
[2026-06-13 20:31:48] Epoch 1 | architecture=[58, 57] train_loss=0.012193 val_loss=0.058487 best=0.058487 es=0/10
[2026-06-13 20:31:48] Epoch 1 | architecture=[58, 57] train_loss=0.015461 val_loss=0.045037 best=0.045037 es=0/10
[2026-06-13 20:31:48] Epoch 1 | architecture=[58, 57] train_loss=0.009347 val_loss=0.024187 best=0.024187 es=0/10
[2026-06-13 20:31:48] Epoch 1 | architecture=[58, 57] train_loss=0.006789 val_loss=0.013968 best=0.013968 es=0/10
[2026-06-13 20:31:48] Epoch 1 | architecture=[58, 57] train_loss=0.007238 val_loss=0.012394 best=0.012394 es=0/10
[2026-06-13 20:31:49] Epoch 1 | architecture=[58, 57] train_loss=0.005998 val_loss=0.014127 best=0.014127 es=0/10
[2026-06-13 20:31:49] Epoch 1 | architecture=[58, 57] train_loss=0.005659 val_loss=0.016360 best=0.016360 es=0/10
[2026-06-13 20:31:49] Epoch 1 | architecture=[58, 57] train_loss=0.005560 val_loss=0.017771 best=0.017771 es=0/10
[2026-06-13 20:31:49] Epoch 1 | architecture=[58, 57] train_loss=0.005186 val_loss=0.014405 best=0.014405 es=0/10
[2026-06-13 20:31:50] Epoch 1 | architecture=[58, 57] train_loss=0.004885 val_loss=0.009194 best=0.009194 es=0/10
[2026-06-13 20:31:50] Epoch 1 | architecture=[58, 57] train_loss=0.003765 val_loss=0.007294 best=0.007294 es=0/10
[2026-06-13 20:31:50] Epoch 1 | architecture=[58, 57] train_loss=0.004023 val_loss=0.006741 best=0.006741 es=0/10
[2026-06-13 20:31:50] Epoch 1 | architecture=[58, 57] train_loss=0.003831 val_loss=0.006539 best=0.006539 es=0/10
[2026-06-13 20:31:50] Epoch 1 | architecture=[58, 57] train_loss=0.003461 val_loss=0.005882 best=0.005882 es=0/10
[2026-06-13 20:31:50] Epoch 1 | architecture=[58, 57] train_loss=0.003070 val_loss=0.005042 best=0.005042 es=0/10
[2026-06-13 20:31:51] Epoch 1 | architecture=[58, 57] train_loss=0.003364 val_loss=0.004140 best=0.004140 es=0/10
[2026-06-13 20:31:51] Epoch 1 | architecture=[58, 57] train_loss=0.003674 val_loss=0.003425 best=0.003425 es=0/10
[2026-06-13 20:31:51] Epoch 1 | architecture=[58, 57] train_loss=0.002448 val_loss=0.003412 best=0.003412 es=0/10
[2026-06-13 20:31:51] Epoch 1 | architecture=[58, 57] train_loss=0.002717 val_loss=0.003329 best=0.003329 es=0/10
[2026-06-13 20:31:52] Epoch 1 | architecture=[58, 57] train_loss=0.002317 val_loss=0.003410 best=0.003410 es=0/10
[2026-06-13 20:31:52] Epoch 1 | architecture=[58, 57] train_loss=0.003915 val_loss=0.003387 best=0.003387 es=0/10
[2026-06-13 20:31:52] Epoch 1 | architecture=[58, 57] train_loss=0.002649 val_loss=0.003633 best=0.003633 es=0/10
[2026-06-13 20:31:52] Epoch 1 | architecture=[58, 57] train_loss=0.002616 val_loss=0.003478 best=0.003478 es=0/10
[2026-06-13 20:31:53] Epoch 1 | architecture=[58, 57] train_loss=0.003047 val_loss=0.003248 best=0.003248 es=0/10
[2026-06-13 20:31:53] Epoch 1 | architecture=[58, 57] train_loss=0.002976 val_loss=0.002984 best=0.002984 es=0/10
