task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail,consecutive_fail,width_stage_improved,width_stage_margin_fail,width_stage_anchor_val,width_stage_margin_pct
autoencoding,ae_depth_to_width,13,cand_013_d8_w2,"[2, 2, 2, 2, 2, 2, 2, 2]",0.9253246543672158,9,14,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_013_d8_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_013_d8_w2/checkpoint_last.pt,True,depth,0,0,0,False,0,0.9493515955429496,
autoencoding,ae_depth_to_width,14,cand_014_d9_w2,"[2, 2, 2, 2, 2, 2, 2, 2, 2]",0.9509637419491064,27,32,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_014_d9_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_014_d9_w2/checkpoint_last.pt,False,depth,0,1,1,False,0,0.9493515955429496,
autoencoding,ae_depth_to_width,15,cand_015_d10_w2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.928946127274125,35,40,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_015_d10_w2/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_015_d10_w2/checkpoint_last.pt,False,depth,0,2,2,False,0,0.9493515955429496,
autoencoding,ae_depth_to_width,16,cand_016_d10_w3,"[3, 2, 2, 2, 2, 2, 2, 2, 2, 2]",0.9285432799679345,17,22,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_016_d10_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_016_d10_w3/checkpoint_last.pt,False,width,0,2,2,False,0,0.9493515955429496,
autoencoding,ae_depth_to_width,17,cand_017_d10_w3,"[3, 3, 2, 2, 2, 2, 2, 2, 2, 2]",0.9320031500055946,66,71,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_017_d10_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_017_d10_w3/checkpoint_last.pt,False,width,0,2,2,False,0,0.9493515955429496,
autoencoding,ae_depth_to_width,18,cand_018_d10_w3,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 2]",0.9305103115919661,9,14,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_018_d10_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_018_d10_w3/checkpoint_last.pt,False,width,0,2,2,False,0,0.9493515955429496,
autoencoding,ae_depth_to_width,19,cand_019_d10_w3,"[3, 3, 3, 3, 2, 2, 2, 2, 2, 2]",0.9298693016165044,8,13,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_019_d10_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_019_d10_w3/checkpoint_last.pt,False,width,0,2,2,False,0,0.9493515955429496,
autoencoding,ae_depth_to_width,20,cand_020_d10_w3,"[3, 3, 3, 3, 3, 2, 2, 2, 2, 2]",0.937888139967553,47,52,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_020_d10_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_020_d10_w3/checkpoint_last.pt,False,width,0,2,2,False,0,0.9493515955429496,
autoencoding,ae_depth_to_width,21,cand_021_d10_w3,"[3, 3, 3, 3, 3, 3, 2, 2, 2, 2]",0.9312812458754623,14,19,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_021_d10_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_021_d10_w3/checkpoint_last.pt,False,width,0,2,2,False,0,0.9493515955429496,
autoencoding,ae_depth_to_width,22,cand_022_d10_w3,"[3, 3, 3, 3, 3, 3, 3, 2, 2, 2]",0.9287326279647732,21,26,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_022_d10_w3/checkpoint_best.pt,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_022_d10_w3/checkpoint_last.pt,False,width,0,2,2,False,0,0.9493515955429496,
