[2026-05-19 02:00:43] Initialized ContinuousLogger for representation_ae_depth_to_width (Mode: ae_depth_to_width)
[2026-05-19 02:00:43] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_000_d1_w1/training_log.txt
[2026-05-19 02:00:43] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_000_d1_w1/training_stats.csv
[2026-05-19 02:00:43] [CANDIDATE] task=representation phase=ae_depth_to_width index=0 search_phase=depth architecture=[1]
[2026-05-19 02:01:52] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=25 architecture=[1] train_loss=1.195704 val_loss=1.191225 best=1.191225 es=0/5
[2026-05-19 02:01:54] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=26 architecture=[1] train_loss=1.188377 val_loss=1.184832 best=1.184832 es=0/5
[2026-05-19 02:01:56] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=27 architecture=[1] train_loss=1.181399 val_loss=1.177232 best=1.177232 es=0/5
[2026-05-19 02:01:59] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=28 architecture=[1] train_loss=1.174601 val_loss=1.170577 best=1.170577 es=0/5
[2026-05-19 02:02:01] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=29 architecture=[1] train_loss=1.168064 val_loss=1.164459 best=1.164459 es=0/5
[2026-05-19 02:02:05] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=30 architecture=[1] train_loss=1.161721 val_loss=1.158493 best=1.158493 es=0/5
[2026-05-19 02:02:07] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=31 architecture=[1] train_loss=1.155554 val_loss=1.152406 best=1.152406 es=0/5
[2026-05-19 02:02:09] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=32 architecture=[1] train_loss=1.149662 val_loss=1.146668 best=1.146668 es=0/5
[2026-05-19 02:02:12] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=33 architecture=[1] train_loss=1.143951 val_loss=1.140757 best=1.140757 es=0/5
[2026-05-19 02:02:14] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=34 architecture=[1] train_loss=1.138464 val_loss=1.135514 best=1.135514 es=0/5
