neurons,best_acc,best_val,depth_at_best,global_epoch_at_best,widths_at_best,__interp_neurons_from__
30,0.4962222222222222,1.396104888888889,2,251.5555555555556,"[10, 10]",
60,0.5940222222222222,1.1465844444444444,2,449.1111111111112,"[20, 20]",
90,0.6413555555555556,1.0047182222222222,2,768.5555555555557,"[30, 30]",
240,0.7687333333333333,0.6719768888888888,3,1798.2222222222224,"[62, 62, 62]",
300,0.7819777777777778,0.6452782222222222,4,2047.6666666666663,"[72, 72, 72, 72]",
