[2026-05-20 11:07:19] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 11:07:19] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_002_d1_w3/training_log.txt
[2026-05-20 11:07:19] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_002_d1_w3/training_stats.csv
[2026-05-20 11:07:19] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=2 search_phase=width architecture=[3]
[2026-05-20 11:07:22] [autoencoding][ae_width_to_depth][cand_002_d1_w3] epoch=1 architecture=[3] train_loss=0.932490 val_loss=0.914932 best=0.897626 es=0/5
[2026-05-20 11:07:25] [autoencoding][ae_width_to_depth][cand_002_d1_w3] epoch=2 architecture=[3] train_loss=0.909641 val_loss=0.908115 best=0.897626 es=0/5
[2026-05-20 11:07:29] [autoencoding][ae_width_to_depth][cand_002_d1_w3] epoch=3 architecture=[3] train_loss=0.896112 val_loss=0.900515 best=0.897626 es=0/5
[2026-05-20 11:07:32] [autoencoding][ae_width_to_depth][cand_002_d1_w3] epoch=4 architecture=[3] train_loss=0.889054 val_loss=0.895482 best=0.895482 es=0/5
[2026-05-20 11:07:35] [autoencoding][ae_width_to_depth][cand_002_d1_w3] epoch=5 architecture=[3] train_loss=0.885292 val_loss=0.892618 best=0.892618 es=0/5
[2026-05-20 11:07:38] [autoencoding][ae_width_to_depth][cand_002_d1_w3] epoch=6 architecture=[3] train_loss=0.883047 val_loss=0.890722 best=0.890722 es=0/5
[2026-05-20 11:07:41] [autoencoding][ae_width_to_depth][cand_002_d1_w3] epoch=7 architecture=[3] train_loss=0.881593 val_loss=0.889407 best=0.889407 es=0/5
[2026-05-20 11:07:44] [autoencoding][ae_width_to_depth][cand_002_d1_w3] epoch=8 architecture=[3] train_loss=0.880514 val_loss=0.888373 best=0.888373 es=0/5
[2026-05-20 11:07:47] [autoencoding][ae_width_to_depth][cand_002_d1_w3] epoch=9 architecture=[3] train_loss=0.879650 val_loss=0.887564 best=0.887564 es=0/5
[2026-05-20 11:07:50] [autoencoding][ae_width_to_depth][cand_002_d1_w3] epoch=10 architecture=[3] train_loss=0.878941 val_loss=0.886854 best=0.886854 es=0/5
