task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc,source_root
classification,1,,stl_ablation_r02_d03_w0055_55_55_55,"[55, 55, 55]",9907,0.28215357562455023,107,117,0.27961575599634364,0.8887626718989347,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r03_d03_w0055_55_55_55,"[55, 55, 55]",9907,0.2741084097338651,144,154,0.27853761446330105,0.8879021015128827,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r04_d03_w0055_55_55_55,"[55, 55, 55]",9907,0.2859737187825563,102,112,0.3041246066500555,0.8756992134386672,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r05_d03_w0055_55_55_55,"[55, 55, 55]",9907,0.28895719827110905,131,141,0.3145499285151816,0.8694686838436516,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r03_d05_w0041_41_41_41_41_41,"[41, 41, 41, 41, 41]",9847,0.2669428477642083,82,92,0.26493054277675165,0.8947694531935767,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r04_d05_w0041_41_41_41_41_41,"[41, 41, 41, 41, 41]",9847,0.24806855428063113,149,159,0.2566672001321973,0.8979535636219687,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r05_d05_w0041_41_41_41_41_41,"[41, 41, 41, 41, 41]",9847,0.26317204077747186,125,135,0.27283702990860664,0.8915681313574637,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r03_d06_w0037_37_37_37_37_37_37,"[37, 37, 37, 37, 37, 37]",9775,0.32572367092122373,38,48,0.32065959012477,0.8685736906421576,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r04_d06_w0037_37_37_37_37_37_37,"[37, 37, 37, 37, 37, 37]",9775,0.2765955201403963,89,99,0.2799100650832878,0.8885217121908401,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r05_d06_w0037_37_37_37_37_37_37,"[37, 37, 37, 37, 37, 37]",9775,0.25656282808357556,132,142,0.26070739264153864,0.89581934906456,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r01_d08_w0032_32_32_32_32_32_32_32_32,"[32, 32, 32, 32, 32, 32, 32, 32]",9895,0.2650190904531086,94,104,0.2609928992885671,0.897695392506153,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r02_d08_w0032_32_32_32_32_32_32_32_32,"[32, 32, 32, 32, 32, 32, 32, 32]",9895,0.2645649708126156,117,127,0.2649607647060517,0.894872721639903,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r03_d08_w0032_32_32_32_32_32_32_32_32,"[32, 32, 32, 32, 32, 32, 32, 32]",9895,0.25485800106099354,132,142,0.2553149567016876,0.8991411507547202,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r04_d08_w0032_32_32_32_32_32_32_32_32,"[32, 32, 32, 32, 32, 32, 32, 32]",9895,0.26406175448737296,98,108,0.26240043054738904,0.8949243558630661,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r05_d08_w0032_32_32_32_32_32_32_32_32,"[32, 32, 32, 32, 32, 32, 32, 32]",9895,0.25227503395661627,139,149,0.24668623229881417,0.904063613362937,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r01_d09_w0030_30_30_30_30_30_30_30_30_30,"[30, 30, 30, 30, 30, 30, 30, 30, 30]",9847,0.26858417711882326,138,148,0.26802045332478797,0.8947522417858557,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r02_d09_w0030_30_30_30_30_30_30_30_30_30,"[30, 30, 30, 30, 30, 30, 30, 30, 30]",9847,0.29338884858832226,71,81,0.291381407234624,0.8853203903547271,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r03_d09_w0030_30_30_30_30_30_30_30_30_30,"[30, 30, 30, 30, 30, 30, 30, 30, 30]",9847,0.30689357756097246,48,58,0.3026814769503192,0.8796062029913426,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r04_d09_w0030_30_30_30_30_30_30_30_30_30,"[30, 30, 30, 30, 30, 30, 30, 30, 30]",9847,0.2743427811508156,94,104,0.27208570787378156,0.8943735908159929,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
classification,1,,stl_ablation_r05_d09_w0030_30_30_30_30_30_30_30_30_30,"[30, 30, 30, 30, 30, 30, 30, 30, 30]",9847,0.261053274998995,143,153,0.26247172161729787,0.895836560472281,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
