[2026-05-20 11:52:23] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 11:52:23] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_017_d1_w18/training_log.txt
[2026-05-20 11:52:23] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_017_d1_w18/training_stats.csv
[2026-05-20 11:52:23] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=17 search_phase=width architecture=[18]
[2026-05-20 11:52:26] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=1 architecture=[18] train_loss=0.541591 val_loss=0.541332 best=0.535962 es=0/5
[2026-05-20 11:52:28] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=2 architecture=[18] train_loss=0.534627 val_loss=0.538400 best=0.535962 es=0/5
[2026-05-20 11:52:30] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=3 architecture=[18] train_loss=0.531100 val_loss=0.535825 best=0.535825 es=0/5
[2026-05-20 11:52:33] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=4 architecture=[18] train_loss=0.528876 val_loss=0.533896 best=0.533896 es=0/5
[2026-05-20 11:52:35] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=5 architecture=[18] train_loss=0.527160 val_loss=0.532259 best=0.532259 es=0/5
[2026-05-20 11:52:37] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=6 architecture=[18] train_loss=0.525575 val_loss=0.530719 best=0.530719 es=0/5
[2026-05-20 11:52:40] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=7 architecture=[18] train_loss=0.524045 val_loss=0.529223 best=0.529223 es=0/5
[2026-05-20 11:52:42] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=8 architecture=[18] train_loss=0.522568 val_loss=0.527815 best=0.527815 es=0/5
[2026-05-20 11:52:44] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=9 architecture=[18] train_loss=0.521168 val_loss=0.526479 best=0.526479 es=0/5
[2026-05-20 11:52:47] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=10 architecture=[18] train_loss=0.519821 val_loss=0.525174 best=0.525174 es=0/5
[2026-05-20 11:52:49] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=11 architecture=[18] train_loss=0.518547 val_loss=0.523998 best=0.523998 es=0/5
[2026-05-20 11:52:51] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=12 architecture=[18] train_loss=0.517404 val_loss=0.522997 best=0.522997 es=0/5
[2026-05-20 11:52:53] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=13 architecture=[18] train_loss=0.516374 val_loss=0.522076 best=0.522076 es=0/5
[2026-05-20 11:52:56] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=14 architecture=[18] train_loss=0.515493 val_loss=0.521227 best=0.521227 es=0/5
[2026-05-20 11:52:58] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=15 architecture=[18] train_loss=0.514704 val_loss=0.520534 best=0.520534 es=0/5
[2026-05-20 11:53:00] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=16 architecture=[18] train_loss=0.514007 val_loss=0.519964 best=0.519964 es=0/5
[2026-05-20 11:53:03] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=17 architecture=[18] train_loss=0.513440 val_loss=0.519481 best=0.519481 es=0/5
[2026-05-20 11:53:05] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=18 architecture=[18] train_loss=0.512998 val_loss=0.519079 best=0.519079 es=0/5
[2026-05-20 11:53:07] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=19 architecture=[18] train_loss=0.512616 val_loss=0.518726 best=0.518726 es=0/5
[2026-05-20 11:53:10] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=20 architecture=[18] train_loss=0.512292 val_loss=0.518471 best=0.518471 es=0/5
[2026-05-20 11:53:12] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=21 architecture=[18] train_loss=0.512046 val_loss=0.518291 best=0.518291 es=0/5
[2026-05-20 11:53:14] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=22 architecture=[18] train_loss=0.511851 val_loss=0.518122 best=0.518122 es=0/5
[2026-05-20 11:53:17] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=23 architecture=[18] train_loss=0.511695 val_loss=0.517951 best=0.517951 es=0/5
[2026-05-20 11:53:19] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=24 architecture=[18] train_loss=0.511562 val_loss=0.517848 best=0.517848 es=0/5
[2026-05-20 11:53:21] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=25 architecture=[18] train_loss=0.511450 val_loss=0.517766 best=0.517848 es=1/5
[2026-05-20 11:53:24] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=26 architecture=[18] train_loss=0.511344 val_loss=0.517689 best=0.517689 es=0/5
[2026-05-20 11:53:26] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=27 architecture=[18] train_loss=0.511266 val_loss=0.517602 best=0.517689 es=1/5
[2026-05-20 11:53:28] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=28 architecture=[18] train_loss=0.511202 val_loss=0.517585 best=0.517585 es=0/5
[2026-05-20 11:53:30] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=29 architecture=[18] train_loss=0.511137 val_loss=0.517560 best=0.517585 es=1/5
[2026-05-20 11:53:33] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=30 architecture=[18] train_loss=0.511082 val_loss=0.517511 best=0.517585 es=2/5
[2026-05-20 11:53:35] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=31 architecture=[18] train_loss=0.511019 val_loss=0.517456 best=0.517456 es=0/5
[2026-05-20 11:53:37] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=32 architecture=[18] train_loss=0.510957 val_loss=0.517433 best=0.517456 es=1/5
[2026-05-20 11:53:40] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=33 architecture=[18] train_loss=0.510930 val_loss=0.517383 best=0.517456 es=2/5
[2026-05-20 11:53:42] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=34 architecture=[18] train_loss=0.510893 val_loss=0.517331 best=0.517331 es=0/5
[2026-05-20 11:53:44] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=35 architecture=[18] train_loss=0.510852 val_loss=0.517290 best=0.517331 es=1/5
[2026-05-20 11:53:47] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=36 architecture=[18] train_loss=0.510792 val_loss=0.517290 best=0.517331 es=2/5
[2026-05-20 11:53:49] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=37 architecture=[18] train_loss=0.510748 val_loss=0.517261 best=0.517331 es=3/5
[2026-05-20 11:53:51] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=38 architecture=[18] train_loss=0.510738 val_loss=0.517207 best=0.517207 es=0/5
[2026-05-20 11:53:54] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=39 architecture=[18] train_loss=0.510710 val_loss=0.517232 best=0.517207 es=1/5
[2026-05-20 11:53:56] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=40 architecture=[18] train_loss=0.510696 val_loss=0.517187 best=0.517207 es=2/5
[2026-05-20 11:53:58] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=41 architecture=[18] train_loss=0.510647 val_loss=0.517179 best=0.517207 es=3/5
[2026-05-20 11:54:01] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=42 architecture=[18] train_loss=0.510600 val_loss=0.517153 best=0.517207 es=4/5
[2026-05-20 11:54:03] [autoencoding][ae_width_to_depth][cand_017_d1_w18] epoch=43 architecture=[18] train_loss=0.510562 val_loss=0.517131 best=0.517207 es=5/5
