task,phase,phase_type,best_val,best_epoch,final_epoch,test_loss,test_acc,best_checkpoint,candidate_dir
simulation,ae_width_only,width_only,0.0017901548417285085,32,32,,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/simulation_d2/simulation/ae_width_only/cand_128_d2_w65/checkpoint_best.pt,cand_128_d2_w65
simulation,stl_from_ae_width_only,stl_refit,0.011010452173650265,214,224,0.02779526263475418,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/simulation_d2/simulation/stl_from_ae_width_only/cand_000_d2_w65/checkpoint_best.pt,cand_000_d2_w65
