[2026-06-13 21:50:50] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 21:50:50] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_879_d7_w126/training_log.txt
[2026-06-13 21:50:50] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_879_d7_w126/training_stats.csv
[2026-06-13 21:50:50] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.003315 val_loss=0.006499 best=0.006499 es=0/10
[2026-06-13 21:50:50] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.002461 val_loss=0.000990 best=0.000990 es=0/10
[2026-06-13 21:50:50] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.003861 val_loss=0.001283 best=0.001283 es=0/10
[2026-06-13 21:50:50] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.002019 val_loss=0.001239 best=0.001239 es=0/10
[2026-06-13 21:50:51] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.003787 val_loss=0.002971 best=0.002971 es=0/10
[2026-06-13 21:50:51] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.001859 val_loss=0.001306 best=0.001306 es=0/10
[2026-06-13 21:50:51] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.001168 val_loss=0.000488 best=0.000488 es=0/10
[2026-06-13 21:50:51] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.001200 val_loss=0.000563 best=0.000563 es=0/10
[2026-06-13 21:50:51] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.002268 val_loss=0.000527 best=0.000527 es=0/10
[2026-06-13 21:50:52] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.004434 val_loss=0.000831 best=0.000831 es=0/10
[2026-06-13 21:50:52] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.005431 val_loss=0.001148 best=0.001148 es=0/10
[2026-06-13 21:50:52] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.002061 val_loss=0.000192 best=0.000192 es=0/10
[2026-06-13 21:50:52] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.003413 val_loss=0.000679 best=0.000679 es=0/10
[2026-06-13 21:50:53] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.001313 val_loss=0.000492 best=0.000492 es=0/10
[2026-06-13 21:50:53] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.002819 val_loss=0.000382 best=0.000382 es=0/10
[2026-06-13 21:50:53] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.002328 val_loss=0.000653 best=0.000653 es=0/10
[2026-06-13 21:50:53] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.000963 val_loss=0.000205 best=0.000205 es=0/10
[2026-06-13 21:50:53] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.000515 val_loss=0.000293 best=0.000293 es=0/10
[2026-06-13 21:50:54] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.001475 val_loss=0.000377 best=0.000377 es=0/10
[2026-06-13 21:50:54] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.001151 val_loss=0.000250 best=0.000250 es=0/10
[2026-06-13 21:50:54] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.001693 val_loss=0.000205 best=0.000205 es=0/10
[2026-06-13 21:50:54] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 124] train_loss=0.001135 val_loss=0.000139 best=0.000139 es=0/10
