task,phase,phase_type,best_val,best_epoch,final_epoch,test_loss,test_acc,best_checkpoint,candidate_dir
denoising,ae_width_only,width_only,0.0008592858294720129,15,15,,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d5/denoising/ae_width_only/cand_797_d5_w161/checkpoint_best.pt,cand_797_d5_w161
denoising,stl_from_ae_width_only,stl_refit,0.011133589133400595,67,77,0.014556699765218456,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/denoising_d5/denoising/stl_from_ae_width_only/cand_000_d5_w161/checkpoint_best.pt,cand_000_d5_w161
