task,depth,width,params_mantissa,params_power10,repeat_count
classification,8,21,4.9,3,5
classification,8,19,4.1,3,5
classification,8,15,2.9,3,5
classification,8,12,2.0,3,5
classification,8,7,9.4,2,5
classification,8,6,7.7,2,5
classification,8,5,6.1,2,5
classification,8,4,4.6,2,5
classification,8,3,3.2,2,5
classification,8,2,2.0,2,5
classification,8,1,9.9,1,5
classification,9,4656,1.7,8,5
classification,9,4545,1.7,8,5
classification,9,4431,1.6,8,5
classification,9,4313,1.5,8,5
classification,9,4193,1.4,8,5
classification,9,4069,1.3,8,5
classification,9,3941,1.2,8,5
classification,9,3809,1.2,8,5
classification,9,3672,1.1,8,5
classification,9,3530,1.0,8,5
classification,9,3349,9.0,7,5
classification,9,3157,8.0,7,5
classification,9,2953,7.0,7,5
classification,9,2733,6.0,7,5
classification,9,2495,5.0,7,5
classification,9,2231,4.0,7,5
classification,9,1931,3.0,7,5
classification,9,1576,2.0,7,5
classification,9,1113,1.0,7,5
classification,9,1055,9.0,6,5
classification,9,995,8.0,6,5
classification,9,930,7.0,6,5
classification,9,861,6.0,6,5
classification,9,785,5.0,6,5
classification,9,702,4.0,6,5
classification,9,607,3.0,6,5
classification,9,495,2.0,6,5
classification,9,348,1.0,6,5
classification,9,330,9.0,5,5
classification,9,311,8.0,5,5
classification,9,290,7.0,5,5
classification,9,268,6.0,5,5
classification,9,245,5.0,5,5
classification,9,218,4.0,5,5
classification,9,188,3.0,5,5
classification,9,153,2.0,5,5
classification,9,106,9.9,4,5
classification,9,101,9.1,4,5
classification,9,95,8.1,4,5
classification,9,88,7.0,4,5
classification,9,81,6.0,4,5
classification,9,74,5.0,4,5
classification,9,65,4.0,4,5
classification,9,56,3.0,4,5
classification,9,45,2.0,4,5
classification,9,30,9.8,3,5
classification,9,28,8.7,3,5
classification,9,27,8.2,3,5
classification,9,25,7.2,3,5
classification,9,22,5.8,3,5
classification,9,20,5.0,3,5
classification,9,18,4.2,3,5
classification,9,15,3.1,3,5
classification,9,11,1.9,3,5
classification,9,7,1.0,3,5
classification,9,6,8.2,2,5
classification,9,5,6.5,2,5
classification,9,4,4.9,2,5
classification,9,3,3.4,2,5
classification,9,2,2.1,2,5
classification,9,1,1.0,2,5
classification,10,4336,1.7,8,5
classification,10,4236,1.6,8,5
classification,10,4133,1.5,8,5
classification,10,4028,1.5,8,5
classification,10,3920,1.4,8,5
classification,10,3809,1.3,8,5
classification,10,3695,1.2,8,5
classification,10,3577,1.2,8,5
classification,10,3455,1.1,8,5
classification,10,3328,1.0,8,5
classification,10,3157,9.0,7,5
classification,10,2976,8.0,7,5
classification,10,2784,7.0,7,5
classification,10,2577,6.0,7,5
classification,10,2352,5.0,7,5
classification,10,2103,4.0,7,5
classification,10,1821,3.0,7,5
classification,10,1486,2.0,7,5
classification,10,1049,1.0,7,5
classification,10,995,9.0,6,5
classification,10,938,8.0,6,5
classification,10,877,7.0,6,5
classification,10,811,6.0,6,5
classification,10,740,5.0,6,5
classification,10,662,4.0,6,5
classification,10,572,3.0,6,5
classification,10,466,2.0,6,5
classification,10,328,1.0,6,5
classification,10,311,9.0,5,5
classification,10,293,8.0,5,5
classification,10,274,7.0,5,5
classification,10,253,6.0,5,5
classification,10,231,5.0,5,5
classification,10,206,4.0,5,5
classification,10,178,3.0,5,5
classification,10,144,2.0,5,5
classification,10,100,9.9,4,5
classification,10,95,9.0,4,5
classification,10,89,7.9,4,5
classification,10,83,7.0,4,5
classification,10,77,6.0,4,5
classification,10,70,5.0,4,5
classification,10,62,4.0,4,5
classification,10,53,3.0,4,5
classification,10,42,2.0,4,5
classification,10,29,1.0,4,5
classification,10,27,9.0,3,5
classification,10,25,7.9,3,5
classification,10,23,6.9,3,5
classification,10,21,5.9,3,5
classification,10,19,5.0,3,5
classification,10,17,4.2,3,5
classification,10,14,3.0,3,5
classification,10,11,2.1,3,5
classification,10,7,1.1,3,5
classification,10,6,8.8,2,5
classification,10,5,6.9,2,5
classification,10,4,5.2,2,5
classification,10,3,3.6,2,5
classification,10,2,2.2,2,5
classification,10,1,1.1,2,5
autoencoding,1,29888,3.3,6,5
autoencoding,1,27568,3.1,6,5
autoencoding,1,25248,2.8,6,5
autoencoding,1,22928,2.5,6,5
autoencoding,1,20608,2.3,6,5
autoencoding,1,18288,2.0,6,5
autoencoding,1,15968,1.8,6,5
autoencoding,1,13648,1.5,6,5
autoencoding,1,11328,1.3,6,5
autoencoding,1,9009,1.0,6,5
autoencoding,1,8108,9.0,5,5
autoencoding,1,7207,8.0,5,5
autoencoding,1,6306,7.0,5,5
autoencoding,1,5405,6.0,5,5
autoencoding,1,4504,5.0,5,5
autoencoding,1,3603,4.0,5,5
autoencoding,1,2702,3.0,5,5
autoencoding,1,1801,2.0,5,5
autoencoding,1,900,1.0,5,5
autoencoding,1,810,9.0,4,5
autoencoding,1,720,8.0,4,5
autoencoding,1,630,7.0,4,5
autoencoding,1,540,6.0,4,5
autoencoding,1,450,5.0,4,5
autoencoding,1,360,4.0,4,5
autoencoding,1,270,3.0,4,5
autoencoding,1,180,2.0,4,5
autoencoding,1,90,1.0,4,5
autoencoding,1,81,9.0,3,5
autoencoding,1,72,8.0,3,5
autoencoding,1,63,7.0,3,5
autoencoding,1,54,6.0,3,5
autoencoding,1,45,5.0,3,5
autoencoding,1,36,4.0,3,5
autoencoding,1,27,3.1,3,5
autoencoding,1,18,2.1,3,5
autoencoding,1,9,1.1,3,5
autoencoding,1,8,9.4,2,5
autoencoding,1,7,8.3,2,5
autoencoding,1,6,7.2,2,5
autoencoding,1,5,6.1,2,5
autoencoding,1,4,5.0,2,5
autoencoding,1,3,3.9,2,5
autoencoding,1,2,2.8,2,5
autoencoding,1,1,1.6,2,5
autoencoding,2,12544,1.6,8,5
autoencoding,2,12282,1.5,8,5
autoencoding,2,12015,1.5,8,5
autoencoding,2,11741,1.4,8,5
autoencoding,2,11461,1.3,8,5
autoencoding,2,11174,1.3,8,5
autoencoding,2,10879,1.2,8,5
autoencoding,2,10576,1.1,8,5
autoencoding,2,10265,1.1,8,5
autoencoding,2,9943,1.0,8,5
autoencoding,2,9430,9.0,7,5
autoencoding,2,8887,8.0,7,5
autoencoding,2,8310,7.0,7,5
autoencoding,2,7689,6.0,7,5
autoencoding,2,7014,5.0,7,5
autoencoding,2,6268,4.0,7,5
autoencoding,2,5421,3.0,7,5
autoencoding,2,4415,2.0,7,5
autoencoding,2,3106,1.0,7,5
autoencoding,2,2944,9.0,6,5
autoencoding,2,2772,8.0,6,5
autoencoding,2,2589,7.0,6,5
autoencoding,2,2393,6.0,6,5
autoencoding,2,2180,5.0,6,5
autoencoding,2,1944,4.0,6,5
autoencoding,2,1676,3.0,6,5
autoencoding,2,1358,2.0,6,5
autoencoding,2,945,1.0,6,5
autoencoding,2,893,9.0,5,5
autoencoding,2,839,8.0,5,5
autoencoding,2,782,7.0,5,5
autoencoding,2,720,6.0,5,5
autoencoding,2,652,5.0,5,5
autoencoding,2,578,4.0,5,5
autoencoding,2,494,3.0,5,5
autoencoding,2,394,2.0,5,5
autoencoding,2,264,1.0,5,5
autoencoding,2,248,9.0,4,5
autoencoding,2,231,8.0,4,5
autoencoding,2,214,7.0,4,5
autoencoding,2,194,6.0,4,5
autoencoding,2,174,5.0,4,5
autoencoding,2,151,4.0,4,5
autoencoding,2,125,3.0,4,5
autoencoding,2,95,2.0,4,5
autoencoding,2,58,1.0,4,5
autoencoding,2,53,8.9,3,5
autoencoding,2,49,8.0,3,5
autoencoding,2,44,7.0,3,5
autoencoding,2,39,6.0,3,5
autoencoding,2,34,5.1,3,5
autoencoding,2,28,4.0,3,5
autoencoding,2,22,3.0,3,5
autoencoding,2,15,2.0,3,5
autoencoding,2,8,1.0,3,5
autoencoding,2,7,9.0,2,5
autoencoding,2,6,7.7,2,5
autoencoding,2,5,6.5,2,5
autoencoding,2,4,5.3,2,5
autoencoding,2,3,4.0,2,5
autoencoding,2,2,2.9,2,5
autoencoding,2,1,1.7,2,5
autoencoding,3,9968,2.0,8,5
autoencoding,3,9686,1.9,8,5
autoencoding,3,9397,1.8,8,5
autoencoding,3,9097,1.7,8,5
autoencoding,3,8788,1.6,8,5
autoencoding,3,8468,1.4,8,5
autoencoding,3,8135,1.3,8,5
autoencoding,3,7787,1.2,8,5
autoencoding,3,7424,1.1,8,5
autoencoding,3,7042,1.0,8,5
autoencoding,3,6679,9.0,7,5
autoencoding,3,6295,8.0,7,5
autoencoding,3,5887,7.0,7,5
autoencoding,3,5448,6.0,7,5
autoencoding,3,4971,5.0,7,5
autoencoding,3,4443,4.0,7,5
autoencoding,3,3844,3.0,7,5
autoencoding,3,3133,2.0,7,5
autoencoding,3,2207,1.0,7,5
autoencoding,3,2092,9.0,6,5
autoencoding,3,1971,8.0,6,5
autoencoding,3,1842,7.0,6,5
autoencoding,3,1703,6.0,6,5
autoencoding,3,1552,5.0,6,5
autoencoding,3,1385,4.0,6,5
autoencoding,3,1196,3.0,6,5
autoencoding,3,971,2.0,6,5
autoencoding,3,678,1.0,6,5
autoencoding,3,642,9.0,5,5
autoencoding,3,604,8.0,5,5
autoencoding,3,563,7.0,5,5
autoencoding,3,519,6.0,5,5
autoencoding,3,472,5.0,5,5
autoencoding,3,419,4.0,5,5
autoencoding,3,359,3.0,5,5
autoencoding,3,288,2.0,5,5
autoencoding,3,196,1.0,5,5
autoencoding,3,185,9.0,4,5
autoencoding,3,173,8.0,4,5
autoencoding,3,160,7.0,4,5
autoencoding,3,146,6.0,4,5
autoencoding,3,131,5.0,4,5
autoencoding,3,115,4.0,4,5
autoencoding,3,97,3.0,4,5
autoencoding,3,75,2.0,4,5
autoencoding,3,47,1.0,4,5
autoencoding,3,44,9.1,3,5
autoencoding,3,40,7.9,3,5
autoencoding,3,37,7.1,3,5
autoencoding,3,33,6.1,3,5
autoencoding,3,28,4.9,3,5
autoencoding,3,24,4.0,3,5
autoencoding,3,19,3.0,3,5
autoencoding,3,14,2.1,3,5
autoencoding,3,7,9.7,2,5
autoencoding,3,6,8.3,2,5
autoencoding,3,5,6.9,2,5
autoencoding,3,4,5.5,2,5
autoencoding,3,3,4.2,2,5
autoencoding,3,2,3.0,2,5
autoencoding,3,1,1.7,2,5
autoencoding,4,8416,2.1,8,5
autoencoding,4,8163,2.0,8,5
autoencoding,4,7902,1.9,8,5
autoencoding,4,7632,1.8,8,5
autoencoding,4,7352,1.6,8,5
autoencoding,4,7062,1.5,8,5
autoencoding,4,6758,1.4,8,5
autoencoding,4,6441,1.3,8,5
autoencoding,4,6107,1.1,8,5
autoencoding,4,5754,1.0,8,5
autoencoding,4,5457,9.0,7,5
autoencoding,4,5144,8.0,7,5
autoencoding,4,4810,7.0,7,5
autoencoding,4,4452,6.0,7,5
autoencoding,4,4063,5.0,7,5
autoencoding,4,3632,4.0,7,5
autoencoding,4,3142,3.0,7,5
autoencoding,4,2562,2.0,7,5
autoencoding,4,1806,1.0,7,5
autoencoding,4,1712,9.0,6,5
autoencoding,4,1613,8.0,6,5
autoencoding,4,1508,7.0,6,5
autoencoding,4,1394,6.0,6,5
autoencoding,4,1271,5.0,6,5
autoencoding,4,1135,4.0,6,5
autoencoding,4,980,3.0,6,5
autoencoding,4,797,2.0,6,5
autoencoding,4,558,1.0,6,5
autoencoding,4,528,9.0,5,5
autoencoding,4,497,8.0,5,5
autoencoding,4,463,7.0,5,5
autoencoding,4,428,6.0,5,5
autoencoding,4,389,5.0,5,5
autoencoding,4,346,4.0,5,5
autoencoding,4,297,3.0,5,5
autoencoding,4,239,2.0,5,5
autoencoding,4,164,1.0,5,5
autoencoding,4,154,9.0,4,5
autoencoding,4,144,8.0,4,5
autoencoding,4,134,7.0,4,5
autoencoding,4,123,6.0,4,5
autoencoding,4,111,5.0,4,5
autoencoding,4,97,4.0,4,5
autoencoding,4,82,3.0,4,5
autoencoding,4,64,2.0,4,5
autoencoding,4,41,1.0,4,5
autoencoding,4,38,8.9,3,5
autoencoding,4,35,7.9,3,5
autoencoding,4,32,7.0,3,5
autoencoding,4,29,6.1,3,5
autoencoding,4,25,4.9,3,5
autoencoding,4,21,3.9,3,5
autoencoding,4,17,3.0,3,5
autoencoding,4,12,1.9,3,5
autoencoding,4,7,1.0,3,5
autoencoding,4,6,8.8,2,5
autoencoding,4,5,7.3,2,5
autoencoding,4,4,5.8,2,5
autoencoding,4,3,4.4,2,5
autoencoding,4,2,3.1,2,5
autoencoding,4,1,1.8,2,5
autoencoding,5,6864,1.9,8,5
autoencoding,5,6681,1.8,8,5
autoencoding,5,6493,1.7,8,5
autoencoding,5,6300,1.6,8,5
autoencoding,5,6100,1.5,8,5
autoencoding,5,5894,1.4,8,5
autoencoding,5,5680,1.3,8,5
autoencoding,5,5458,1.2,8,5
autoencoding,5,5227,1.1,8,5
autoencoding,5,4985,1.0,8,5
autoencoding,5,4728,9.0,7,5
autoencoding,5,4457,8.0,7,5
autoencoding,5,4168,7.0,7,5
autoencoding,5,3858,6.0,7,5
autoencoding,5,3520,5.0,7,5
autoencoding,5,3147,4.0,7,5
autoencoding,5,2723,3.0,7,5
autoencoding,5,2221,2.0,7,5
autoencoding,5,1566,1.0,7,5
autoencoding,5,1485,9.0,6,5
