task,depth,width,params_mantissa,params_power10,repeat_count
autoencoding,5,1399,8.0,6,5
autoencoding,5,1308,7.0,6,5
autoencoding,5,1209,6.0,6,5
autoencoding,5,1103,5.0,6,5
autoencoding,5,985,4.0,6,5
autoencoding,5,851,3.0,6,5
autoencoding,5,692,2.0,6,5
autoencoding,5,485,1.0,6,5
autoencoding,5,459,9.0,5,5
autoencoding,5,432,8.0,5,5
autoencoding,5,403,7.0,5,5
autoencoding,5,372,6.0,5,5
autoencoding,5,338,5.0,5,5
autoencoding,5,301,4.0,5,5
autoencoding,5,259,3.0,5,5
autoencoding,5,209,2.0,5,5
autoencoding,5,143,9.9,4,5
autoencoding,5,135,9.0,4,5
autoencoding,5,127,8.0,4,5
autoencoding,5,118,7.0,4,5
autoencoding,5,108,6.0,4,5
autoencoding,5,97,5.0,4,5
autoencoding,5,86,4.0,4,5
autoencoding,5,73,3.0,4,5
autoencoding,5,57,2.0,4,5
autoencoding,5,37,1.0,4,5
autoencoding,5,34,8.9,3,5
autoencoding,5,32,8.1,3,5
autoencoding,5,29,7.0,3,5
autoencoding,5,26,6.0,3,5
autoencoding,5,23,5.0,3,5
autoencoding,5,20,4.1,3,5
autoencoding,5,16,3.0,3,5
autoencoding,5,12,2.1,3,5
autoencoding,5,6,9.4,2,5
autoencoding,5,5,7.7,2,5
autoencoding,5,4,6.1,2,5
autoencoding,5,3,4.6,2,5
autoencoding,5,2,3.2,2,5
autoencoding,5,1,1.8,2,5
autoencoding,6,5872,1.7,8,5
autoencoding,6,5732,1.7,8,5
autoencoding,6,5589,1.6,8,5
autoencoding,6,5442,1.5,8,5
autoencoding,6,5291,1.4,8,5
autoencoding,6,5135,1.3,8,5
autoencoding,6,4975,1.2,8,5
autoencoding,6,4809,1.2,8,5
autoencoding,6,4638,1.1,8,5
autoencoding,6,4460,1.0,8,5
autoencoding,6,4230,9.0,7,5
autoencoding,6,3987,8.0,7,5
autoencoding,6,3729,7.0,7,5
autoencoding,6,3452,6.0,7,5
autoencoding,6,3150,5.0,7,5
autoencoding,6,2816,4.0,7,5
autoencoding,6,2437,3.0,7,5
autoencoding,6,1987,2.0,7,5
autoencoding,6,1402,1.0,7,5
autoencoding,6,1329,9.0,6,5
autoencoding,6,1252,8.0,6,5
autoencoding,6,1171,7.0,6,5
autoencoding,6,1083,6.0,6,5
autoencoding,6,987,5.0,6,5
autoencoding,6,882,4.0,6,5
autoencoding,6,762,3.0,6,5
autoencoding,6,620,2.0,6,5
autoencoding,6,435,1.0,6,5
autoencoding,6,412,9.0,5,5
autoencoding,6,388,8.0,5,5
autoencoding,6,362,7.0,5,5
autoencoding,6,334,6.0,5,5
autoencoding,6,304,5.0,5,5
autoencoding,6,271,4.0,5,5
autoencoding,6,233,3.0,5,5
autoencoding,6,188,2.0,5,5
autoencoding,6,129,1.0,5,5
autoencoding,6,122,9.0,4,5
autoencoding,6,114,7.9,4,5
autoencoding,6,106,7.0,4,5
autoencoding,6,98,6.0,4,5
autoencoding,6,88,5.0,4,5
autoencoding,6,78,4.0,4,5
autoencoding,6,66,3.0,4,5
autoencoding,6,52,2.0,4,5
autoencoding,6,34,1.0,4,5
autoencoding,6,32,9.2,3,5
autoencoding,6,29,7.9,3,5
autoencoding,6,27,7.1,3,5
autoencoding,6,24,6.0,3,5
autoencoding,6,21,4.9,3,5
autoencoding,6,18,3.9,3,5
autoencoding,6,15,3.1,3,5
autoencoding,6,11,2.0,3,5
autoencoding,6,6,9.9,2,5
autoencoding,6,5,8.1,2,5
autoencoding,6,4,6.4,2,5
autoencoding,6,3,4.8,2,5
autoencoding,6,2,3.3,2,5
autoencoding,6,1,1.9,2,5
autoencoding,7,5168,1.6,8,5
autoencoding,7,5058,1.5,8,5
autoencoding,7,4945,1.5,8,5
autoencoding,7,4830,1.4,8,5
autoencoding,7,4712,1.3,8,5
autoencoding,7,4591,1.3,8,5
autoencoding,7,4467,1.2,8,5
autoencoding,7,4339,1.1,8,5
autoencoding,7,4208,1.1,8,5
autoencoding,7,4072,1.0,8,5
autoencoding,7,3862,9.0,7,5
autoencoding,7,3641,8.0,7,5
autoencoding,7,3405,7.0,7,5
autoencoding,7,3152,6.0,7,5
autoencoding,7,2876,5.0,7,5
autoencoding,7,2571,4.0,7,5
autoencoding,7,2225,3.0,7,5
autoencoding,7,1815,2.0,7,5
autoencoding,7,1280,1.0,7,5
autoencoding,7,1214,9.0,6,5
autoencoding,7,1144,8.0,6,5
autoencoding,7,1069,7.0,6,5
autoencoding,7,989,6.0,6,5
autoencoding,7,902,5.0,6,5
autoencoding,7,806,4.0,6,5
autoencoding,7,696,3.0,6,5
autoencoding,7,567,2.0,6,5
autoencoding,7,398,1.0,6,5
autoencoding,7,377,9.0,5,5
autoencoding,7,355,8.0,5,5
autoencoding,7,331,7.0,5,5
autoencoding,7,306,6.0,5,5
autoencoding,7,278,5.0,5,5
autoencoding,7,248,4.0,5,5
autoencoding,7,213,3.0,5,5
autoencoding,7,172,2.0,5,5
autoencoding,7,119,1.0,5,5
autoencoding,7,112,9.0,4,5
autoencoding,7,105,8.0,4,5
autoencoding,7,98,7.0,4,5
autoencoding,7,90,6.0,4,5
autoencoding,7,81,5.0,4,5
autoencoding,7,72,4.0,4,5
autoencoding,7,61,3.0,4,5
autoencoding,7,48,2.0,4,5
autoencoding,7,31,9.8,3,5
autoencoding,7,29,8.8,3,5
autoencoding,7,27,7.9,3,5
autoencoding,7,25,7.0,3,5
autoencoding,7,23,6.2,3,5
autoencoding,7,20,5.0,3,5
autoencoding,7,17,4.0,3,5
autoencoding,7,14,3.0,3,5
autoencoding,7,10,1.9,3,5
autoencoding,7,6,1.0,3,5
autoencoding,7,5,8.5,2,5
autoencoding,7,4,6.7,2,5
autoencoding,7,3,5.0,2,5
autoencoding,7,2,3.4,2,5
autoencoding,7,1,1.9,2,5
autoencoding,8,4608,1.5,8,5
autoencoding,8,4523,1.4,8,5
autoencoding,8,4435,1.4,8,5
autoencoding,8,4347,1.3,8,5
autoencoding,8,4256,1.3,8,5
autoencoding,8,4163,1.2,8,5
autoencoding,8,4069,1.2,8,5
autoencoding,8,3972,1.1,8,5
autoencoding,8,3872,1.1,8,5
autoencoding,8,3770,1.0,8,5
autoencoding,8,3576,9.0,7,5
autoencoding,8,3371,8.0,7,5
autoencoding,8,3153,7.0,7,5
autoencoding,8,2918,6.0,7,5
autoencoding,8,2663,5.0,7,5
autoencoding,8,2381,4.0,7,5
autoencoding,8,2061,3.0,7,5
autoencoding,8,1681,2.0,7,5
autoencoding,8,1186,1.0,7,5
autoencoding,8,1125,9.0,6,5
autoencoding,8,1060,8.0,6,5
autoencoding,8,991,7.0,6,5
autoencoding,8,916,6.0,6,5
autoencoding,8,836,5.0,6,5
autoencoding,8,747,4.0,6,5
autoencoding,8,645,3.0,6,5
autoencoding,8,525,2.0,6,5
autoencoding,8,369,1.0,6,5
autoencoding,8,349,9.0,5,5
autoencoding,8,329,8.0,5,5
autoencoding,8,307,7.0,5,5
autoencoding,8,283,6.0,5,5
autoencoding,8,258,5.0,5,5
autoencoding,8,230,4.0,5,5
autoencoding,8,198,3.0,5,5
autoencoding,8,160,2.0,5,5
autoencoding,8,110,9.9,4,5
autoencoding,8,104,8.9,4,5
autoencoding,8,98,8.0,4,5
autoencoding,8,91,7.0,4,5
autoencoding,8,84,6.1,4,5
autoencoding,8,76,5.1,4,5
autoencoding,8,67,4.0,4,5
autoencoding,8,57,3.0,4,5
autoencoding,8,45,2.0,4,5
autoencoding,8,29,9.8,3,5
autoencoding,8,28,9.2,3,5
autoencoding,8,26,8.2,3,5
autoencoding,8,23,6.8,3,5
autoencoding,8,21,5.9,3,5
autoencoding,8,19,5.1,3,5
autoencoding,8,16,4.0,3,5
autoencoding,8,13,3.0,3,5
autoencoding,8,10,2.1,3,5
autoencoding,8,6,1.1,3,5
autoencoding,8,5,8.9,2,5
autoencoding,8,4,6.9,2,5
autoencoding,8,3,5.1,2,5
autoencoding,8,2,3.5,2,5
autoencoding,8,1,1.9,2,5
autoencoding,9,1024,8.5,6,5
autoencoding,9,972,7.7,6,5
autoencoding,9,917,6.9,6,5
autoencoding,9,859,6.0,6,5
autoencoding,9,796,5.2,6,5
autoencoding,9,729,4.3,6,5
autoencoding,9,654,3.5,6,5
autoencoding,9,570,2.7,6,5
autoencoding,9,471,1.8,6,5
autoencoding,9,345,1.0,6,5
autoencoding,9,327,9.0,5,5
autoencoding,9,308,8.0,5,5
autoencoding,9,287,7.0,5,5
autoencoding,9,266,6.0,5,5
autoencoding,9,242,5.0,5,5
autoencoding,9,215,4.0,5,5
autoencoding,9,185,3.0,5,5
autoencoding,9,150,2.0,5,5
autoencoding,9,104,1.0,5,5
autoencoding,9,98,9.0,4,5
autoencoding,9,92,8.0,4,5
autoencoding,9,85,6.9,4,5
autoencoding,9,79,6.1,4,5
autoencoding,9,71,5.0,4,5
autoencoding,9,63,4.0,4,5
autoencoding,9,53,3.0,4,5
autoencoding,9,42,2.0,4,5
autoencoding,9,28,1.0,4,5
autoencoding,9,26,9.0,3,5
autoencoding,9,24,7.9,3,5
autoencoding,9,22,6.9,3,5
autoencoding,9,20,6.0,3,5
autoencoding,9,18,5.1,3,5
autoencoding,9,15,3.9,3,5
autoencoding,9,13,3.2,3,5
autoencoding,9,9,1.9,3,5
autoencoding,9,5,9.3,2,5
autoencoding,9,4,7.2,2,5
autoencoding,9,3,5.3,2,5
autoencoding,9,2,3.6,2,5
autoencoding,9,1,2.0,2,5
autoencoding,10,256,6.3,5,5
autoencoding,10,243,5.7,5,5
autoencoding,10,230,5.1,5,5
autoencoding,10,216,4.5,5,5
autoencoding,10,201,3.9,5,5
autoencoding,10,185,3.3,5,5
autoencoding,10,167,2.7,5,5
autoencoding,10,148,2.2,5,5
autoencoding,10,125,1.6,5,5
autoencoding,10,98,1.0,5,5
autoencoding,10,93,9.1,4,5
autoencoding,10,87,8.0,4,5
autoencoding,10,81,7.0,4,5
autoencoding,10,74,6.0,4,5
autoencoding,10,67,5.0,4,5
autoencoding,10,59,4.0,4,5
autoencoding,10,51,3.1,4,5
autoencoding,10,40,2.0,4,5
autoencoding,10,26,9.7,3,5
autoencoding,10,25,9.1,3,5
autoencoding,10,23,8.0,3,5
autoencoding,10,21,6.9,3,5
autoencoding,10,19,5.9,3,5
autoencoding,10,17,5.0,3,5
autoencoding,10,15,4.1,3,5
autoencoding,10,12,3.0,3,5
autoencoding,10,9,2.0,3,5
autoencoding,10,5,9.7,2,5
autoencoding,10,4,7.5,2,5
autoencoding,10,3,5.5,2,5
autoencoding,10,2,3.7,2,5
autoencoding,10,1,2.0,2,5
denoising,1,37056,4.1,6,5
denoising,1,33940,3.8,6,5
denoising,1,30823,3.4,6,5
denoising,1,27707,3.1,6,5
denoising,1,24590,2.7,6,5
denoising,1,21474,2.4,6,5
denoising,1,18358,2.0,6,5
denoising,1,15241,1.7,6,5
denoising,1,12125,1.3,6,5
denoising,1,9009,1.0,6,5
denoising,1,8108,9.0,5,5
denoising,1,7207,8.0,5,5
denoising,1,6306,7.0,5,5
denoising,1,5405,6.0,5,5
denoising,1,4504,5.0,5,5
denoising,1,3603,4.0,5,5
denoising,1,2702,3.0,5,5
denoising,1,1801,2.0,5,5
denoising,1,900,1.0,5,5
denoising,1,810,9.0,4,5
denoising,1,720,8.0,4,5
denoising,1,630,7.0,4,5
denoising,1,540,6.0,4,5
denoising,1,450,5.0,4,5
denoising,1,360,4.0,4,5
denoising,1,270,3.0,4,5
denoising,1,180,2.0,4,5
denoising,1,90,1.0,4,5
denoising,1,81,9.0,3,5
denoising,1,72,8.0,3,5
denoising,1,63,7.0,3,5
denoising,1,54,6.0,3,5
denoising,1,45,5.0,3,5
denoising,1,36,4.0,3,5
denoising,1,27,3.1,3,5
denoising,1,18,2.1,3,5
denoising,1,9,1.1,3,5
denoising,1,8,9.4,2,5
denoising,1,7,8.3,2,5
denoising,1,6,7.2,2,5
denoising,1,5,6.1,2,5
denoising,1,4,5.0,2,5
denoising,1,3,3.9,2,5
denoising,1,2,2.8,2,5
denoising,1,1,1.6,2,5
denoising,2,14272,2.1,8,5
denoising,2,13858,1.9,8,5
denoising,2,13431,1.8,8,5
denoising,2,12990,1.7,8,5
denoising,2,12533,1.6,8,5
denoising,2,12060,1.5,8,5
denoising,2,11567,1.4,8,5
denoising,2,11052,1.2,8,5
denoising,2,10512,1.1,8,5
denoising,2,9943,1.0,8,5
denoising,2,9430,9.0,7,5
denoising,2,8887,8.0,7,5
denoising,2,8310,7.0,7,5
denoising,2,7689,6.0,7,5
denoising,2,7014,5.0,7,5
denoising,2,6268,4.0,7,5
denoising,2,5421,3.0,7,5
denoising,2,4415,2.0,7,5
denoising,2,3106,1.0,7,5
denoising,2,2944,9.0,6,5
denoising,2,2772,8.0,6,5
denoising,2,2589,7.0,6,5
denoising,2,2393,6.0,6,5
denoising,2,2180,5.0,6,5
denoising,2,1944,4.0,6,5
denoising,2,1676,3.0,6,5
denoising,2,1358,2.0,6,5
denoising,2,945,1.0,6,5
denoising,2,893,9.0,5,5
denoising,2,839,8.0,5,5
denoising,2,782,7.0,5,5
denoising,2,720,6.0,5,5
denoising,2,652,5.0,5,5
denoising,2,578,4.0,5,5
denoising,2,494,3.0,5,5
denoising,2,394,2.0,5,5
denoising,2,264,1.0,5,5
denoising,2,248,9.0,4,5
denoising,2,231,8.0,4,5
denoising,2,214,7.0,4,5
denoising,2,194,6.0,4,5
denoising,2,174,5.0,4,5
denoising,2,151,4.0,4,5
denoising,2,125,3.0,4,5
denoising,2,95,2.0,4,5
denoising,2,58,1.0,4,5
denoising,2,53,8.9,3,5
denoising,2,49,8.0,3,5
denoising,2,44,7.0,3,5
denoising,2,39,6.0,3,5
denoising,2,34,5.1,3,5
denoising,2,28,4.0,3,5
denoising,2,22,3.0,3,5
denoising,2,15,2.0,3,5
denoising,2,8,1.0,3,5
denoising,2,7,9.0,2,5
denoising,2,6,7.7,2,5
denoising,2,5,6.5,2,5
denoising,2,4,5.3,2,5
denoising,2,3,4.0,2,5
denoising,2,2,2.9,2,5
denoising,2,1,1.7,2,5
denoising,3,10560,2.2,8,5
denoising,3,10229,2.1,8,5
denoising,3,9887,2.0,8,5
denoising,3,9532,1.8,8,5
denoising,3,9164,1.7,8,5
denoising,3,8781,1.6,8,5
denoising,3,8380,1.4,8,5
denoising,3,7959,1.3,8,5
denoising,3,7514,1.1,8,5
denoising,3,7042,1.0,8,5
denoising,3,6679,9.0,7,5
denoising,3,6295,8.0,7,5
denoising,3,5887,7.0,7,5
denoising,3,5448,6.0,7,5
denoising,3,4971,5.0,7,5
denoising,3,4443,4.0,7,5
denoising,3,3844,3.0,7,5
denoising,3,3133,2.0,7,5
denoising,3,2207,1.0,7,5
denoising,3,2092,9.0,6,5
denoising,3,1971,8.0,6,5
denoising,3,1842,7.0,6,5
denoising,3,1703,6.0,6,5
denoising,3,1552,5.0,6,5
denoising,3,1385,4.0,6,5
denoising,3,1196,3.0,6,5
denoising,3,971,2.0,6,5
denoising,3,678,1.0,6,5
denoising,3,642,9.0,5,5
denoising,3,604,8.0,5,5
denoising,3,563,7.0,5,5
denoising,3,519,6.0,5,5
denoising,3,472,5.0,5,5
denoising,3,419,4.0,5,5
denoising,3,359,3.0,5,5
denoising,3,288,2.0,5,5
denoising,3,196,1.0,5,5
denoising,3,185,9.0,4,5
denoising,3,173,8.0,4,5
denoising,3,160,7.0,4,5
denoising,3,146,6.0,4,5
denoising,3,131,5.0,4,5
denoising,3,115,4.0,4,5
denoising,3,97,3.0,4,5
denoising,3,75,2.0,4,5
denoising,3,47,1.0,4,5
denoising,3,44,9.1,3,5
denoising,3,40,7.9,3,5
denoising,3,37,7.1,3,5
denoising,3,33,6.1,3,5
denoising,3,28,4.9,3,5
denoising,3,24,4.0,3,5
denoising,3,19,3.0,3,5
denoising,3,14,2.1,3,5
denoising,3,7,9.7,2,5
denoising,3,6,8.3,2,5
denoising,3,5,6.9,2,5
denoising,3,4,5.5,2,5
denoising,3,3,4.2,2,5
denoising,3,2,3.0,2,5
denoising,3,1,1.7,2,5
denoising,4,8576,2.2,8,5
denoising,4,8310,2.1,8,5
denoising,4,8035,1.9,8,5
denoising,4,7750,1.8,8,5
denoising,4,7454,1.7,8,5
denoising,4,7147,1.5,8,5
denoising,4,6825,1.4,8,5
denoising,4,6487,1.3,8,5
denoising,4,6131,1.1,8,5
denoising,4,5754,1.0,8,5
denoising,4,5457,9.0,7,5
denoising,4,5144,8.0,7,5
denoising,4,4810,7.0,7,5
denoising,4,4452,6.0,7,5
denoising,4,4063,5.0,7,5
denoising,4,3632,4.0,7,5
denoising,4,3142,3.0,7,5
denoising,4,2562,2.0,7,5
denoising,4,1806,1.0,7,5
denoising,4,1712,9.0,6,5
denoising,4,1613,8.0,6,5
denoising,4,1508,7.0,6,5
denoising,4,1394,6.0,6,5
denoising,4,1271,5.0,6,5
denoising,4,1135,4.0,6,5
denoising,4,980,3.0,6,5
denoising,4,797,2.0,6,5
denoising,4,558,1.0,6,5
denoising,4,528,9.0,5,5
denoising,4,497,8.0,5,5
denoising,4,463,7.0,5,5
denoising,4,428,6.0,5,5
denoising,4,389,5.0,5,5
denoising,4,346,4.0,5,5
denoising,4,297,3.0,5,5
denoising,4,239,2.0,5,5
denoising,4,164,1.0,5,5
denoising,4,154,9.0,4,5
denoising,4,144,8.0,4,5
denoising,4,134,7.0,4,5
denoising,4,123,6.0,4,5
denoising,4,111,5.0,4,5
denoising,4,97,4.0,4,5
denoising,4,82,3.0,4,5
denoising,4,64,2.0,4,5
denoising,4,41,1.0,4,5
denoising,4,38,8.9,3,5
denoising,4,35,7.9,3,5
denoising,4,32,7.0,3,5
denoising,4,29,6.1,3,5
denoising,4,25,4.9,3,5
denoising,4,21,3.9,3,5
denoising,4,17,3.0,3,5
denoising,4,12,1.9,3,5
denoising,4,7,1.0,3,5
denoising,4,6,8.8,2,5
denoising,4,5,7.3,2,5
denoising,4,4,5.8,2,5
denoising,4,3,4.4,2,5
denoising,4,2,3.1,2,5
denoising,4,1,1.8,2,5
denoising,5,7296,2.1,8,5
denoising,5,7076,2.0,8,5
denoising,5,6850,1.9,8,5
denoising,5,6616,1.8,8,5
denoising,5,6373,1.6,8,5
denoising,5,6120,1.5,8,5
denoising,5,5857,1.4,8,5
denoising,5,5581,1.3,8,5
denoising,5,5291,1.1,8,5
denoising,5,4985,1.0,8,5
denoising,5,4728,9.0,7,5
denoising,5,4457,8.0,7,5
denoising,5,4168,7.0,7,5
denoising,5,3858,6.0,7,5
denoising,5,3520,5.0,7,5
denoising,5,3147,4.0,7,5
denoising,5,2723,3.0,7,5
denoising,5,2221,2.0,7,5
denoising,5,1566,1.0,7,5
denoising,5,1485,9.0,6,5
denoising,5,1399,8.0,6,5
denoising,5,1308,7.0,6,5
denoising,5,1209,6.0,6,5
denoising,5,1103,5.0,6,5
denoising,5,985,4.0,6,5
denoising,5,851,3.0,6,5
denoising,5,692,2.0,6,5
denoising,5,485,1.0,6,5
denoising,5,459,9.0,5,5
denoising,5,432,8.0,5,5
denoising,5,403,7.0,5,5
denoising,5,372,6.0,5,5
denoising,5,338,5.0,5,5
denoising,5,301,4.0,5,5
denoising,5,259,3.0,5,5
denoising,5,209,2.0,5,5
denoising,5,143,9.9,4,5
denoising,5,135,9.0,4,5
denoising,5,127,8.0,4,5
denoising,5,118,7.0,4,5
denoising,5,108,6.0,4,5
denoising,5,97,5.0,4,5
denoising,5,86,4.0,4,5
denoising,5,73,3.0,4,5
denoising,5,57,2.0,4,5
denoising,5,37,1.0,4,5
denoising,5,34,8.9,3,5
denoising,5,32,8.1,3,5
denoising,5,29,7.0,3,5
denoising,5,26,6.0,3,5
denoising,5,23,5.0,3,5
denoising,5,20,4.1,3,5
denoising,5,16,3.0,3,5
denoising,5,12,2.1,3,5
denoising,5,6,9.4,2,5
denoising,5,5,7.7,2,5
denoising,5,4,6.1,2,5
denoising,5,3,4.6,2,5
denoising,5,2,3.2,2,5
denoising,5,1,1.8,2,5
denoising,6,6400,2.1,8,5
denoising,6,6214,1.9,8,5
denoising,6,6023,1.8,8,5
denoising,6,5825,1.7,8,5
denoising,6,5621,1.6,8,5
denoising,6,5408,1.5,8,5
denoising,6,5187,1.4,8,5
denoising,6,4957,1.2,8,5
denoising,6,4715,1.1,8,5
denoising,6,4460,1.0,8,5
denoising,6,4230,9.0,7,5
denoising,6,3987,8.0,7,5
denoising,6,3729,7.0,7,5
denoising,6,3452,6.0,7,5
denoising,6,3150,5.0,7,5
denoising,6,2816,4.0,7,5
denoising,6,2437,3.0,7,5
denoising,6,1987,2.0,7,5
denoising,6,1402,1.0,7,5
denoising,6,1329,9.0,6,5
denoising,6,1252,8.0,6,5
denoising,6,1171,7.0,6,5
denoising,6,1083,6.0,6,5
denoising,6,987,5.0,6,5
denoising,6,882,4.0,6,5
denoising,6,762,3.0,6,5
denoising,6,620,2.0,6,5
denoising,6,435,1.0,6,5
denoising,6,412,9.0,5,5
denoising,6,388,8.0,5,5
denoising,6,362,7.0,5,5
denoising,6,334,6.0,5,5
denoising,6,304,5.0,5,5
denoising,6,271,4.0,5,5
denoising,6,233,3.0,5,5
denoising,6,188,2.0,5,5
denoising,6,129,1.0,5,5
denoising,6,122,9.0,4,5
denoising,6,114,7.9,4,5
denoising,6,106,7.0,4,5
denoising,6,98,6.0,4,5
denoising,6,88,5.0,4,5
denoising,6,78,4.0,4,5
denoising,6,66,3.0,4,5
denoising,6,52,2.0,4,5
denoising,6,34,1.0,4,5
denoising,6,32,9.2,3,5
denoising,6,29,7.9,3,5
denoising,6,27,7.1,3,5
denoising,6,24,6.0,3,5
denoising,6,21,4.9,3,5
denoising,6,18,3.9,3,5
denoising,6,15,3.1,3,5
denoising,6,11,2.0,3,5
denoising,6,6,9.9,2,5
denoising,6,5,8.1,2,5
denoising,6,4,6.4,2,5
denoising,6,3,4.8,2,5
denoising,6,2,3.3,2,5
denoising,6,1,1.9,2,5
denoising,7,5760,2.0,8,5
denoising,7,5598,1.9,8,5
denoising,7,5430,1.8,8,5
denoising,7,5258,1.7,8,5
denoising,7,5079,1.6,8,5
denoising,7,4894,1.4,8,5
denoising,7,4702,1.3,8,5
denoising,7,4502,1.2,8,5
denoising,7,4292,1.1,8,5
denoising,7,4072,1.0,8,5
denoising,7,3862,9.0,7,5
denoising,7,3641,8.0,7,5
denoising,7,3405,7.0,7,5
denoising,7,3152,6.0,7,5
denoising,7,2876,5.0,7,5
denoising,7,2571,4.0,7,5
denoising,7,2225,3.0,7,5
denoising,7,1815,2.0,7,5
denoising,7,1280,1.0,7,5
denoising,7,1214,9.0,6,5
denoising,7,1144,8.0,6,5
denoising,7,1069,7.0,6,5
denoising,7,989,6.0,6,5
denoising,7,902,5.0,6,5
denoising,7,806,4.0,6,5
denoising,7,696,3.0,6,5
denoising,7,567,2.0,6,5
denoising,7,398,1.0,6,5
denoising,7,377,9.0,5,5
denoising,7,355,8.0,5,5
denoising,7,331,7.0,5,5
denoising,7,306,6.0,5,5
denoising,7,278,5.0,5,5
denoising,7,248,4.0,5,5
denoising,7,213,3.0,5,5
denoising,7,172,2.0,5,5
denoising,7,119,1.0,5,5
denoising,7,112,9.0,4,5
denoising,7,105,8.0,4,5
denoising,7,98,7.0,4,5
denoising,7,90,6.0,4,5
denoising,7,81,5.0,4,5
denoising,7,72,4.0,4,5
denoising,7,61,3.0,4,5
denoising,7,48,2.0,4,5
denoising,7,31,9.8,3,5
denoising,7,29,8.8,3,5
denoising,7,27,7.9,3,5
denoising,7,25,7.0,3,5
denoising,7,23,6.2,3,5
denoising,7,20,5.0,3,5
denoising,7,17,4.0,3,5
denoising,7,14,3.0,3,5
denoising,7,10,1.9,3,5
denoising,7,6,1.0,3,5
denoising,7,5,8.5,2,5
denoising,7,4,6.7,2,5
denoising,7,3,5.0,2,5
denoising,7,2,3.4,2,5
denoising,7,1,1.9,2,5
denoising,8,5248,1.9,8,5
denoising,8,5105,1.8,8,5
denoising,8,4958,1.7,8,5
denoising,8,4806,1.6,8,5
denoising,8,4649,1.5,8,5
denoising,8,4487,1.4,8,5
denoising,8,4319,1.3,8,5
denoising,8,4144,1.2,8,5
denoising,8,3962,1.1,8,5
denoising,8,3770,1.0,8,5
denoising,8,3576,9.0,7,5
denoising,8,3371,8.0,7,5
denoising,8,3153,7.0,7,5
denoising,8,2918,6.0,7,5
denoising,8,2663,5.0,7,5
denoising,8,2381,4.0,7,5
denoising,8,2061,3.0,7,5
denoising,8,1681,2.0,7,5
denoising,8,1186,1.0,7,5
denoising,8,1125,9.0,6,5
denoising,8,1060,8.0,6,5
denoising,8,991,7.0,6,5
denoising,8,916,6.0,6,5
denoising,8,836,5.0,6,5
denoising,8,747,4.0,6,5
denoising,8,645,3.0,6,5
denoising,8,525,2.0,6,5
denoising,8,369,1.0,6,5
denoising,8,349,9.0,5,5
denoising,8,329,8.0,5,5
denoising,8,307,7.0,5,5
denoising,8,283,6.0,5,5
denoising,8,258,5.0,5,5
denoising,8,230,4.0,5,5
denoising,8,198,3.0,5,5
denoising,8,160,2.0,5,5
denoising,8,110,9.9,4,5
denoising,8,104,8.9,4,5
denoising,8,98,8.0,4,5
denoising,8,91,7.0,4,5
denoising,8,84,6.1,4,5
denoising,8,76,5.1,4,5
denoising,8,67,4.0,4,5
denoising,8,57,3.0,4,5
denoising,8,45,2.0,4,5
denoising,8,29,9.8,3,5
denoising,8,28,9.2,3,5
denoising,8,26,8.2,3,5
denoising,8,23,6.8,3,5
denoising,8,21,5.9,3,5
denoising,8,19,5.1,3,5
denoising,8,16,4.0,3,5
denoising,8,13,3.0,3,5
denoising,8,10,2.1,3,5
denoising,8,6,1.1,3,5
denoising,8,5,8.9,2,5
denoising,8,4,6.9,2,5
denoising,8,3,5.1,2,5
denoising,8,2,3.5,2,5
denoising,8,1,1.9,2,5
denoising,9,4800,1.8,8,5
denoising,9,4676,1.8,8,5
denoising,9,4548,1.7,8,5
denoising,9,4417,1.6,8,5
denoising,9,4281,1.5,8,5
denoising,9,4141,1.4,8,5
denoising,9,3997,1.3,8,5
denoising,9,3846,1.2,8,5
denoising,9,3690,1.1,8,5
denoising,9,3527,1.0,8,5
denoising,9,3346,9.0,7,5
denoising,9,3154,8.0,7,5
denoising,9,2950,7.0,7,5
denoising,9,2730,6.0,7,5
denoising,9,2492,5.0,7,5
denoising,9,2228,4.0,7,5
denoising,9,1928,3.0,7,5
denoising,9,1573,2.0,7,5
denoising,9,1110,1.0,7,5
denoising,9,1052,9.0,6,5
denoising,9,992,8.0,6,5
denoising,9,927,7.0,6,5
denoising,9,858,6.0,6,5
denoising,9,782,5.0,6,5
denoising,9,699,4.0,6,5
denoising,9,604,3.0,6,5
denoising,9,492,2.0,6,5
denoising,9,345,1.0,6,5
denoising,9,327,9.0,5,5
denoising,9,308,8.0,5,5
denoising,9,287,7.0,5,5
denoising,9,266,6.0,5,5
denoising,9,242,5.0,5,5
denoising,9,215,4.0,5,5
denoising,9,185,3.0,5,5
denoising,9,150,2.0,5,5
denoising,9,104,1.0,5,5
denoising,9,98,9.0,4,5
denoising,9,92,8.0,4,5
denoising,9,85,6.9,4,5
denoising,9,79,6.1,4,5
denoising,9,71,5.0,4,5
denoising,9,63,4.0,4,5
denoising,9,53,3.0,4,5
denoising,9,42,2.0,4,5
denoising,9,28,1.0,4,5
denoising,9,26,9.0,3,5
denoising,9,24,7.9,3,5
denoising,9,22,6.9,3,5
denoising,9,20,6.0,3,5
denoising,9,18,5.1,3,5
denoising,9,15,3.9,3,5
denoising,9,13,3.2,3,5
denoising,9,9,1.9,3,5
denoising,9,5,9.3,2,5
denoising,9,4,7.2,2,5
denoising,9,3,5.3,2,5
