[2026-05-18 02:02:07] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 02:02:07] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_089_d1_w90/training_log.txt
[2026-05-18 02:02:07] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_089_d1_w90/training_stats.csv
[2026-05-18 02:02:07] [CANDIDATE] task=representation phase=ae_alt_width index=89 search_phase=width architecture=[90]
[2026-05-18 02:02:12] [representation][ae_alt_width][cand_089_d1_w90] epoch=1 architecture=[90] train_loss=0.381051 val_loss=0.377555 best=0.372362 es=0/5
[2026-05-18 02:02:14] [representation][ae_alt_width][cand_089_d1_w90] epoch=2 architecture=[90] train_loss=0.372762 val_loss=0.376125 best=0.372362 es=0/5
[2026-05-18 02:02:17] [representation][ae_alt_width][cand_089_d1_w90] epoch=3 architecture=[90] train_loss=0.371504 val_loss=0.373201 best=0.372362 es=0/5
[2026-05-18 02:02:19] [representation][ae_alt_width][cand_089_d1_w90] epoch=4 architecture=[90] train_loss=0.371209 val_loss=0.375569 best=0.372362 es=1/5
[2026-05-18 02:02:24] [representation][ae_alt_width][cand_089_d1_w90] epoch=5 architecture=[90] train_loss=0.370943 val_loss=0.373623 best=0.372362 es=2/5
[2026-05-18 02:02:27] [representation][ae_alt_width][cand_089_d1_w90] epoch=6 architecture=[90] train_loss=0.369934 val_loss=0.371539 best=0.371539 es=0/5
[2026-05-18 02:02:29] [representation][ae_alt_width][cand_089_d1_w90] epoch=7 architecture=[90] train_loss=0.369627 val_loss=0.371947 best=0.371539 es=1/5
[2026-05-18 02:02:31] [representation][ae_alt_width][cand_089_d1_w90] epoch=8 architecture=[90] train_loss=0.369396 val_loss=0.373081 best=0.371539 es=2/5
[2026-05-18 02:02:34] [representation][ae_alt_width][cand_089_d1_w90] epoch=9 architecture=[90] train_loss=0.370148 val_loss=0.372078 best=0.371539 es=3/5
[2026-05-18 02:02:39] [representation][ae_alt_width][cand_089_d1_w90] epoch=10 architecture=[90] train_loss=0.369864 val_loss=0.373739 best=0.371539 es=4/5
[2026-05-18 02:02:41] [representation][ae_alt_width][cand_089_d1_w90] epoch=11 architecture=[90] train_loss=0.370983 val_loss=0.374722 best=0.371539 es=5/5
