[2026-06-12 22:03:23] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-12 22:03:23] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_738_d6_w124/training_log.txt
[2026-06-12 22:03:23] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_738_d6_w124/training_stats.csv
[2026-06-12 22:03:23] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.008268 val_loss=0.002544 best=0.002544 es=0/10
[2026-06-12 22:03:23] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.002155 val_loss=0.004633 best=0.004633 es=0/10
[2026-06-12 22:03:23] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.006040 val_loss=0.003461 best=0.003461 es=0/10
[2026-06-12 22:03:23] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.003420 val_loss=0.000538 best=0.000538 es=0/10
[2026-06-12 22:03:24] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.001135 val_loss=0.002302 best=0.002302 es=0/10
[2026-06-12 22:03:24] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.002002 val_loss=0.001022 best=0.001022 es=0/10
[2026-06-12 22:03:24] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.003122 val_loss=0.000248 best=0.000248 es=0/10
[2026-06-12 22:03:24] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.001062 val_loss=0.001400 best=0.001400 es=0/10
[2026-06-12 22:03:25] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.001424 val_loss=0.001449 best=0.001449 es=0/10
[2026-06-12 22:03:25] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.002206 val_loss=0.000578 best=0.000578 es=0/10
[2026-06-12 22:03:25] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.001688 val_loss=0.000366 best=0.000366 es=0/10
[2026-06-12 22:03:25] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.000552 val_loss=0.000541 best=0.000541 es=0/10
[2026-06-12 22:03:26] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.001534 val_loss=0.000356 best=0.000356 es=0/10
[2026-06-12 22:03:26] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.001150 val_loss=0.000221 best=0.000221 es=0/10
[2026-06-12 22:03:26] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.001913 val_loss=0.000161 best=0.000161 es=0/10
[2026-06-12 22:03:27] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.000353 val_loss=0.000543 best=0.000543 es=0/10
[2026-06-12 22:03:27] Epoch 1 | architecture=[124, 123, 123, 123, 123, 123] train_loss=0.002162 val_loss=0.000586 best=0.000586 es=0/10
