[2026-05-16 15:29:58] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 15:29:58] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_417_d2_w420/training_log.txt
[2026-05-16 15:29:58] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_417_d2_w420/training_stats.csv
[2026-05-16 15:30:01] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=1 train_loss=7.222836 val_loss=0.392895 best=0.392895 es=0/5
[2026-05-16 15:30:03] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=2 train_loss=4.096077 val_loss=1.281681 best=0.392895 es=1/5
[2026-05-16 15:30:05] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=3 train_loss=2.234450 val_loss=1.125222 best=0.392895 es=2/5
[2026-05-16 15:30:08] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=4 train_loss=1.071253 val_loss=0.543843 best=0.392895 es=3/5
[2026-05-16 15:30:11] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=5 train_loss=0.424533 val_loss=0.209110 best=0.209110 es=0/5
[2026-05-16 15:30:13] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=6 train_loss=0.181671 val_loss=0.073525 best=0.073525 es=0/5
[2026-05-16 15:30:16] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=7 train_loss=0.103886 val_loss=0.042598 best=0.042598 es=0/5
[2026-05-16 15:30:19] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=8 train_loss=0.074938 val_loss=0.031578 best=0.031578 es=0/5
[2026-05-16 15:30:21] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=9 train_loss=0.059874 val_loss=0.021146 best=0.021146 es=0/5
[2026-05-16 15:30:24] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=10 train_loss=0.053826 val_loss=0.016959 best=0.016959 es=0/5
[2026-05-16 15:30:27] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=11 train_loss=0.046529 val_loss=0.011132 best=0.011132 es=0/5
[2026-05-16 15:30:30] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=12 train_loss=0.040839 val_loss=0.014223 best=0.011132 es=1/5
[2026-05-16 15:30:32] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=13 train_loss=0.038013 val_loss=0.007958 best=0.007958 es=0/5
[2026-05-16 15:30:35] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=14 train_loss=0.033828 val_loss=0.007010 best=0.007010 es=0/5
[2026-05-16 15:30:38] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=15 train_loss=0.032384 val_loss=0.006279 best=0.006279 es=0/5
[2026-05-16 15:30:41] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=16 train_loss=0.029248 val_loss=0.006753 best=0.006279 es=1/5
[2026-05-16 15:30:43] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=17 train_loss=0.027617 val_loss=0.005383 best=0.005383 es=0/5
[2026-05-16 15:30:46] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=18 train_loss=0.024049 val_loss=0.007336 best=0.005383 es=1/5
[2026-05-16 15:30:49] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=19 train_loss=0.023716 val_loss=0.006517 best=0.005383 es=2/5
[2026-05-16 15:30:52] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=20 train_loss=0.022954 val_loss=0.018594 best=0.005383 es=3/5
[2026-05-16 15:30:55] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=21 train_loss=0.017835 val_loss=0.005991 best=0.005383 es=4/5
[2026-05-16 15:30:57] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=22 train_loss=0.016148 val_loss=0.004806 best=0.004806 es=0/5
[2026-05-16 15:31:00] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=23 train_loss=0.015569 val_loss=0.004054 best=0.004054 es=0/5
[2026-05-16 15:31:03] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=24 train_loss=0.014321 val_loss=0.003488 best=0.003488 es=0/5
[2026-05-16 15:31:05] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=25 train_loss=0.013762 val_loss=0.004275 best=0.003488 es=1/5
[2026-05-16 15:31:08] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=26 train_loss=0.012408 val_loss=0.003479 best=0.003488 es=2/5
[2026-05-16 15:31:11] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=27 train_loss=0.011126 val_loss=0.003169 best=0.003169 es=0/5
[2026-05-16 15:31:14] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=28 train_loss=0.014220 val_loss=0.003138 best=0.003169 es=1/5
[2026-05-16 15:31:17] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=29 train_loss=0.013114 val_loss=0.002893 best=0.002893 es=0/5
[2026-05-16 15:31:19] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=30 train_loss=0.009169 val_loss=0.003906 best=0.002893 es=1/5
[2026-05-16 15:31:22] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=31 train_loss=0.008233 val_loss=0.003259 best=0.002893 es=2/5
[2026-05-16 15:31:25] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=32 train_loss=0.008841 val_loss=0.003108 best=0.002893 es=3/5
[2026-05-16 15:31:28] [representation][ae_width_to_depth][cand_417_d2_w420] epoch=33 train_loss=0.010379 val_loss=0.008979 best=0.002893 es=4/5
