[2026-05-16 18:13:41] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 18:13:41] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_025_d2_w27/training_log.txt
[2026-05-16 18:13:41] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_025_d2_w27/training_stats.csv
[2026-05-16 18:13:44] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=1 train_loss=0.371871 val_loss=0.365849 best=0.365849 es=0/5
[2026-05-16 18:13:47] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=2 train_loss=0.361119 val_loss=0.360650 best=0.360650 es=0/5
[2026-05-16 18:13:50] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=3 train_loss=0.358087 val_loss=0.358166 best=0.358166 es=0/5
[2026-05-16 18:13:53] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=4 train_loss=0.356234 val_loss=0.356343 best=0.356343 es=0/5
[2026-05-16 18:13:56] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=5 train_loss=0.354445 val_loss=0.354420 best=0.354420 es=0/5
[2026-05-16 18:13:59] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=6 train_loss=0.352441 val_loss=0.352200 best=0.352200 es=0/5
[2026-05-16 18:14:02] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=7 train_loss=0.350572 val_loss=0.350115 best=0.350115 es=0/5
[2026-05-16 18:14:05] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=8 train_loss=0.348746 val_loss=0.348437 best=0.348437 es=0/5
[2026-05-16 18:14:08] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=9 train_loss=0.347214 val_loss=0.346959 best=0.346959 es=0/5
[2026-05-16 18:14:11] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=10 train_loss=0.345967 val_loss=0.345722 best=0.345722 es=0/5
[2026-05-16 18:14:14] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=11 train_loss=0.344836 val_loss=0.344809 best=0.344809 es=0/5
[2026-05-16 18:14:17] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=12 train_loss=0.344172 val_loss=0.344166 best=0.344166 es=0/5
[2026-05-16 18:14:20] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=13 train_loss=0.343674 val_loss=0.343641 best=0.343641 es=0/5
[2026-05-16 18:14:23] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=14 train_loss=0.343146 val_loss=0.343277 best=0.343277 es=0/5
[2026-05-16 18:14:26] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=15 train_loss=0.342816 val_loss=0.342900 best=0.342900 es=0/5
[2026-05-16 18:14:29] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=16 train_loss=0.342492 val_loss=0.342779 best=0.342779 es=0/5
[2026-05-16 18:14:32] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=17 train_loss=0.342390 val_loss=0.342580 best=0.342580 es=0/5
[2026-05-16 18:14:35] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=18 train_loss=0.342043 val_loss=0.342405 best=0.342405 es=0/5
[2026-05-16 18:14:38] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=19 train_loss=0.341904 val_loss=0.342277 best=0.342277 es=0/5
[2026-05-16 18:14:41] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=20 train_loss=0.342053 val_loss=0.342224 best=0.342277 es=1/5
[2026-05-16 18:14:44] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=21 train_loss=0.341762 val_loss=0.341970 best=0.341970 es=0/5
[2026-05-16 18:14:48] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=22 train_loss=0.341696 val_loss=0.342061 best=0.341970 es=1/5
[2026-05-16 18:14:51] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=23 train_loss=0.341673 val_loss=0.342068 best=0.341970 es=2/5
[2026-05-16 18:14:54] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=24 train_loss=0.341597 val_loss=0.341991 best=0.341970 es=3/5
[2026-05-16 18:14:57] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=25 train_loss=0.341618 val_loss=0.341883 best=0.341970 es=4/5
[2026-05-16 18:15:00] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=26 train_loss=0.341574 val_loss=0.341824 best=0.341824 es=0/5
[2026-05-16 18:15:03] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=27 train_loss=0.341487 val_loss=0.341842 best=0.341824 es=1/5
[2026-05-16 18:15:06] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=28 train_loss=0.341454 val_loss=0.341808 best=0.341824 es=2/5
[2026-05-16 18:15:10] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=29 train_loss=0.341434 val_loss=0.341779 best=0.341824 es=3/5
[2026-05-16 18:15:13] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=30 train_loss=0.341397 val_loss=0.341820 best=0.341824 es=4/5
[2026-05-16 18:15:16] [autoencoding][ae_width_to_depth][cand_025_d2_w27] epoch=31 train_loss=0.341357 val_loss=0.341871 best=0.341824 es=5/5
