[2026-05-20 11:30:56] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 11:30:56] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_007_d1_w8/training_log.txt
[2026-05-20 11:30:56] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_007_d1_w8/training_stats.csv
[2026-05-20 11:30:56] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=7 search_phase=width architecture=[8]
[2026-05-20 11:30:59] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=1 architecture=[8] train_loss=0.740123 val_loss=0.741007 best=0.741007 es=0/5
[2026-05-20 11:31:01] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=2 architecture=[8] train_loss=0.733441 val_loss=0.737929 best=0.737929 es=0/5
[2026-05-20 11:31:04] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=3 architecture=[8] train_loss=0.729471 val_loss=0.734747 best=0.734747 es=0/5
[2026-05-20 11:31:07] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=4 architecture=[8] train_loss=0.726695 val_loss=0.732427 best=0.732427 es=0/5
[2026-05-20 11:31:09] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=5 architecture=[8] train_loss=0.724677 val_loss=0.730608 best=0.730608 es=0/5
[2026-05-20 11:31:12] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=6 architecture=[8] train_loss=0.723076 val_loss=0.729115 best=0.729115 es=0/5
[2026-05-20 11:31:15] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=7 architecture=[8] train_loss=0.721742 val_loss=0.727866 best=0.727866 es=0/5
[2026-05-20 11:31:18] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=8 architecture=[8] train_loss=0.720651 val_loss=0.726851 best=0.726851 es=0/5
[2026-05-20 11:31:20] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=9 architecture=[8] train_loss=0.719769 val_loss=0.725993 best=0.725993 es=0/5
[2026-05-20 11:31:23] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=10 architecture=[8] train_loss=0.718976 val_loss=0.725207 best=0.725207 es=0/5
[2026-05-20 11:31:26] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=11 architecture=[8] train_loss=0.718280 val_loss=0.724549 best=0.724549 es=0/5
[2026-05-20 11:31:28] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=12 architecture=[8] train_loss=0.717680 val_loss=0.723952 best=0.723952 es=0/5
[2026-05-20 11:31:31] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=13 architecture=[8] train_loss=0.717160 val_loss=0.723477 best=0.723477 es=0/5
[2026-05-20 11:31:34] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=14 architecture=[8] train_loss=0.716703 val_loss=0.723039 best=0.723039 es=0/5
[2026-05-20 11:31:37] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=15 architecture=[8] train_loss=0.716318 val_loss=0.722657 best=0.722657 es=0/5
[2026-05-20 11:31:39] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=16 architecture=[8] train_loss=0.715992 val_loss=0.722350 best=0.722350 es=0/5
[2026-05-20 11:31:42] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=17 architecture=[8] train_loss=0.715693 val_loss=0.722102 best=0.722102 es=0/5
[2026-05-20 11:31:45] [autoencoding][ae_width_to_depth][cand_007_d1_w8] epoch=18 architecture=[8] train_loss=0.715445 val_loss=0.721859 best=0.721859 es=0/5
