[2026-05-20 12:03:18] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 12:03:18] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_026_d1_w27/training_log.txt
[2026-05-20 12:03:18] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_026_d1_w27/training_stats.csv
[2026-05-20 12:03:18] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=26 search_phase=width architecture=[27]
[2026-05-20 12:03:21] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=1 architecture=[27] train_loss=0.358261 val_loss=0.357101 best=0.357101 es=0/5
[2026-05-20 12:03:24] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=2 architecture=[27] train_loss=0.355267 val_loss=0.354804 best=0.354804 es=0/5
[2026-05-20 12:03:27] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=3 architecture=[27] train_loss=0.353345 val_loss=0.352937 best=0.352937 es=0/5
[2026-05-20 12:03:29] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=4 architecture=[27] train_loss=0.351682 val_loss=0.350970 best=0.350970 es=0/5
[2026-05-20 12:03:32] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=5 architecture=[27] train_loss=0.350002 val_loss=0.349063 best=0.349063 es=0/5
[2026-05-20 12:03:35] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=6 architecture=[27] train_loss=0.348425 val_loss=0.347425 best=0.347425 es=0/5
[2026-05-20 12:03:38] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=7 architecture=[27] train_loss=0.347057 val_loss=0.346079 best=0.346079 es=0/5
[2026-05-20 12:03:41] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=8 architecture=[27] train_loss=0.345934 val_loss=0.344813 best=0.344813 es=0/5
[2026-05-20 12:03:43] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=9 architecture=[27] train_loss=0.344900 val_loss=0.343666 best=0.343666 es=0/5
[2026-05-20 12:03:46] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=10 architecture=[27] train_loss=0.344077 val_loss=0.342833 best=0.342833 es=0/5
[2026-05-20 12:03:49] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=11 architecture=[27] train_loss=0.343366 val_loss=0.341986 best=0.341986 es=0/5
[2026-05-20 12:03:52] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=12 architecture=[27] train_loss=0.342804 val_loss=0.341369 best=0.341369 es=0/5
[2026-05-20 12:03:55] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=13 architecture=[27] train_loss=0.342265 val_loss=0.340990 best=0.340990 es=0/5
[2026-05-20 12:03:58] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=14 architecture=[27] train_loss=0.341814 val_loss=0.340613 best=0.340613 es=0/5
[2026-05-20 12:04:00] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=15 architecture=[27] train_loss=0.341491 val_loss=0.340439 best=0.340439 es=0/5
[2026-05-20 12:04:03] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=16 architecture=[27] train_loss=0.341212 val_loss=0.340013 best=0.340013 es=0/5
[2026-05-20 12:04:06] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=17 architecture=[27] train_loss=0.341009 val_loss=0.339811 best=0.339811 es=0/5
[2026-05-20 12:04:09] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=18 architecture=[27] train_loss=0.340768 val_loss=0.339400 best=0.339400 es=0/5
[2026-05-20 12:04:12] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=19 architecture=[27] train_loss=0.340592 val_loss=0.339299 best=0.339299 es=0/5
[2026-05-20 12:04:15] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=20 architecture=[27] train_loss=0.340433 val_loss=0.339087 best=0.339087 es=0/5
[2026-05-20 12:04:17] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=21 architecture=[27] train_loss=0.340390 val_loss=0.338865 best=0.338865 es=0/5
[2026-05-20 12:04:20] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=22 architecture=[27] train_loss=0.340305 val_loss=0.338760 best=0.338760 es=0/5
[2026-05-20 12:04:23] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=23 architecture=[27] train_loss=0.340218 val_loss=0.338868 best=0.338760 es=1/5
[2026-05-20 12:04:26] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=24 architecture=[27] train_loss=0.340174 val_loss=0.338735 best=0.338760 es=2/5
[2026-05-20 12:04:29] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=25 architecture=[27] train_loss=0.340073 val_loss=0.338693 best=0.338760 es=3/5
[2026-05-20 12:04:32] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=26 architecture=[27] train_loss=0.340070 val_loss=0.338568 best=0.338568 es=0/5
[2026-05-20 12:04:34] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=27 architecture=[27] train_loss=0.340034 val_loss=0.338640 best=0.338568 es=1/5
[2026-05-20 12:04:37] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=28 architecture=[27] train_loss=0.339948 val_loss=0.338633 best=0.338568 es=2/5
[2026-05-20 12:04:40] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=29 architecture=[27] train_loss=0.339941 val_loss=0.338781 best=0.338568 es=3/5
[2026-05-20 12:04:43] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=30 architecture=[27] train_loss=0.339886 val_loss=0.338821 best=0.338568 es=4/5
[2026-05-20 12:04:46] [autoencoding][ae_width_to_depth][cand_026_d1_w27] epoch=31 architecture=[27] train_loss=0.339892 val_loss=0.338764 best=0.338568 es=5/5
