[2026-06-13 20:36:39] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 20:36:39] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_162_d3_w81/training_log.txt
[2026-06-13 20:36:39] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_162_d3_w81/training_stats.csv
[2026-06-13 20:36:49] Epoch 1 | architecture=[81, 81, 1] train_loss=0.807229 val_loss=1.016491 best=1.016491 es=0/10
[2026-06-13 20:36:49] Epoch 1 | architecture=[81, 81, 1] train_loss=0.795690 val_loss=0.974787 best=0.974787 es=0/10
[2026-06-13 20:36:49] Epoch 1 | architecture=[81, 81, 1] train_loss=0.785426 val_loss=0.955831 best=0.955831 es=0/10
[2026-06-13 20:36:49] Epoch 1 | architecture=[81, 81, 1] train_loss=0.770164 val_loss=0.888162 best=0.888162 es=0/10
[2026-06-13 20:36:49] Epoch 1 | architecture=[81, 81, 1] train_loss=0.760574 val_loss=0.913714 best=0.913714 es=0/10
[2026-06-13 20:36:50] Epoch 1 | architecture=[81, 81, 1] train_loss=0.746389 val_loss=0.916516 best=0.916516 es=0/10
[2026-06-13 20:36:50] Epoch 1 | architecture=[81, 81, 1] train_loss=0.735528 val_loss=0.881353 best=0.881353 es=0/10
[2026-06-13 20:36:50] Epoch 1 | architecture=[81, 81, 1] train_loss=0.724976 val_loss=0.880477 best=0.880477 es=0/10
[2026-06-13 20:36:50] Epoch 1 | architecture=[81, 81, 1] train_loss=0.715064 val_loss=0.857127 best=0.857127 es=0/10
[2026-06-13 20:36:50] Epoch 1 | architecture=[81, 81, 1] train_loss=0.701756 val_loss=0.889551 best=0.889551 es=0/10
[2026-06-13 20:36:50] Epoch 1 | architecture=[81, 81, 1] train_loss=0.692659 val_loss=0.901995 best=0.901995 es=0/10
[2026-06-13 20:36:51] Epoch 1 | architecture=[81, 81, 1] train_loss=0.689318 val_loss=0.796394 best=0.796394 es=0/10
[2026-06-13 20:36:51] Epoch 1 | architecture=[81, 81, 1] train_loss=0.678198 val_loss=0.827381 best=0.827381 es=0/10
[2026-06-13 20:36:51] Epoch 1 | architecture=[81, 81, 1] train_loss=0.658006 val_loss=0.835530 best=0.835530 es=0/10
