[2026-05-20 12:11:21] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 12:11:21] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_032_d1_w33/training_log.txt
[2026-05-20 12:11:21] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_032_d1_w33/training_stats.csv
[2026-05-20 12:11:21] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=32 search_phase=width architecture=[33]
[2026-05-20 12:11:24] [autoencoding][ae_width_to_depth][cand_032_d1_w33] epoch=1 architecture=[33] train_loss=0.247372 val_loss=0.237381 best=0.237381 es=0/5
[2026-05-20 12:11:27] [autoencoding][ae_width_to_depth][cand_032_d1_w33] epoch=2 architecture=[33] train_loss=0.245055 val_loss=0.236020 best=0.236020 es=0/5
[2026-05-20 12:11:30] [autoencoding][ae_width_to_depth][cand_032_d1_w33] epoch=3 architecture=[33] train_loss=0.243478 val_loss=0.234636 best=0.234636 es=0/5
[2026-05-20 12:11:33] [autoencoding][ae_width_to_depth][cand_032_d1_w33] epoch=4 architecture=[33] train_loss=0.241830 val_loss=0.233081 best=0.233081 es=0/5
[2026-05-20 12:11:36] [autoencoding][ae_width_to_depth][cand_032_d1_w33] epoch=5 architecture=[33] train_loss=0.240056 val_loss=0.231169 best=0.231169 es=0/5
[2026-05-20 12:11:38] [autoencoding][ae_width_to_depth][cand_032_d1_w33] epoch=6 architecture=[33] train_loss=0.238132 val_loss=0.229179 best=0.229179 es=0/5
[2026-05-20 12:11:41] [autoencoding][ae_width_to_depth][cand_032_d1_w33] epoch=7 architecture=[33] train_loss=0.236337 val_loss=0.227098 best=0.227098 es=0/5
[2026-05-20 12:11:44] [autoencoding][ae_width_to_depth][cand_032_d1_w33] epoch=8 architecture=[33] train_loss=0.234753 val_loss=0.225581 best=0.225581 es=0/5
[2026-05-20 12:11:47] [autoencoding][ae_width_to_depth][cand_032_d1_w33] epoch=9 architecture=[33] train_loss=0.233457 val_loss=0.224474 best=0.224474 es=0/5
[2026-05-20 12:11:50] [autoencoding][ae_width_to_depth][cand_032_d1_w33] epoch=10 architecture=[33] train_loss=0.232462 val_loss=0.223422 best=0.223422 es=0/5
