Model Name,Case Name,Time Taken,Total_Neurons,Train Samples,Test Samples,Mean MSE,Mean Gap Objective %,Max_Max Real Power Residual,Max_Mean Real Power Residual,Mean_Max Real Power Residual,Mean_Mean Real Power Residual ,Max_Max Reactive Power Residual,Max_Mean Reactive Power Residual,Mean_Max Reactive Power Residual,Mean_Mean Reactive Power Residual ,Max_Max Inequality PG,Max_Mean Inequality PG,Mean_Max Inequality PG,Mean_Mean Inequality PG,Max_Max Inequality QG,Max_Mean Inequality QG,Mean_Max Inequality QG,Mean_Mean Inequality QG,Max_Max Inequality VM,Max_Mean Inequality VM,Mean_Max Inequality VM,Mean_Mean Inequality VM
ADP-DEPTH,pglib_opf_case14_ieee,110m 36.30s,,20000,1500,2.9171760118629212e-08,0.0058724372647702,0.0363955050706863,0.0071441256441175,0.0067782108671963,0.0015807636082172,0.027875617146492,0.007557388395071,0.0047044386155903,0.0014160927385091,0.000198096036911,8.41438741190359e-05,2.524574301787652e-05,9.090432286029682e-06,0.002462513744831,0.0004925027606077,6.58455173834227e-05,1.430214433639776e-05,0.0002201795578002,1.938853893079795e-05,3.074049891438335e-05,3.329986384414952e-06
ADP-DEPTH,pglib_opf_case14_ieee,92m 2.31s,,20000,1500,5.4249532865924266e-08,0.0086038438603281,0.0273008942604064,0.0072966287843883,0.0098826512694358,0.0028757641557604,0.0247636381536722,0.0063993236981332,0.0081406291574239,0.0026546048466116,0.0001593008637428,0.0001026581958285,5.020519529352896e-05,2.5139495846815407e-05,0.0026767626404762,0.0008340433123521,8.209876978071406e-05,1.9012535631190985e-05,0.0007202625274658,0.0001303042663494,4.769516090163961e-05,6.316639428405324e-06
ADP-DEPTH,pglib_opf_case14_ieee,90m 23.03s,,20000,1500,3.76912616673053e-08,0.0075921388342976,0.0544151961803436,0.0149074792861938,0.0079741114750504,0.0020098416134715,0.0800182819366455,0.0194166004657745,0.0051428563892841,0.0016568665159866,0.0008562749717384,0.0003394660016056,2.5869936507660896e-05,1.024009361572098e-05,0.0034719631075859,0.0006943925982341,8.318508480442688e-05,1.757542122504674e-05,0.0003631114959716,3.959451350965537e-05,3.9483627915615216e-05,3.610537078202469e-06
ADP-DEPTH,pglib_opf_case14_ieee,113m 46.32s,,20000,1500,3.226301714676083e-08,0.0049551995471119,0.0442356467247009,0.010073990561068,0.0088546453043818,0.0023596689570695,0.053972378373146,0.0120412576943635,0.0056884498335421,0.0019832092802971,0.0001072250306606,4.2003393900813535e-05,1.896110552479513e-05,8.031996912905015e-06,0.0028120204806327,0.0006282910471782,7.113978790584952e-05,1.496286586188944e-05,0.0002467632293701,2.9393604563665576e-05,3.940931856050156e-05,4.545353931462159e-06
ADP-DEPTH,pglib_opf_case14_ieee,115m 36.13s,,20000,1500,7.055189854554555e-08,0.0064960326999425,0.0302419662475585,0.006790698505938,0.0095770005136728,0.0025776363909244,0.0166363418102264,0.0053265332244336,0.0070810280740261,0.0022781195584684,4.070042632520199e-05,1.2487219464674126e-05,1.018797320284648e-05,3.627969363151351e-06,0.0138628110289573,0.0031149252317845,0.0001636978413444,3.389576158951968e-05,0.0001143217086791,1.1375972462701611e-05,1.8453518350725066e-05,1.833643182180822e-06
ADP-WIDTH,pglib_opf_case14_ieee,165m 28.70s,,20000,1500,1.1446860526120883e-07,0.0072674178518354,0.0460409857332706,0.0164501443505287,0.0158118400722742,0.005016119685024,0.0678797289729118,0.0233736746013164,0.0096840364858508,0.0032243086025118,0.0010079611092805,0.0003749074530787,8.08996192063205e-05,2.974892413476482e-05,0.0094850435853004,0.0023029879666864,7.969664875417948e-05,1.7264879716094583e-05,0.0004394054412841,6.691898306598887e-05,0.0001106147756217,1.262754904018948e-05
ADP-WIDTH,pglib_opf_case14_ieee,234m 15.24s,,20000,1500,4.97484506922774e-08,0.0070464075542986,0.0686306953430175,0.0170017126947641,0.0111564751714468,0.0032110777683556,0.0563953220844268,0.0138202253729105,0.0083304559811949,0.0026845224201679,0.000359141267836,0.0001166731599369,3.8994399801595137e-05,1.634655927773565e-05,0.0045391619205474,0.0009571596747264,8.238569716922939e-05,1.7963007849175483e-05,0.0013778209686279,9.841578139457852e-05,4.310774966143072e-05,5.330829026206629e-06
ADP-WIDTH,pglib_opf_case14_ieee,228m 39.45s,,20000,1500,4.6767731021191146e-08,0.0080839954316616,0.0451424717903137,0.0137654105201363,0.0088816359639167,0.0023688080254942,0.0522975884377956,0.0193385295569896,0.0060248537920415,0.0020262957550585,0.0002258447930216,7.513006858061999e-05,2.972941547341179e-05,1.234771298186388e-05,0.0019827485084533,0.0007104918477125,0.0001073099774657,2.27215641643852e-05,0.0009942054748535,7.101467781467363e-05,4.201165938866325e-05,5.295656592352316e-06
ADP-WIDTH,pglib_opf_case14_ieee,225m 54.25s,,20000,1500,3.465413556114072e-08,0.0054731993004679,0.0350740700960159,0.0107311960309743,0.0103502869606018,0.0031455378048121,0.0295935608446598,0.0089069930836558,0.0077216243371367,0.0024371175095438,0.0001774528063833,9.947903163265436e-05,3.648721030913293e-05,1.5120504940568937e-05,0.0033178403973579,0.0006715789204463,5.484751454787329e-05,1.2139004866185132e-05,0.0003173351287841,5.555152893066406e-05,4.953892857884057e-05,5.69786880078027e-06
ADP-WIDTH,pglib_opf_case14_ieee,207m 3.68s,,20000,1500,3.673788029345816e-08,0.0068525243550539,0.0234476923942565,0.0074543403461575,0.0085243610665202,0.0024308350402861,0.0170058533549308,0.0053414502181112,0.0055853384546935,0.0018761362880468,0.0002577414561528,0.0001236253592651,4.494300810620189e-05,1.870830419647973e-05,0.0008597075939178,0.0002225160569651,5.087368845124729e-05,1.1063815691159108e-05,0.0007262229919433,5.187307033338584e-05,3.678679422591813e-05,4.164412075624568e-06
