[2026-05-18 02:34:22] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 02:34:22] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_131_d1_w132/training_log.txt
[2026-05-18 02:34:22] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_131_d1_w132/training_stats.csv
[2026-05-18 02:34:22] [CANDIDATE] task=representation phase=ae_alt_width index=131 search_phase=width architecture=[132]
[2026-05-18 02:34:28] [representation][ae_alt_width][cand_131_d1_w132] epoch=1 architecture=[132] train_loss=0.351866 val_loss=0.337638 best=0.333549 es=0/5
[2026-05-18 02:34:30] [representation][ae_alt_width][cand_131_d1_w132] epoch=2 architecture=[132] train_loss=0.331223 val_loss=0.334639 best=0.333549 es=0/5
[2026-05-18 02:34:33] [representation][ae_alt_width][cand_131_d1_w132] epoch=3 architecture=[132] train_loss=0.329043 val_loss=0.335374 best=0.333549 es=1/5
[2026-05-18 02:34:35] [representation][ae_alt_width][cand_131_d1_w132] epoch=4 architecture=[132] train_loss=0.329363 val_loss=0.332867 best=0.332867 es=0/5
[2026-05-18 02:34:41] [representation][ae_alt_width][cand_131_d1_w132] epoch=5 architecture=[132] train_loss=0.328286 val_loss=0.333979 best=0.332867 es=1/5
[2026-05-18 02:34:43] [representation][ae_alt_width][cand_131_d1_w132] epoch=6 architecture=[132] train_loss=0.328716 val_loss=0.333729 best=0.332867 es=2/5
[2026-05-18 02:34:45] [representation][ae_alt_width][cand_131_d1_w132] epoch=7 architecture=[132] train_loss=0.328739 val_loss=0.332163 best=0.332163 es=0/5
[2026-05-18 02:34:48] [representation][ae_alt_width][cand_131_d1_w132] epoch=8 architecture=[132] train_loss=0.328460 val_loss=0.332731 best=0.332163 es=1/5
[2026-05-18 02:34:50] [representation][ae_alt_width][cand_131_d1_w132] epoch=9 architecture=[132] train_loss=0.328125 val_loss=0.331959 best=0.331959 es=0/5
[2026-05-18 02:34:56] [representation][ae_alt_width][cand_131_d1_w132] epoch=10 architecture=[132] train_loss=0.327944 val_loss=0.332370 best=0.331959 es=1/5
[2026-05-18 02:34:58] [representation][ae_alt_width][cand_131_d1_w132] epoch=11 architecture=[132] train_loss=0.328228 val_loss=0.334094 best=0.331959 es=2/5
[2026-05-18 02:35:00] [representation][ae_alt_width][cand_131_d1_w132] epoch=12 architecture=[132] train_loss=0.328698 val_loss=0.332201 best=0.331959 es=3/5
[2026-05-18 02:35:03] [representation][ae_alt_width][cand_131_d1_w132] epoch=13 architecture=[132] train_loss=0.327358 val_loss=0.330916 best=0.330916 es=0/5
[2026-05-18 02:35:05] [representation][ae_alt_width][cand_131_d1_w132] epoch=14 architecture=[132] train_loss=0.327246 val_loss=0.333491 best=0.330916 es=1/5
[2026-05-18 02:35:11] [representation][ae_alt_width][cand_131_d1_w132] epoch=15 architecture=[132] train_loss=0.327552 val_loss=0.332320 best=0.330916 es=2/5
[2026-05-18 02:35:13] [representation][ae_alt_width][cand_131_d1_w132] epoch=16 architecture=[132] train_loss=0.328415 val_loss=0.332002 best=0.330916 es=3/5
[2026-05-18 02:35:16] [representation][ae_alt_width][cand_131_d1_w132] epoch=17 architecture=[132] train_loss=0.327525 val_loss=0.334339 best=0.330916 es=4/5
[2026-05-18 02:35:18] [representation][ae_alt_width][cand_131_d1_w132] epoch=18 architecture=[132] train_loss=0.328207 val_loss=0.330771 best=0.330771 es=0/5
[2026-05-18 02:35:20] [representation][ae_alt_width][cand_131_d1_w132] epoch=19 architecture=[132] train_loss=0.326870 val_loss=0.331414 best=0.330771 es=1/5
[2026-05-18 02:35:26] [representation][ae_alt_width][cand_131_d1_w132] epoch=20 architecture=[132] train_loss=0.326693 val_loss=0.331672 best=0.330771 es=2/5
[2026-05-18 02:35:28] [representation][ae_alt_width][cand_131_d1_w132] epoch=21 architecture=[132] train_loss=0.326853 val_loss=0.332761 best=0.330771 es=3/5
[2026-05-18 02:35:31] [representation][ae_alt_width][cand_131_d1_w132] epoch=22 architecture=[132] train_loss=0.327053 val_loss=0.333354 best=0.330771 es=4/5
[2026-05-18 02:35:33] [representation][ae_alt_width][cand_131_d1_w132] epoch=23 architecture=[132] train_loss=0.327305 val_loss=0.335220 best=0.330771 es=5/5
