[2026-05-18 02:46:05] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 02:46:05] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_149_d1_w150/training_log.txt
[2026-05-18 02:46:05] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_149_d1_w150/training_stats.csv
[2026-05-18 02:46:05] [CANDIDATE] task=representation phase=ae_alt_width index=149 search_phase=width architecture=[150]
[2026-05-18 02:46:11] [representation][ae_alt_width][cand_149_d1_w150] epoch=1 architecture=[150] train_loss=0.343080 val_loss=0.327828 best=0.322606 es=0/5
[2026-05-18 02:46:14] [representation][ae_alt_width][cand_149_d1_w150] epoch=2 architecture=[150] train_loss=0.320302 val_loss=0.324391 best=0.322606 es=0/5
[2026-05-18 02:46:16] [representation][ae_alt_width][cand_149_d1_w150] epoch=3 architecture=[150] train_loss=0.319017 val_loss=0.325143 best=0.322606 es=1/5
[2026-05-18 02:46:18] [representation][ae_alt_width][cand_149_d1_w150] epoch=4 architecture=[150] train_loss=0.319231 val_loss=0.324657 best=0.322606 es=2/5
[2026-05-18 02:46:25] [representation][ae_alt_width][cand_149_d1_w150] epoch=5 architecture=[150] train_loss=0.318504 val_loss=0.324829 best=0.322606 es=3/5
[2026-05-18 02:46:27] [representation][ae_alt_width][cand_149_d1_w150] epoch=6 architecture=[150] train_loss=0.318437 val_loss=0.325443 best=0.322606 es=4/5
[2026-05-18 02:46:29] [representation][ae_alt_width][cand_149_d1_w150] epoch=7 architecture=[150] train_loss=0.318357 val_loss=0.323386 best=0.322606 es=0/5
[2026-05-18 02:46:32] [representation][ae_alt_width][cand_149_d1_w150] epoch=8 architecture=[150] train_loss=0.318483 val_loss=0.324973 best=0.322606 es=1/5
[2026-05-18 02:46:34] [representation][ae_alt_width][cand_149_d1_w150] epoch=9 architecture=[150] train_loss=0.317544 val_loss=0.322163 best=0.322163 es=0/5
[2026-05-18 02:46:41] [representation][ae_alt_width][cand_149_d1_w150] epoch=10 architecture=[150] train_loss=0.317965 val_loss=0.323369 best=0.322163 es=1/5
[2026-05-18 02:46:43] [representation][ae_alt_width][cand_149_d1_w150] epoch=11 architecture=[150] train_loss=0.318383 val_loss=0.326243 best=0.322163 es=2/5
[2026-05-18 02:46:46] [representation][ae_alt_width][cand_149_d1_w150] epoch=12 architecture=[150] train_loss=0.318729 val_loss=0.321877 best=0.321877 es=0/5
[2026-05-18 02:46:48] [representation][ae_alt_width][cand_149_d1_w150] epoch=13 architecture=[150] train_loss=0.316942 val_loss=0.322373 best=0.321877 es=1/5
[2026-05-18 02:46:50] [representation][ae_alt_width][cand_149_d1_w150] epoch=14 architecture=[150] train_loss=0.316818 val_loss=0.323916 best=0.321877 es=2/5
[2026-05-18 02:46:57] [representation][ae_alt_width][cand_149_d1_w150] epoch=15 architecture=[150] train_loss=0.317927 val_loss=0.324388 best=0.321877 es=3/5
[2026-05-18 02:46:59] [representation][ae_alt_width][cand_149_d1_w150] epoch=16 architecture=[150] train_loss=0.318700 val_loss=0.326272 best=0.321877 es=4/5
[2026-05-18 02:47:01] [representation][ae_alt_width][cand_149_d1_w150] epoch=17 architecture=[150] train_loss=0.318979 val_loss=0.323287 best=0.321877 es=5/5
