[2026-05-18 01:11:51] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 01:11:51] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_027_d1_w28/training_log.txt
[2026-05-18 01:11:51] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_027_d1_w28/training_stats.csv
[2026-05-18 01:11:51] [CANDIDATE] task=representation phase=ae_alt_width index=27 search_phase=width architecture=[28]
[2026-05-18 01:11:55] [representation][ae_alt_width][cand_027_d1_w28] epoch=1 architecture=[28] train_loss=0.463381 val_loss=0.463510 best=0.462873 es=0/5
[2026-05-18 01:11:57] [representation][ae_alt_width][cand_027_d1_w28] epoch=2 architecture=[28] train_loss=0.461886 val_loss=0.462960 best=0.462873 es=0/5
[2026-05-18 01:11:59] [representation][ae_alt_width][cand_027_d1_w28] epoch=3 architecture=[28] train_loss=0.461858 val_loss=0.463087 best=0.462873 es=1/5
[2026-05-18 01:12:01] [representation][ae_alt_width][cand_027_d1_w28] epoch=4 architecture=[28] train_loss=0.461198 val_loss=0.462729 best=0.462729 es=0/5
[2026-05-18 01:12:05] [representation][ae_alt_width][cand_027_d1_w28] epoch=5 architecture=[28] train_loss=0.461383 val_loss=0.462664 best=0.462729 es=1/5
[2026-05-18 01:12:07] [representation][ae_alt_width][cand_027_d1_w28] epoch=6 architecture=[28] train_loss=0.461740 val_loss=0.462438 best=0.462438 es=0/5
[2026-05-18 01:12:09] [representation][ae_alt_width][cand_027_d1_w28] epoch=7 architecture=[28] train_loss=0.461316 val_loss=0.462495 best=0.462438 es=1/5
[2026-05-18 01:12:12] [representation][ae_alt_width][cand_027_d1_w28] epoch=8 architecture=[28] train_loss=0.461202 val_loss=0.462140 best=0.462140 es=0/5
[2026-05-18 01:12:14] [representation][ae_alt_width][cand_027_d1_w28] epoch=9 architecture=[28] train_loss=0.460933 val_loss=0.462358 best=0.462140 es=1/5
[2026-05-18 01:12:18] [representation][ae_alt_width][cand_027_d1_w28] epoch=10 architecture=[28] train_loss=0.460618 val_loss=0.461232 best=0.461232 es=0/5
[2026-05-18 01:12:20] [representation][ae_alt_width][cand_027_d1_w28] epoch=11 architecture=[28] train_loss=0.460256 val_loss=0.461672 best=0.461232 es=1/5
[2026-05-18 01:12:23] [representation][ae_alt_width][cand_027_d1_w28] epoch=12 architecture=[28] train_loss=0.460992 val_loss=0.462196 best=0.461232 es=2/5
[2026-05-18 01:12:25] [representation][ae_alt_width][cand_027_d1_w28] epoch=13 architecture=[28] train_loss=0.460696 val_loss=0.462140 best=0.461232 es=3/5
[2026-05-18 01:12:27] [representation][ae_alt_width][cand_027_d1_w28] epoch=14 architecture=[28] train_loss=0.460372 val_loss=0.461636 best=0.461232 es=4/5
[2026-05-18 01:12:31] [representation][ae_alt_width][cand_027_d1_w28] epoch=15 architecture=[28] train_loss=0.460104 val_loss=0.461855 best=0.461232 es=5/5
