[2026-05-16 19:58:16] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 19:58:16] Logs: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_058_d2_w60/training_log.txt
[2026-05-16 19:58:16] CSV: DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_058_d2_w60/training_stats.csv
[2026-05-16 19:58:19] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=1 train_loss=0.011658 val_loss=0.008449 best=0.008449 es=0/5
[2026-05-16 19:58:22] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=2 train_loss=0.008065 val_loss=0.007016 best=0.007016 es=0/5
[2026-05-16 19:58:25] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=3 train_loss=0.008003 val_loss=0.006838 best=0.006838 es=0/5
[2026-05-16 19:58:28] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=4 train_loss=0.007358 val_loss=0.006334 best=0.006334 es=0/5
[2026-05-16 19:58:32] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=5 train_loss=0.007081 val_loss=0.006256 best=0.006334 es=1/5
[2026-05-16 19:58:35] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=6 train_loss=0.007000 val_loss=0.006219 best=0.006219 es=0/5
[2026-05-16 19:58:38] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=7 train_loss=0.006796 val_loss=0.006351 best=0.006219 es=1/5
[2026-05-16 19:58:41] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=8 train_loss=0.006964 val_loss=0.006211 best=0.006219 es=2/5
[2026-05-16 19:58:44] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=9 train_loss=0.006935 val_loss=0.005967 best=0.005967 es=0/5
[2026-05-16 19:58:47] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=10 train_loss=0.006641 val_loss=0.005922 best=0.005967 es=1/5
[2026-05-16 19:58:50] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=11 train_loss=0.006612 val_loss=0.005869 best=0.005967 es=2/5
[2026-05-16 19:58:53] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=12 train_loss=0.006695 val_loss=0.005967 best=0.005967 es=3/5
[2026-05-16 19:58:56] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=13 train_loss=0.006617 val_loss=0.005824 best=0.005824 es=0/5
[2026-05-16 19:58:59] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=14 train_loss=0.006552 val_loss=0.005814 best=0.005824 es=1/5
[2026-05-16 19:59:02] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=15 train_loss=0.006523 val_loss=0.005903 best=0.005824 es=2/5
[2026-05-16 19:59:05] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=16 train_loss=0.006584 val_loss=0.005839 best=0.005824 es=3/5
[2026-05-16 19:59:08] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=17 train_loss=0.006756 val_loss=0.005908 best=0.005824 es=4/5
[2026-05-16 19:59:12] [autoencoding][ae_width_to_depth][cand_058_d2_w60] epoch=18 train_loss=0.006686 val_loss=0.005992 best=0.005824 es=5/5
