task,family,phase,architecture,best_val,best_epoch,final_epoch,source
anomaly,ADP,ae_alt_width,[46],0.0029942276461355777,3,3,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/anomaly/task_summary.json
anomaly,STL_ablation,stl_ablation_d03_w064_64_64_64,"[64, 64, 64]",0.010256814770400524,102,107,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/anomaly/stl_ablation_d03_w064_64_64_64/phase_summary.json
anomaly,STL_ablation,stl_ablation_d03_w096_96_96_96,"[96, 96, 96]",0.00405289838090539,93,98,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/anomaly/stl_ablation_d03_w096_96_96_96/phase_summary.json
anomaly,STL_ablation,stl_ablation_d03_w128_128_128_128,"[128, 128, 128]",0.0033929545897990465,73,78,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/anomaly/stl_ablation_d03_w128_128_128_128/phase_summary.json
anomaly,STL_ablation,stl_ablation_d03_w160_160_160_160,"[160, 160, 160]",0.002790166065096855,59,64,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/anomaly/stl_ablation_d03_w160_160_160_160/phase_summary.json
anomaly,STL_ablation,stl_ablation_d03_w192_192_192_192,"[192, 192, 192]",0.0020633828826248646,60,65,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/anomaly/stl_ablation_d03_w192_192_192_192/phase_summary.json
anomaly,STL_ablation,stl_ablation_d03_w224_224_224_224,"[224, 224, 224]",0.0022846658248454332,46,51,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/anomaly/stl_ablation_d03_w224_224_224_224/phase_summary.json
anomaly,STL_ablation,stl_ablation_d03_w256_256_256_256,"[256, 256, 256]",0.0025322753936052322,36,41,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/anomaly/stl_ablation_d03_w256_256_256_256/phase_summary.json
anomaly,STL_ablation,stl_ablation_d04_w064_64_64_64_64,"[64, 64, 64, 64]",0.013113060034811497,98,103,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/anomaly/stl_ablation_d04_w064_64_64_64_64/phase_summary.json
anomaly,STL_ablation,stl_ablation_d04_w096_96_96_96_96,"[96, 96, 96, 96]",0.005177185405045748,90,95,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/anomaly/stl_ablation_d04_w096_96_96_96_96/phase_summary.json
