task,family,phase,architecture,best_val,best_epoch,final_epoch,source
denoising,STL_ablation,stl_ablation_d08_w160_160_160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160, 160, 160]",0.014385182537351075,39,44,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d08_w192_192_192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192, 192, 192]",0.015659820094672698,26,31,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d08_w224_224_224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224, 224, 224]",0.010973225980922069,44,49,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d08_w256_256_256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256, 256, 256]",0.010857255169545213,35,40,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d10_w064_64_64_64_64_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",0.036985869385935934,74,79,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d10_w096_96_96_96_96_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",0.027294027703041738,51,56,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d10_w128_128_128_128_128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.018493105844958387,46,51,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d10_w160_160_160_160_160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160, 160, 160, 160, 160]",0.02126525164884646,28,33,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d10_w192_192_192_192_192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]",0.015563439971082543,31,36,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d10_w224_224_224_224_224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224, 224, 224, 224, 224]",0.018430291001589157,21,26,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_ablation,stl_ablation_d10_w256_256_256_256_256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",0.011211411192892907,37,42,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/ablation_summary.json
denoising,STL_paired,stl_from_ae_alt_depth,"[101, 101, 101, 101, 101, 101]",0.008895457736336465,34,39,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/task_summary.json
denoising,STL_paired,stl_from_ae_alt_width,[54],0.02836939498250111,46,51,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/task_summary.json
denoising,STL_paired,stl_from_ae_width_to_depth,[54],0.02918747294844156,46,51,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/task_summary.json
