task,phase,phase_type,best_val,best_epoch,final_epoch,test_loss,test_acc,best_checkpoint,candidate_dir
simulation,ae_width_only,width_only,0.008143860846757889,25,25,,,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/ae_width_only/cand_034_d1_w35/checkpoint_best.pt,cand_034_d1_w35
simulation,stl_from_ae_width_only,stl_refit,0.007281685248017311,480,490,0.025864053517580032,,MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01/simulation/stl_from_ae_width_only/cand_000_d1_w35/checkpoint_best.pt,cand_000_d1_w35
