[2026-05-24 08:22:52] Initialized ContinuousLogger for denoising_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-24 08:22:52] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_width_to_depth/cand_002_d1_w3/training_log.txt
[2026-05-24 08:22:52] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_width_to_depth/cand_002_d1_w3/training_stats.csv
[2026-05-24 08:22:52] [CANDIDATE] task=denoising phase=ae_width_to_depth index=2 search_phase=width architecture=[3]
[2026-05-24 08:22:55] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=1 architecture=[3] train_loss=0.931515 val_loss=0.926480 candidate_best=0.926480 global_best=0.926480 es=0/5
[2026-05-24 08:22:58] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=2 architecture=[3] train_loss=0.913417 val_loss=0.914984 candidate_best=0.914984 global_best=0.914984 es=0/5
[2026-05-24 08:23:01] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=3 architecture=[3] train_loss=0.902909 val_loss=0.905891 candidate_best=0.905891 global_best=0.905891 es=0/5
[2026-05-24 08:23:04] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=4 architecture=[3] train_loss=0.896069 val_loss=0.902299 candidate_best=0.902299 global_best=0.902299 es=0/5
[2026-05-24 08:23:06] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=5 architecture=[3] train_loss=0.893985 val_loss=0.900738 candidate_best=0.900738 global_best=0.900738 es=0/5
[2026-05-24 08:23:09] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=6 architecture=[3] train_loss=0.892955 val_loss=0.900329 candidate_best=0.900329 global_best=0.900329 es=0/5
[2026-05-24 08:23:11] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=7 architecture=[3] train_loss=0.892764 val_loss=0.900239 candidate_best=0.900329 global_best=0.900329 es=1/5
[2026-05-24 08:23:14] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=8 architecture=[3] train_loss=0.892710 val_loss=0.900163 candidate_best=0.900163 global_best=0.900163 es=0/5
[2026-05-24 08:23:16] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=9 architecture=[3] train_loss=0.892693 val_loss=0.900215 candidate_best=0.900163 global_best=0.900163 es=1/5
[2026-05-24 08:23:19] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=10 architecture=[3] train_loss=0.892668 val_loss=0.900159 candidate_best=0.900163 global_best=0.900163 es=2/5
[2026-05-24 08:23:22] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=11 architecture=[3] train_loss=0.892642 val_loss=0.900125 candidate_best=0.900163 global_best=0.900163 es=3/5
[2026-05-24 08:23:25] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=12 architecture=[3] train_loss=0.892642 val_loss=0.900137 candidate_best=0.900163 global_best=0.900163 es=4/5
[2026-05-24 08:23:27] [denoising][ae_width_to_depth][cand_002_d1_w3] epoch=13 architecture=[3] train_loss=0.892606 val_loss=0.900124 candidate_best=0.900163 global_best=0.900163 es=5/5
