[2026-06-14 03:08:37] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-14 03:08:37] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_548_d5_w110/training_log.txt
[2026-06-14 03:08:37] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_03/simulation/cand_548_d5_w110/training_stats.csv
[2026-06-14 03:08:37] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.003455 val_loss=0.006528 best=0.006528 es=0/10
[2026-06-14 03:08:38] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.005014 val_loss=0.005659 best=0.005659 es=0/10
[2026-06-14 03:08:38] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.003980 val_loss=0.001575 best=0.001575 es=0/10
[2026-06-14 03:08:38] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.003384 val_loss=0.001028 best=0.001028 es=0/10
[2026-06-14 03:08:39] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.004352 val_loss=0.001549 best=0.001549 es=0/10
[2026-06-14 03:08:39] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.002291 val_loss=0.001564 best=0.001564 es=0/10
[2026-06-14 03:08:39] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.001393 val_loss=0.001152 best=0.001152 es=0/10
[2026-06-14 03:08:40] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.002116 val_loss=0.000990 best=0.000990 es=0/10
[2026-06-14 03:08:40] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.002022 val_loss=0.000721 best=0.000721 es=0/10
[2026-06-14 03:08:41] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000802 val_loss=0.000606 best=0.000606 es=0/10
[2026-06-14 03:08:41] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.001263 val_loss=0.000708 best=0.000708 es=0/10
[2026-06-14 03:08:41] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000691 val_loss=0.000568 best=0.000568 es=0/10
[2026-06-14 03:08:42] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000790 val_loss=0.000346 best=0.000346 es=0/10
[2026-06-14 03:08:42] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000597 val_loss=0.000324 best=0.000324 es=0/10
[2026-06-14 03:08:42] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000670 val_loss=0.000383 best=0.000383 es=0/10
[2026-06-14 03:08:43] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000851 val_loss=0.000433 best=0.000433 es=0/10
[2026-06-14 03:08:43] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.001562 val_loss=0.000413 best=0.000413 es=0/10
[2026-06-14 03:08:43] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.001920 val_loss=0.000311 best=0.000311 es=0/10
[2026-06-14 03:08:44] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000615 val_loss=0.000362 best=0.000362 es=0/10
[2026-06-14 03:08:44] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000616 val_loss=0.000316 best=0.000316 es=0/10
[2026-06-14 03:08:45] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.001458 val_loss=0.000209 best=0.000209 es=0/10
[2026-06-14 03:08:45] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000662 val_loss=0.000214 best=0.000214 es=0/10
[2026-06-14 03:08:45] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000296 val_loss=0.000281 best=0.000281 es=0/10
[2026-06-14 03:08:46] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000538 val_loss=0.000407 best=0.000407 es=0/10
[2026-06-14 03:08:46] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000528 val_loss=0.000253 best=0.000253 es=0/10
[2026-06-14 03:08:46] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000649 val_loss=0.000182 best=0.000182 es=0/10
[2026-06-14 03:08:47] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000680 val_loss=0.000247 best=0.000247 es=0/10
[2026-06-14 03:08:47] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.002272 val_loss=0.000200 best=0.000200 es=0/10
[2026-06-14 03:08:47] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.000362 val_loss=0.000297 best=0.000297 es=0/10
[2026-06-14 03:08:48] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.001255 val_loss=0.000386 best=0.000386 es=0/10
[2026-06-14 03:08:48] Epoch 1 | architecture=[110, 110, 110, 110, 109] train_loss=0.002130 val_loss=0.000484 best=0.000484 es=0/10
