[2026-05-20 11:29:14] Initialized ContinuousLogger for autoencoding_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-20 11:29:14] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_006_d1_w7/training_log.txt
[2026-05-20 11:29:14] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_006_d1_w7/training_stats.csv
[2026-05-20 11:29:14] [CANDIDATE] task=autoencoding phase=ae_width_to_depth index=6 search_phase=width architecture=[7]
[2026-05-20 11:29:17] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=1 architecture=[7] train_loss=0.770955 val_loss=0.769986 best=0.762091 es=0/5
[2026-05-20 11:29:19] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=2 architecture=[7] train_loss=0.761433 val_loss=0.766201 best=0.762091 es=0/5
[2026-05-20 11:29:21] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=3 architecture=[7] train_loss=0.756138 val_loss=0.761881 best=0.761881 es=0/5
[2026-05-20 11:29:23] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=4 architecture=[7] train_loss=0.752389 val_loss=0.758569 best=0.758569 es=0/5
[2026-05-20 11:29:26] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=5 architecture=[7] train_loss=0.749644 val_loss=0.756059 best=0.756059 es=0/5
[2026-05-20 11:29:28] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=6 architecture=[7] train_loss=0.747555 val_loss=0.754104 best=0.754104 es=0/5
[2026-05-20 11:29:30] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=7 architecture=[7] train_loss=0.745894 val_loss=0.752559 best=0.752559 es=0/5
[2026-05-20 11:29:33] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=8 architecture=[7] train_loss=0.744541 val_loss=0.751336 best=0.751336 es=0/5
[2026-05-20 11:29:35] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=9 architecture=[7] train_loss=0.743456 val_loss=0.750284 best=0.750284 es=0/5
[2026-05-20 11:29:37] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=10 architecture=[7] train_loss=0.742496 val_loss=0.749365 best=0.749365 es=0/5
[2026-05-20 11:29:39] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=11 architecture=[7] train_loss=0.741636 val_loss=0.748533 best=0.748533 es=0/5
[2026-05-20 11:29:42] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=12 architecture=[7] train_loss=0.740845 val_loss=0.747733 best=0.747733 es=0/5
[2026-05-20 11:29:44] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=13 architecture=[7] train_loss=0.740102 val_loss=0.746991 best=0.746991 es=0/5
[2026-05-20 11:29:46] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=14 architecture=[7] train_loss=0.739412 val_loss=0.746322 best=0.746322 es=0/5
[2026-05-20 11:29:49] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=15 architecture=[7] train_loss=0.738778 val_loss=0.745704 best=0.745704 es=0/5
[2026-05-20 11:29:51] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=16 architecture=[7] train_loss=0.738201 val_loss=0.745153 best=0.745153 es=0/5
[2026-05-20 11:29:53] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=17 architecture=[7] train_loss=0.737693 val_loss=0.744660 best=0.744660 es=0/5
[2026-05-20 11:29:55] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=18 architecture=[7] train_loss=0.737258 val_loss=0.744236 best=0.744236 es=0/5
[2026-05-20 11:29:58] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=19 architecture=[7] train_loss=0.736876 val_loss=0.743866 best=0.743866 es=0/5
[2026-05-20 11:30:00] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=20 architecture=[7] train_loss=0.736532 val_loss=0.743550 best=0.743550 es=0/5
[2026-05-20 11:30:02] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=21 architecture=[7] train_loss=0.736237 val_loss=0.743278 best=0.743278 es=0/5
[2026-05-20 11:30:04] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=22 architecture=[7] train_loss=0.735988 val_loss=0.743038 best=0.743038 es=0/5
[2026-05-20 11:30:07] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=23 architecture=[7] train_loss=0.735763 val_loss=0.742842 best=0.742842 es=0/5
[2026-05-20 11:30:09] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=24 architecture=[7] train_loss=0.735592 val_loss=0.742686 best=0.742686 es=0/5
[2026-05-20 11:30:11] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=25 architecture=[7] train_loss=0.735434 val_loss=0.742546 best=0.742546 es=0/5
[2026-05-20 11:30:13] [autoencoding][ae_width_to_depth][cand_006_d1_w7] epoch=26 architecture=[7] train_loss=0.735280 val_loss=0.742409 best=0.742409 es=0/5
