[2026-05-18 17:33:57] Initialized ContinuousLogger for representation_ae_width_only (Mode: ae_width_only)
[2026-05-18 17:33:57] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_width_only/cand_001_d1_w2/training_log.txt
[2026-05-18 17:33:57] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_width_only/cand_001_d1_w2/training_stats.csv
[2026-05-18 17:33:57] [CANDIDATE] task=representation phase=ae_width_only index=1 search_phase=width architecture=[2]
[2026-05-18 17:35:27] [representation][ae_width_only][cand_001_d1_w2] epoch=36 architecture=[2] train_loss=0.736309 val_loss=0.738195 best=0.738195 es=0/5
[2026-05-18 17:35:30] [representation][ae_width_only][cand_001_d1_w2] epoch=37 architecture=[2] train_loss=0.735783 val_loss=0.737611 best=0.737611 es=0/5
[2026-05-18 17:35:32] [representation][ae_width_only][cand_001_d1_w2] epoch=38 architecture=[2] train_loss=0.735222 val_loss=0.737164 best=0.737164 es=0/5
[2026-05-18 17:35:34] [representation][ae_width_only][cand_001_d1_w2] epoch=39 architecture=[2] train_loss=0.734662 val_loss=0.736613 best=0.736613 es=0/5
[2026-05-18 17:35:37] [representation][ae_width_only][cand_001_d1_w2] epoch=40 architecture=[2] train_loss=0.734169 val_loss=0.736052 best=0.736052 es=0/5
[2026-05-18 17:35:39] [representation][ae_width_only][cand_001_d1_w2] epoch=41 architecture=[2] train_loss=0.733588 val_loss=0.735561 best=0.735561 es=0/5
[2026-05-18 17:35:42] [representation][ae_width_only][cand_001_d1_w2] epoch=42 architecture=[2] train_loss=0.733095 val_loss=0.735080 best=0.735080 es=0/5
[2026-05-18 17:35:44] [representation][ae_width_only][cand_001_d1_w2] epoch=43 architecture=[2] train_loss=0.732513 val_loss=0.734297 best=0.734297 es=0/5
[2026-05-18 17:35:47] [representation][ae_width_only][cand_001_d1_w2] epoch=44 architecture=[2] train_loss=0.731842 val_loss=0.733689 best=0.733689 es=0/5
[2026-05-18 17:35:49] [representation][ae_width_only][cand_001_d1_w2] epoch=45 architecture=[2] train_loss=0.731261 val_loss=0.733249 best=0.733249 es=0/5
[2026-05-18 17:35:52] [representation][ae_width_only][cand_001_d1_w2] epoch=46 architecture=[2] train_loss=0.730818 val_loss=0.732623 best=0.732623 es=0/5
[2026-05-18 17:35:54] [representation][ae_width_only][cand_001_d1_w2] epoch=47 architecture=[2] train_loss=0.730210 val_loss=0.732089 best=0.732089 es=0/5
[2026-05-18 17:35:56] [representation][ae_width_only][cand_001_d1_w2] epoch=48 architecture=[2] train_loss=0.729639 val_loss=0.731570 best=0.731570 es=0/5
[2026-05-18 17:35:59] [representation][ae_width_only][cand_001_d1_w2] epoch=49 architecture=[2] train_loss=0.729152 val_loss=0.731016 best=0.731016 es=0/5
[2026-05-18 17:36:02] [representation][ae_width_only][cand_001_d1_w2] epoch=50 architecture=[2] train_loss=0.728665 val_loss=0.730656 best=0.730656 es=0/5
[2026-05-18 17:36:04] [representation][ae_width_only][cand_001_d1_w2] epoch=51 architecture=[2] train_loss=0.728062 val_loss=0.730035 best=0.730035 es=0/5
[2026-05-18 17:36:06] [representation][ae_width_only][cand_001_d1_w2] epoch=52 architecture=[2] train_loss=0.727455 val_loss=0.729669 best=0.729669 es=0/5
[2026-05-18 17:36:09] [representation][ae_width_only][cand_001_d1_w2] epoch=53 architecture=[2] train_loss=0.727024 val_loss=0.729165 best=0.729165 es=0/5
[2026-05-18 17:36:11] [representation][ae_width_only][cand_001_d1_w2] epoch=54 architecture=[2] train_loss=0.726532 val_loss=0.728568 best=0.728568 es=0/5
[2026-05-18 17:36:14] [representation][ae_width_only][cand_001_d1_w2] epoch=55 architecture=[2] train_loss=0.725844 val_loss=0.727679 best=0.727679 es=0/5
[2026-05-18 17:36:16] [representation][ae_width_only][cand_001_d1_w2] epoch=56 architecture=[2] train_loss=0.724996 val_loss=0.727146 best=0.727146 es=0/5
[2026-05-18 17:36:19] [representation][ae_width_only][cand_001_d1_w2] epoch=57 architecture=[2] train_loss=0.724348 val_loss=0.726356 best=0.726356 es=0/5
[2026-05-18 17:36:21] [representation][ae_width_only][cand_001_d1_w2] epoch=58 architecture=[2] train_loss=0.723651 val_loss=0.725776 best=0.725776 es=0/5
[2026-05-18 17:36:23] [representation][ae_width_only][cand_001_d1_w2] epoch=59 architecture=[2] train_loss=0.723159 val_loss=0.725387 best=0.725387 es=0/5
[2026-05-18 17:36:26] [representation][ae_width_only][cand_001_d1_w2] epoch=60 architecture=[2] train_loss=0.722627 val_loss=0.724804 best=0.724804 es=0/5
[2026-05-18 17:36:29] [representation][ae_width_only][cand_001_d1_w2] epoch=61 architecture=[2] train_loss=0.722147 val_loss=0.724352 best=0.724352 es=0/5
[2026-05-18 17:36:31] [representation][ae_width_only][cand_001_d1_w2] epoch=62 architecture=[2] train_loss=0.721746 val_loss=0.724017 best=0.724017 es=0/5
[2026-05-18 17:36:33] [representation][ae_width_only][cand_001_d1_w2] epoch=63 architecture=[2] train_loss=0.721322 val_loss=0.723445 best=0.723445 es=0/5
[2026-05-18 17:36:36] [representation][ae_width_only][cand_001_d1_w2] epoch=64 architecture=[2] train_loss=0.720886 val_loss=0.723126 best=0.723126 es=0/5
[2026-05-18 17:36:39] [representation][ae_width_only][cand_001_d1_w2] epoch=65 architecture=[2] train_loss=0.720484 val_loss=0.722853 best=0.722853 es=0/5
[2026-05-18 17:36:41] [representation][ae_width_only][cand_001_d1_w2] epoch=66 architecture=[2] train_loss=0.720160 val_loss=0.722279 best=0.722279 es=0/5
[2026-05-18 17:36:44] [representation][ae_width_only][cand_001_d1_w2] epoch=67 architecture=[2] train_loss=0.719740 val_loss=0.721886 best=0.721886 es=0/5
[2026-05-18 17:36:46] [representation][ae_width_only][cand_001_d1_w2] epoch=68 architecture=[2] train_loss=0.719380 val_loss=0.721629 best=0.721629 es=0/5
[2026-05-18 17:36:48] [representation][ae_width_only][cand_001_d1_w2] epoch=69 architecture=[2] train_loss=0.718983 val_loss=0.721329 best=0.721329 es=0/5
[2026-05-18 17:36:51] [representation][ae_width_only][cand_001_d1_w2] epoch=70 architecture=[2] train_loss=0.718641 val_loss=0.720833 best=0.720833 es=0/5
[2026-05-18 17:36:54] [representation][ae_width_only][cand_001_d1_w2] epoch=71 architecture=[2] train_loss=0.718266 val_loss=0.720518 best=0.720518 es=0/5
[2026-05-18 17:36:56] [representation][ae_width_only][cand_001_d1_w2] epoch=72 architecture=[2] train_loss=0.717908 val_loss=0.720171 best=0.720171 es=0/5
[2026-05-18 17:36:58] [representation][ae_width_only][cand_001_d1_w2] epoch=73 architecture=[2] train_loss=0.717641 val_loss=0.719851 best=0.719851 es=0/5
[2026-05-18 17:37:01] [representation][ae_width_only][cand_001_d1_w2] epoch=74 architecture=[2] train_loss=0.717317 val_loss=0.719580 best=0.719580 es=0/5
[2026-05-18 17:37:04] [representation][ae_width_only][cand_001_d1_w2] epoch=75 architecture=[2] train_loss=0.716989 val_loss=0.719179 best=0.719179 es=0/5
[2026-05-18 17:37:06] [representation][ae_width_only][cand_001_d1_w2] epoch=76 architecture=[2] train_loss=0.716610 val_loss=0.718942 best=0.718942 es=0/5
[2026-05-18 17:37:08] [representation][ae_width_only][cand_001_d1_w2] epoch=77 architecture=[2] train_loss=0.716268 val_loss=0.718508 best=0.718508 es=0/5
[2026-05-18 17:37:11] [representation][ae_width_only][cand_001_d1_w2] epoch=78 architecture=[2] train_loss=0.715989 val_loss=0.718376 best=0.718376 es=0/5
[2026-05-18 17:37:13] [representation][ae_width_only][cand_001_d1_w2] epoch=79 architecture=[2] train_loss=0.715657 val_loss=0.717891 best=0.717891 es=0/5
[2026-05-18 17:37:16] [representation][ae_width_only][cand_001_d1_w2] epoch=80 architecture=[2] train_loss=0.715329 val_loss=0.717501 best=0.717501 es=0/5
[2026-05-18 17:37:18] [representation][ae_width_only][cand_001_d1_w2] epoch=81 architecture=[2] train_loss=0.715020 val_loss=0.717088 best=0.717088 es=0/5
[2026-05-18 17:37:21] [representation][ae_width_only][cand_001_d1_w2] epoch=82 architecture=[2] train_loss=0.714646 val_loss=0.716798 best=0.716798 es=0/5
[2026-05-18 17:37:23] [representation][ae_width_only][cand_001_d1_w2] epoch=83 architecture=[2] train_loss=0.714354 val_loss=0.716440 best=0.716440 es=0/5
[2026-05-18 17:37:26] [representation][ae_width_only][cand_001_d1_w2] epoch=84 architecture=[2] train_loss=0.714044 val_loss=0.716306 best=0.716306 es=0/5
[2026-05-18 17:37:28] [representation][ae_width_only][cand_001_d1_w2] epoch=85 architecture=[2] train_loss=0.713811 val_loss=0.715769 best=0.715769 es=0/5
[2026-05-18 17:37:31] [representation][ae_width_only][cand_001_d1_w2] epoch=86 architecture=[2] train_loss=0.713459 val_loss=0.715638 best=0.715638 es=0/5
[2026-05-18 17:37:33] [representation][ae_width_only][cand_001_d1_w2] epoch=87 architecture=[2] train_loss=0.713172 val_loss=0.715229 best=0.715229 es=0/5
[2026-05-18 17:37:36] [representation][ae_width_only][cand_001_d1_w2] epoch=88 architecture=[2] train_loss=0.712958 val_loss=0.714910 best=0.714910 es=0/5
[2026-05-18 17:37:38] [representation][ae_width_only][cand_001_d1_w2] epoch=89 architecture=[2] train_loss=0.712630 val_loss=0.714271 best=0.714271 es=0/5
[2026-05-18 17:37:41] [representation][ae_width_only][cand_001_d1_w2] epoch=90 architecture=[2] train_loss=0.712177 val_loss=0.713701 best=0.713701 es=0/5
[2026-05-18 17:37:43] [representation][ae_width_only][cand_001_d1_w2] epoch=91 architecture=[2] train_loss=0.711692 val_loss=0.713272 best=0.713272 es=0/5
[2026-05-18 17:37:46] [representation][ae_width_only][cand_001_d1_w2] epoch=92 architecture=[2] train_loss=0.711355 val_loss=0.712900 best=0.712900 es=0/5
[2026-05-18 17:37:48] [representation][ae_width_only][cand_001_d1_w2] epoch=93 architecture=[2] train_loss=0.711048 val_loss=0.712622 best=0.712622 es=0/5
[2026-05-18 17:37:51] [representation][ae_width_only][cand_001_d1_w2] epoch=94 architecture=[2] train_loss=0.710796 val_loss=0.712236 best=0.712236 es=0/5
[2026-05-18 17:37:54] [representation][ae_width_only][cand_001_d1_w2] epoch=95 architecture=[2] train_loss=0.710505 val_loss=0.712050 best=0.712050 es=0/5
[2026-05-18 17:37:56] [representation][ae_width_only][cand_001_d1_w2] epoch=96 architecture=[2] train_loss=0.710224 val_loss=0.711642 best=0.711642 es=0/5
[2026-05-18 17:37:59] [representation][ae_width_only][cand_001_d1_w2] epoch=97 architecture=[2] train_loss=0.709962 val_loss=0.711546 best=0.711642 es=1/5
[2026-05-18 17:38:01] [representation][ae_width_only][cand_001_d1_w2] epoch=98 architecture=[2] train_loss=0.709724 val_loss=0.711095 best=0.711095 es=0/5
[2026-05-18 17:38:04] [representation][ae_width_only][cand_001_d1_w2] epoch=99 architecture=[2] train_loss=0.709440 val_loss=0.710873 best=0.710873 es=0/5
[2026-05-18 17:38:07] [representation][ae_width_only][cand_001_d1_w2] epoch=100 architecture=[2] train_loss=0.709246 val_loss=0.710794 best=0.710873 es=1/5
[2026-05-18 17:38:09] [representation][ae_width_only][cand_001_d1_w2] epoch=101 architecture=[2] train_loss=0.708987 val_loss=0.710431 best=0.710431 es=0/5
[2026-05-18 17:38:11] [representation][ae_width_only][cand_001_d1_w2] epoch=102 architecture=[2] train_loss=0.708706 val_loss=0.710162 best=0.710162 es=0/5
[2026-05-18 17:38:14] [representation][ae_width_only][cand_001_d1_w2] epoch=103 architecture=[2] train_loss=0.708425 val_loss=0.709771 best=0.709771 es=0/5
[2026-05-18 17:38:16] [representation][ae_width_only][cand_001_d1_w2] epoch=104 architecture=[2] train_loss=0.708199 val_loss=0.709741 best=0.709771 es=1/5
