[2026-06-06 14:24:51] Initialized ContinuousLogger for stl_ablation (Mode: stl_ablation)
[2026-06-06 21:14:44] [ABLATION:classification] STL phase start: stl_ablation_r04_d31475_parammatched architecture=[31475]
[2026-06-06 21:25:40] [ABLATION:classification] STL phase start: stl_ablation_r05_d31475_parammatched architecture=[31475]
[2026-06-06 21:36:24] [ABLATION:classification] STL phase start: stl_ablation_r01_d29508_parammatched architecture=[29508]
[2026-06-06 21:59:55] [ABLATION:classification] STL phase start: stl_ablation_r02_d29508_parammatched architecture=[29508]
[2026-06-06 22:19:28] [ABLATION:classification] STL phase start: stl_ablation_r03_d29508_parammatched architecture=[29508]
[2026-06-06 22:31:59] [ABLATION:classification] STL phase start: stl_ablation_r04_d29508_parammatched architecture=[29508]
[2026-06-06 23:04:10] [ABLATION:classification] STL phase start: stl_ablation_r05_d29508_parammatched architecture=[29508]
[2026-06-06 23:25:19] [ABLATION:classification] STL phase start: stl_ablation_r01_d27540_parammatched architecture=[27540]
[2026-06-06 23:38:35] [ABLATION:classification] STL phase start: stl_ablation_r02_d27540_parammatched architecture=[27540]
[2026-06-07 00:50:33] [ABLATION:classification] STL phase start: stl_ablation_r03_d27540_parammatched architecture=[27540]
[2026-06-07 01:12:34] [ABLATION:classification] STL phase start: stl_ablation_r04_d27540_parammatched architecture=[27540]
[2026-06-07 01:26:05] [ABLATION:classification] STL phase start: stl_ablation_r05_d27540_parammatched architecture=[27540]
[2026-06-07 01:39:33] [ABLATION:classification] STL phase start: stl_ablation_r01_d25573_parammatched architecture=[25573]
[2026-06-07 01:59:57] [ABLATION:classification] STL phase start: stl_ablation_r02_d25573_parammatched architecture=[25573]
[2026-06-07 02:20:01] [ABLATION:classification] STL phase start: stl_ablation_r03_d25573_parammatched architecture=[25573]
[2026-06-07 02:39:26] [ABLATION:classification] STL phase start: stl_ablation_r04_d25573_parammatched architecture=[25573]
[2026-06-07 02:54:24] [ABLATION:classification] STL phase start: stl_ablation_r05_d25573_parammatched architecture=[25573]
[2026-06-07 03:08:19] [ABLATION:classification] STL phase start: stl_ablation_r01_d23606_parammatched architecture=[23606]
[2026-06-07 03:26:09] [ABLATION:classification] STL phase start: stl_ablation_r02_d23606_parammatched architecture=[23606]
[2026-06-07 03:49:45] [ABLATION:classification] STL phase start: stl_ablation_r03_d23606_parammatched architecture=[23606]
[2026-06-07 03:58:55] [ABLATION:classification] STL phase start: stl_ablation_r04_d23606_parammatched architecture=[23606]
[2026-06-07 04:20:51] [ABLATION:classification] STL phase start: stl_ablation_r05_d23606_parammatched architecture=[23606]
[2026-06-07 04:36:25] [ABLATION:classification] STL phase start: stl_ablation_r01_d21639_parammatched architecture=[21639]
[2026-06-07 05:03:38] [ABLATION:classification] STL phase start: stl_ablation_r02_d21639_parammatched architecture=[21639]
[2026-06-07 05:24:47] [ABLATION:classification] STL phase start: stl_ablation_r03_d21639_parammatched architecture=[21639]
[2026-06-07 05:35:59] [ABLATION:classification] STL phase start: stl_ablation_r04_d21639_parammatched architecture=[21639]
[2026-06-07 05:49:46] [ABLATION:classification] STL phase start: stl_ablation_r05_d21639_parammatched architecture=[21639]
[2026-06-07 06:16:26] [ABLATION:classification] STL phase start: stl_ablation_r01_d19672_parammatched architecture=[19672]
