[2026-06-15 08:38:59] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-15 08:38:59] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_04/simulation/cand_771_d7_w126/training_log.txt
[2026-06-15 08:38:59] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/main_without_denoising_v1/repeat_04/simulation/cand_771_d7_w126/training_stats.csv
[2026-06-15 08:38:59] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.039722 val_loss=0.015518 best=0.015518 es=0/10
[2026-06-15 08:39:00] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.011006 val_loss=0.034348 best=0.034348 es=0/10
[2026-06-15 08:39:00] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.004909 val_loss=0.036867 best=0.036867 es=0/10
[2026-06-15 08:39:00] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.003912 val_loss=0.035249 best=0.035249 es=0/10
[2026-06-15 08:39:00] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.004236 val_loss=0.044054 best=0.044054 es=0/10
[2026-06-15 08:39:01] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.005341 val_loss=0.044741 best=0.044741 es=0/10
[2026-06-15 08:39:01] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.003540 val_loss=0.038329 best=0.038329 es=0/10
[2026-06-15 08:39:01] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.002282 val_loss=0.022923 best=0.022923 es=0/10
[2026-06-15 08:39:02] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.001993 val_loss=0.012637 best=0.012637 es=0/10
[2026-06-15 08:39:02] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.001154 val_loss=0.009192 best=0.009192 es=0/10
[2026-06-15 08:39:02] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.001031 val_loss=0.006799 best=0.006799 es=0/10
[2026-06-15 08:39:02] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.002027 val_loss=0.005395 best=0.005395 es=0/10
[2026-06-15 08:39:03] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 16] train_loss=0.002102 val_loss=0.003475 best=0.003475 es=0/10
