[2026-06-13 20:20:43] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 20:20:43] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_043_d1_w44/training_log.txt
[2026-06-13 20:20:43] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_043_d1_w44/training_stats.csv
[2026-06-13 20:20:44] Epoch 1 | architecture=[44] train_loss=0.015904 val_loss=0.023912 best=0.023912 es=0/10
[2026-06-13 20:20:44] Epoch 1 | architecture=[44] train_loss=0.015197 val_loss=0.025035 best=0.025035 es=0/10
[2026-06-13 20:20:44] Epoch 1 | architecture=[44] train_loss=0.014209 val_loss=0.017013 best=0.017013 es=0/10
[2026-06-13 20:20:44] Epoch 1 | architecture=[44] train_loss=0.013791 val_loss=0.014046 best=0.014046 es=0/10
[2026-06-13 20:20:44] Epoch 1 | architecture=[44] train_loss=0.013667 val_loss=0.013699 best=0.013699 es=0/10
[2026-06-13 20:20:44] Epoch 1 | architecture=[44] train_loss=0.013333 val_loss=0.013981 best=0.013981 es=0/10
[2026-06-13 20:20:45] Epoch 1 | architecture=[44] train_loss=0.013810 val_loss=0.014696 best=0.014696 es=0/10
[2026-06-13 20:20:45] Epoch 1 | architecture=[44] train_loss=0.013259 val_loss=0.015379 best=0.015379 es=0/10
[2026-06-13 20:20:45] Epoch 1 | architecture=[44] train_loss=0.012653 val_loss=0.016374 best=0.016374 es=0/10
[2026-06-13 20:20:45] Epoch 1 | architecture=[44] train_loss=0.012957 val_loss=0.016760 best=0.016760 es=0/10
[2026-06-13 20:20:45] Epoch 1 | architecture=[44] train_loss=0.013716 val_loss=0.015983 best=0.015983 es=0/10
[2026-06-13 20:20:45] Epoch 1 | architecture=[44] train_loss=0.013320 val_loss=0.015081 best=0.015081 es=0/10
[2026-06-13 20:20:45] Epoch 1 | architecture=[44] train_loss=0.012821 val_loss=0.014274 best=0.014274 es=0/10
[2026-06-13 20:20:46] Epoch 1 | architecture=[44] train_loss=0.012487 val_loss=0.013908 best=0.013908 es=0/10
[2026-06-13 20:20:46] Epoch 1 | architecture=[44] train_loss=0.012609 val_loss=0.013731 best=0.013731 es=0/10
