[2026-05-16 10:55:16] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 10:55:16] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_011_d2_w13/training_log.txt
[2026-05-16 10:55:16] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_011_d2_w13/training_stats.csv
[2026-05-16 10:55:18] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=1 train_loss=0.700473 val_loss=0.661836 best=0.661836 es=0/5
[2026-05-16 10:55:21] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=2 train_loss=0.647935 val_loss=0.648628 best=0.648628 es=0/5
[2026-05-16 10:55:23] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=3 train_loss=0.639040 val_loss=0.643154 best=0.643154 es=0/5
[2026-05-16 10:55:26] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=4 train_loss=0.635069 val_loss=0.640315 best=0.640315 es=0/5
[2026-05-16 10:55:28] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=5 train_loss=0.632594 val_loss=0.638258 best=0.638258 es=0/5
[2026-05-16 10:55:31] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=6 train_loss=0.630712 val_loss=0.636520 best=0.636520 es=0/5
[2026-05-16 10:55:33] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=7 train_loss=0.628969 val_loss=0.634815 best=0.634815 es=0/5
[2026-05-16 10:55:36] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=8 train_loss=0.627389 val_loss=0.633154 best=0.633154 es=0/5
[2026-05-16 10:55:38] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=9 train_loss=0.625318 val_loss=0.630949 best=0.630949 es=0/5
[2026-05-16 10:55:40] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=10 train_loss=0.623147 val_loss=0.628884 best=0.628884 es=0/5
[2026-05-16 10:55:43] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=11 train_loss=0.621290 val_loss=0.627062 best=0.627062 es=0/5
[2026-05-16 10:55:45] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=12 train_loss=0.619650 val_loss=0.625549 best=0.625549 es=0/5
[2026-05-16 10:55:48] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=13 train_loss=0.618496 val_loss=0.624455 best=0.624455 es=0/5
[2026-05-16 10:55:50] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=14 train_loss=0.617655 val_loss=0.623766 best=0.623766 es=0/5
[2026-05-16 10:55:53] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=15 train_loss=0.616947 val_loss=0.623113 best=0.623113 es=0/5
[2026-05-16 10:55:55] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=16 train_loss=0.616509 val_loss=0.622723 best=0.622723 es=0/5
[2026-05-16 10:55:58] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=17 train_loss=0.616240 val_loss=0.622357 best=0.622357 es=0/5
[2026-05-16 10:56:00] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=18 train_loss=0.615749 val_loss=0.622079 best=0.622079 es=0/5
[2026-05-16 10:56:03] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=19 train_loss=0.615486 val_loss=0.621828 best=0.621828 es=0/5
[2026-05-16 10:56:05] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=20 train_loss=0.615432 val_loss=0.621777 best=0.621828 es=1/5
[2026-05-16 10:56:08] [representation][ae_width_to_depth][cand_011_d2_w13] epoch=21 train_loss=0.615493 val_loss=0.621789 best=0.621828 es=2/5
