[2026-06-12 21:42:35] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-12 21:42:35] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_562_d5_w113/training_log.txt
[2026-06-12 21:42:35] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_562_d5_w113/training_stats.csv
[2026-06-12 21:42:35] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.004680 val_loss=0.001095 best=0.001095 es=0/10
[2026-06-12 21:42:36] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.006177 val_loss=0.008355 best=0.008355 es=0/10
[2026-06-12 21:42:36] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.003221 val_loss=0.002060 best=0.002060 es=0/10
[2026-06-12 21:42:36] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.002622 val_loss=0.002809 best=0.002809 es=0/10
[2026-06-12 21:42:36] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.003056 val_loss=0.002646 best=0.002646 es=0/10
[2026-06-12 21:42:37] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.002110 val_loss=0.001069 best=0.001069 es=0/10
[2026-06-12 21:42:37] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.001674 val_loss=0.002557 best=0.002557 es=0/10
[2026-06-12 21:42:37] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.001280 val_loss=0.002123 best=0.002123 es=0/10
[2026-06-12 21:42:37] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.001232 val_loss=0.000628 best=0.000628 es=0/10
[2026-06-12 21:42:37] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000853 val_loss=0.001112 best=0.001112 es=0/10
[2026-06-12 21:42:38] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.001306 val_loss=0.000751 best=0.000751 es=0/10
[2026-06-12 21:42:38] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000702 val_loss=0.000343 best=0.000343 es=0/10
[2026-06-12 21:42:38] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000717 val_loss=0.000665 best=0.000665 es=0/10
[2026-06-12 21:42:38] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.002024 val_loss=0.000470 best=0.000470 es=0/10
[2026-06-12 21:42:38] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000916 val_loss=0.000243 best=0.000243 es=0/10
[2026-06-12 21:42:39] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000470 val_loss=0.000385 best=0.000385 es=0/10
[2026-06-12 21:42:39] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000495 val_loss=0.000289 best=0.000289 es=0/10
[2026-06-12 21:42:39] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000454 val_loss=0.000279 best=0.000279 es=0/10
[2026-06-12 21:42:40] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000600 val_loss=0.000326 best=0.000326 es=0/10
[2026-06-12 21:42:40] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000957 val_loss=0.000259 best=0.000259 es=0/10
[2026-06-12 21:42:40] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000742 val_loss=0.000347 best=0.000347 es=0/10
[2026-06-12 21:42:40] Epoch 1 | architecture=[113, 113, 113, 112, 112] train_loss=0.000401 val_loss=0.000334 best=0.000334 es=0/10
