[2026-05-18 02:22:36] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 02:22:36] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_114_d1_w115/training_log.txt
[2026-05-18 02:22:36] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_114_d1_w115/training_stats.csv
[2026-05-18 02:22:36] [CANDIDATE] task=representation phase=ae_alt_width index=114 search_phase=width architecture=[115]
[2026-05-18 02:22:42] [representation][ae_alt_width][cand_114_d1_w115] epoch=1 architecture=[115] train_loss=0.356344 val_loss=0.346698 best=0.344029 es=0/5
[2026-05-18 02:22:44] [representation][ae_alt_width][cand_114_d1_w115] epoch=2 architecture=[115] train_loss=0.342166 val_loss=0.347441 best=0.344029 es=1/5
[2026-05-18 02:22:47] [representation][ae_alt_width][cand_114_d1_w115] epoch=3 architecture=[115] train_loss=0.342178 val_loss=0.344199 best=0.344029 es=0/5
[2026-05-18 02:22:49] [representation][ae_alt_width][cand_114_d1_w115] epoch=4 architecture=[115] train_loss=0.340673 val_loss=0.345716 best=0.344029 es=1/5
[2026-05-18 02:22:54] [representation][ae_alt_width][cand_114_d1_w115] epoch=5 architecture=[115] train_loss=0.340155 val_loss=0.343500 best=0.343500 es=0/5
[2026-05-18 02:22:57] [representation][ae_alt_width][cand_114_d1_w115] epoch=6 architecture=[115] train_loss=0.340090 val_loss=0.344796 best=0.343500 es=1/5
[2026-05-18 02:22:59] [representation][ae_alt_width][cand_114_d1_w115] epoch=7 architecture=[115] train_loss=0.341496 val_loss=0.344663 best=0.343500 es=2/5
[2026-05-18 02:23:01] [representation][ae_alt_width][cand_114_d1_w115] epoch=8 architecture=[115] train_loss=0.340518 val_loss=0.343359 best=0.343359 es=0/5
[2026-05-18 02:23:03] [representation][ae_alt_width][cand_114_d1_w115] epoch=9 architecture=[115] train_loss=0.340349 val_loss=0.344398 best=0.343359 es=1/5
[2026-05-18 02:23:09] [representation][ae_alt_width][cand_114_d1_w115] epoch=10 architecture=[115] train_loss=0.339596 val_loss=0.345208 best=0.343359 es=2/5
[2026-05-18 02:23:11] [representation][ae_alt_width][cand_114_d1_w115] epoch=11 architecture=[115] train_loss=0.340218 val_loss=0.345947 best=0.343359 es=3/5
[2026-05-18 02:23:13] [representation][ae_alt_width][cand_114_d1_w115] epoch=12 architecture=[115] train_loss=0.340626 val_loss=0.343898 best=0.343359 es=4/5
[2026-05-18 02:23:15] [representation][ae_alt_width][cand_114_d1_w115] epoch=13 architecture=[115] train_loss=0.339680 val_loss=0.344648 best=0.343359 es=5/5
