[2026-06-12 22:17:53] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-12 22:17:53] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_868_d7_w126/training_log.txt
[2026-06-12 22:17:53] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/repeat4_plus_sim_pred5_v1/repeat_02/simulation/cand_868_d7_w126/training_stats.csv
[2026-06-12 22:17:53] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.005212 val_loss=0.002632 best=0.002632 es=0/10
[2026-06-12 22:17:53] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.002512 val_loss=0.005758 best=0.005758 es=0/10
[2026-06-12 22:17:54] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.003768 val_loss=0.003683 best=0.003683 es=0/10
[2026-06-12 22:17:54] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.003307 val_loss=0.001198 best=0.001198 es=0/10
[2026-06-12 22:17:54] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001528 val_loss=0.001424 best=0.001424 es=0/10
[2026-06-12 22:17:54] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001026 val_loss=0.002190 best=0.002190 es=0/10
[2026-06-12 22:17:55] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.002763 val_loss=0.000786 best=0.000786 es=0/10
[2026-06-12 22:17:55] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001053 val_loss=0.000676 best=0.000676 es=0/10
[2026-06-12 22:17:55] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001180 val_loss=0.001338 best=0.001338 es=0/10
[2026-06-12 22:17:55] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001288 val_loss=0.001016 best=0.001016 es=0/10
[2026-06-12 22:17:55] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.000987 val_loss=0.000653 best=0.000653 es=0/10
[2026-06-12 22:17:56] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001957 val_loss=0.000293 best=0.000293 es=0/10
[2026-06-12 22:17:56] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.000600 val_loss=0.000252 best=0.000252 es=0/10
[2026-06-12 22:17:56] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.000355 val_loss=0.000302 best=0.000302 es=0/10
[2026-06-12 22:17:56] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.000950 val_loss=0.000318 best=0.000318 es=0/10
[2026-06-12 22:17:56] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.002828 val_loss=0.000480 best=0.000480 es=0/10
[2026-06-12 22:17:57] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001376 val_loss=0.000234 best=0.000234 es=0/10
[2026-06-12 22:17:57] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.000672 val_loss=0.000320 best=0.000320 es=0/10
[2026-06-12 22:17:57] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.000568 val_loss=0.000394 best=0.000394 es=0/10
[2026-06-12 22:17:57] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001072 val_loss=0.000179 best=0.000179 es=0/10
[2026-06-12 22:17:57] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.000912 val_loss=0.000367 best=0.000367 es=0/10
[2026-06-12 22:17:58] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.000770 val_loss=0.000536 best=0.000536 es=0/10
[2026-06-12 22:17:58] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001416 val_loss=0.000196 best=0.000196 es=0/10
[2026-06-12 22:17:58] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.000214 val_loss=0.000332 best=0.000332 es=0/10
[2026-06-12 22:17:58] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001831 val_loss=0.000872 best=0.000872 es=0/10
[2026-06-12 22:17:58] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001145 val_loss=0.000206 best=0.000206 es=0/10
[2026-06-12 22:17:59] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.000440 val_loss=0.000325 best=0.000325 es=0/10
[2026-06-12 22:17:59] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001070 val_loss=0.000607 best=0.000607 es=0/10
[2026-06-12 22:17:59] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.001023 val_loss=0.000214 best=0.000214 es=0/10
[2026-06-12 22:17:59] Epoch 1 | architecture=[126, 126, 126, 126, 126, 126, 113] train_loss=0.003274 val_loss=0.000187 best=0.000187 es=0/10
