[2026-05-16 23:01:18] Initialized ContinuousLogger for representation_bayes (Mode: bayes)
[2026-05-16 23:02:05] [representation][bayes][cand_000_d2_w4] epoch=15 train_loss=0.965118 val_loss=0.970789 best=0.970789 es=0/5
[2026-05-16 23:02:08] [representation][bayes][cand_000_d2_w4] epoch=16 train_loss=0.959944 val_loss=0.965747 best=0.965747 es=0/5
[2026-05-16 23:02:11] [representation][bayes][cand_000_d2_w4] epoch=17 train_loss=0.954918 val_loss=0.960800 best=0.960800 es=0/5
[2026-05-16 23:02:14] [representation][bayes][cand_000_d2_w4] epoch=18 train_loss=0.949991 val_loss=0.955973 best=0.955973 es=0/5
[2026-05-16 23:02:17] [representation][bayes][cand_000_d2_w4] epoch=19 train_loss=0.945189 val_loss=0.951204 best=0.951204 es=0/5
[2026-05-16 23:02:20] [representation][bayes][cand_000_d2_w4] epoch=20 train_loss=0.940552 val_loss=0.946714 best=0.946714 es=0/5
[2026-05-16 23:02:23] [representation][bayes][cand_000_d2_w4] epoch=21 train_loss=0.936099 val_loss=0.942420 best=0.942420 es=0/5
[2026-05-16 23:02:26] [representation][bayes][cand_000_d2_w4] epoch=22 train_loss=0.931785 val_loss=0.938246 best=0.938246 es=0/5
[2026-05-16 23:02:30] [representation][bayes][cand_000_d2_w4] epoch=23 train_loss=0.927651 val_loss=0.934243 best=0.934243 es=0/5
[2026-05-16 23:02:33] [representation][bayes][cand_000_d2_w4] epoch=24 train_loss=0.923699 val_loss=0.930398 best=0.930398 es=0/5
[2026-05-16 23:02:36] [representation][bayes][cand_000_d2_w4] epoch=25 train_loss=0.919888 val_loss=0.926603 best=0.926603 es=0/5
[2026-05-16 23:02:39] [representation][bayes][cand_000_d2_w4] epoch=26 train_loss=0.916113 val_loss=0.923014 best=0.923014 es=0/5
[2026-05-16 23:02:42] [representation][bayes][cand_000_d2_w4] epoch=27 train_loss=0.912653 val_loss=0.919715 best=0.919715 es=0/5
[2026-05-16 23:02:45] [representation][bayes][cand_000_d2_w4] epoch=28 train_loss=0.909436 val_loss=0.916582 best=0.916582 es=0/5
[2026-05-16 23:02:49] [representation][bayes][cand_000_d2_w4] epoch=29 train_loss=0.906348 val_loss=0.913586 best=0.913586 es=0/5
