[2026-05-18 02:38:47] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 02:38:47] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_137_d1_w138/training_log.txt
[2026-05-18 02:38:47] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_137_d1_w138/training_stats.csv
[2026-05-18 02:38:47] [CANDIDATE] task=representation phase=ae_alt_width index=137 search_phase=width architecture=[138]
[2026-05-18 02:38:54] [representation][ae_alt_width][cand_137_d1_w138] epoch=1 architecture=[138] train_loss=0.354476 val_loss=0.335071 best=0.329042 es=0/5
[2026-05-18 02:38:56] [representation][ae_alt_width][cand_137_d1_w138] epoch=2 architecture=[138] train_loss=0.327602 val_loss=0.332786 best=0.329042 es=0/5
[2026-05-18 02:38:58] [representation][ae_alt_width][cand_137_d1_w138] epoch=3 architecture=[138] train_loss=0.325377 val_loss=0.330817 best=0.329042 es=0/5
[2026-05-18 02:39:00] [representation][ae_alt_width][cand_137_d1_w138] epoch=4 architecture=[138] train_loss=0.324287 val_loss=0.329810 best=0.329042 es=0/5
[2026-05-18 02:39:06] [representation][ae_alt_width][cand_137_d1_w138] epoch=5 architecture=[138] train_loss=0.323207 val_loss=0.327148 best=0.327148 es=0/5
[2026-05-18 02:39:09] [representation][ae_alt_width][cand_137_d1_w138] epoch=6 architecture=[138] train_loss=0.322469 val_loss=0.330437 best=0.327148 es=1/5
[2026-05-18 02:39:11] [representation][ae_alt_width][cand_137_d1_w138] epoch=7 architecture=[138] train_loss=0.323980 val_loss=0.330384 best=0.327148 es=2/5
[2026-05-18 02:39:13] [representation][ae_alt_width][cand_137_d1_w138] epoch=8 architecture=[138] train_loss=0.324318 val_loss=0.330112 best=0.327148 es=3/5
[2026-05-18 02:39:15] [representation][ae_alt_width][cand_137_d1_w138] epoch=9 architecture=[138] train_loss=0.324929 val_loss=0.328404 best=0.327148 es=4/5
[2026-05-18 02:39:21] [representation][ae_alt_width][cand_137_d1_w138] epoch=10 architecture=[138] train_loss=0.323305 val_loss=0.331569 best=0.327148 es=5/5
