[2026-05-18 01:33:34] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 01:33:34] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_051_d1_w52/training_log.txt
[2026-05-18 01:33:34] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_051_d1_w52/training_stats.csv
[2026-05-18 01:33:34] [CANDIDATE] task=representation phase=ae_alt_width index=51 search_phase=width architecture=[52]
[2026-05-18 01:33:39] [representation][ae_alt_width][cand_051_d1_w52] epoch=1 architecture=[52] train_loss=0.424172 val_loss=0.422826 best=0.421163 es=0/5
[2026-05-18 01:33:41] [representation][ae_alt_width][cand_051_d1_w52] epoch=2 architecture=[52] train_loss=0.420179 val_loss=0.421659 best=0.421163 es=0/5
[2026-05-18 01:33:43] [representation][ae_alt_width][cand_051_d1_w52] epoch=3 architecture=[52] train_loss=0.418978 val_loss=0.421307 best=0.421163 es=0/5
[2026-05-18 01:33:46] [representation][ae_alt_width][cand_051_d1_w52] epoch=4 architecture=[52] train_loss=0.418682 val_loss=0.421243 best=0.421163 es=1/5
[2026-05-18 01:33:50] [representation][ae_alt_width][cand_051_d1_w52] epoch=5 architecture=[52] train_loss=0.418718 val_loss=0.421111 best=0.421111 es=0/5
[2026-05-18 01:33:52] [representation][ae_alt_width][cand_051_d1_w52] epoch=6 architecture=[52] train_loss=0.418514 val_loss=0.421240 best=0.421111 es=1/5
[2026-05-18 01:33:55] [representation][ae_alt_width][cand_051_d1_w52] epoch=7 architecture=[52] train_loss=0.418578 val_loss=0.420486 best=0.420486 es=0/5
[2026-05-18 01:33:57] [representation][ae_alt_width][cand_051_d1_w52] epoch=8 architecture=[52] train_loss=0.418557 val_loss=0.421745 best=0.420486 es=1/5
[2026-05-18 01:33:59] [representation][ae_alt_width][cand_051_d1_w52] epoch=9 architecture=[52] train_loss=0.418304 val_loss=0.420830 best=0.420486 es=2/5
[2026-05-18 01:34:04] [representation][ae_alt_width][cand_051_d1_w52] epoch=10 architecture=[52] train_loss=0.418357 val_loss=0.420892 best=0.420486 es=3/5
[2026-05-18 01:34:06] [representation][ae_alt_width][cand_051_d1_w52] epoch=11 architecture=[52] train_loss=0.417802 val_loss=0.421748 best=0.420486 es=4/5
[2026-05-18 01:34:08] [representation][ae_alt_width][cand_051_d1_w52] epoch=12 architecture=[52] train_loss=0.418067 val_loss=0.421113 best=0.420486 es=5/5
