task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc,source_root
anomaly,1,,stl_ablation_r01_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.00162016950415366,115,125,0.2997877860187225,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r02_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.0017059122896195937,115,125,0.2820716969601157,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r03_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.001774341493258089,128,138,0.2833347569501132,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r04_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.0020548288245018204,92,102,0.2853436967851473,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r05_d03_w0047_47_47_47,"[47, 47, 47]",9971,0.0016860149778194315,103,113,0.28946929710586855,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r01_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.04047864507323831,139,149,0.4676180704362491,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r02_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.04504220185128383,115,125,0.48930159164532516,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r03_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.04626566123046188,87,97,0.4714516201336653,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r04_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.045389604123475126,100,110,0.5086519415853635,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r05_d07_w0031_31_31_31_31_31_31_31,"[31, 31, 31, 31, 31, 31, 31]",9819,0.043842977547824756,109,119,0.49567267206830884,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r01_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.08054617164794924,36,46,0.5330579658941288,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r02_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.06444283799647067,82,92,0.5301336678549115,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r03_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.056439342426259746,101,111,0.5029118976909646,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r04_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.06183874973064786,92,102,0.5180579680394898,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r05_d08_w0029_29_29_29_29_29_29_29_29,"[29, 29, 29, 29, 29, 29, 29, 29]",9769,0.05589953911825127,141,151,0.523248009697213,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r02_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.08874015885358227,102,112,0.5586176853719873,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r03_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.09362255496628502,64,74,0.5891624562180319,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r04_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.08987093408778521,106,116,0.5619202214469906,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
anomaly,1,,stl_ablation_r05_d10_w0026_26_26_26_26_26_26_26_26_26_26,"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]",9726,0.09411320114805154,75,85,0.6128379346608266,,MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1
