[2026-06-13 21:02:59] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 21:02:59] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_365_d4_w96/training_log.txt
[2026-06-13 21:02:59] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_365_d4_w96/training_stats.csv
[2026-06-13 21:03:00] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.007827 val_loss=0.003677 best=0.003677 es=0/10
[2026-06-13 21:03:00] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.002439 val_loss=0.002829 best=0.002829 es=0/10
[2026-06-13 21:03:00] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.004159 val_loss=0.003347 best=0.003347 es=0/10
[2026-06-13 21:03:00] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.003185 val_loss=0.001039 best=0.001039 es=0/10
[2026-06-13 21:03:00] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.003273 val_loss=0.002275 best=0.002275 es=0/10
[2026-06-13 21:03:01] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.002131 val_loss=0.004924 best=0.004924 es=0/10
[2026-06-13 21:03:01] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.001994 val_loss=0.001244 best=0.001244 es=0/10
[2026-06-13 21:03:01] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.001071 val_loss=0.001215 best=0.001215 es=0/10
[2026-06-13 21:03:01] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.001226 val_loss=0.002347 best=0.002347 es=0/10
[2026-06-13 21:03:01] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.001585 val_loss=0.000782 best=0.000782 es=0/10
[2026-06-13 21:03:01] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000917 val_loss=0.000680 best=0.000680 es=0/10
[2026-06-13 21:03:02] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000851 val_loss=0.001159 best=0.001159 es=0/10
[2026-06-13 21:03:02] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.001191 val_loss=0.000740 best=0.000740 es=0/10
[2026-06-13 21:03:02] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000736 val_loss=0.000368 best=0.000368 es=0/10
[2026-06-13 21:03:02] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.001217 val_loss=0.000346 best=0.000346 es=0/10
[2026-06-13 21:03:02] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.002128 val_loss=0.000429 best=0.000429 es=0/10
[2026-06-13 21:03:03] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000713 val_loss=0.000469 best=0.000469 es=0/10
[2026-06-13 21:03:03] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000920 val_loss=0.000440 best=0.000440 es=0/10
[2026-06-13 21:03:03] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000487 val_loss=0.000316 best=0.000316 es=0/10
[2026-06-13 21:03:03] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000897 val_loss=0.000300 best=0.000300 es=0/10
[2026-06-13 21:03:03] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000290 val_loss=0.000365 best=0.000365 es=0/10
[2026-06-13 21:03:03] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000650 val_loss=0.000405 best=0.000405 es=0/10
[2026-06-13 21:03:04] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000853 val_loss=0.000311 best=0.000311 es=0/10
[2026-06-13 21:03:04] Epoch 1 | architecture=[96, 96, 96, 78] train_loss=0.000551 val_loss=0.000347 best=0.000347 es=0/10
