[2026-05-16 16:26:42] Initialized ContinuousLogger for representation_stl_from_ae_width_to_depth (Mode: stl_from_ae_width_to_depth)
[2026-05-16 16:32:23] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=35 train_loss=0.282704 val_loss=0.291968 best=0.291968 es=0/5
[2026-05-16 16:32:27] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=36 train_loss=0.285818 val_loss=0.299988 best=0.291968 es=1/5
[2026-05-16 16:32:30] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=37 train_loss=0.279787 val_loss=0.297937 best=0.291968 es=2/5
[2026-05-16 16:32:34] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=38 train_loss=0.280815 val_loss=0.293298 best=0.291968 es=3/5
[2026-05-16 16:32:37] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=39 train_loss=0.279295 val_loss=0.294348 best=0.291968 es=4/5
[2026-05-16 16:33:09] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=40 train_loss=0.275510 val_loss=0.282204 best=0.282204 es=0/5
[2026-05-16 16:33:12] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=41 train_loss=0.267845 val_loss=0.274675 best=0.274675 es=0/5
[2026-05-16 16:33:15] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=42 train_loss=0.267431 val_loss=0.343698 best=0.274675 es=1/5
[2026-05-16 16:33:19] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=43 train_loss=0.274578 val_loss=0.277602 best=0.274675 es=2/5
[2026-05-16 16:33:22] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=44 train_loss=0.265127 val_loss=0.279610 best=0.274675 es=3/5
[2026-05-16 16:33:53] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=45 train_loss=0.264713 val_loss=0.273588 best=0.273588 es=0/5
[2026-05-16 16:33:57] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=46 train_loss=0.261639 val_loss=0.272957 best=0.272957 es=0/5
[2026-05-16 16:34:00] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=47 train_loss=0.263012 val_loss=0.274376 best=0.272957 es=1/5
