[2026-05-24 08:40:51] Initialized ContinuousLogger for denoising_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-24 08:40:51] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_width_to_depth/cand_032_d1_w33/training_log.txt
[2026-05-24 08:40:51] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/ae_width_to_depth/cand_032_d1_w33/training_stats.csv
[2026-05-24 08:40:51] [CANDIDATE] task=denoising phase=ae_width_to_depth index=32 search_phase=width architecture=[33]
[2026-05-24 08:40:55] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=1 architecture=[33] train_loss=0.256036 val_loss=0.248418 candidate_best=0.248418 global_best=0.248418 es=0/5
[2026-05-24 08:40:58] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=2 architecture=[33] train_loss=0.250332 val_loss=0.247973 candidate_best=0.247973 global_best=0.247973 es=0/5
[2026-05-24 08:41:00] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=3 architecture=[33] train_loss=0.249854 val_loss=0.247720 candidate_best=0.247720 global_best=0.247720 es=0/5
[2026-05-24 08:41:03] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=4 architecture=[33] train_loss=0.249587 val_loss=0.247465 candidate_best=0.247465 global_best=0.247465 es=0/5
[2026-05-24 08:41:06] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=5 architecture=[33] train_loss=0.249458 val_loss=0.247431 candidate_best=0.247465 global_best=0.247465 es=1/5
[2026-05-24 08:41:10] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=6 architecture=[33] train_loss=0.249464 val_loss=0.247304 candidate_best=0.247304 global_best=0.247304 es=0/5
[2026-05-24 08:41:12] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=7 architecture=[33] train_loss=0.249317 val_loss=0.247116 candidate_best=0.247116 global_best=0.247116 es=0/5
[2026-05-24 08:41:15] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=8 architecture=[33] train_loss=0.249137 val_loss=0.246998 candidate_best=0.246998 global_best=0.246998 es=0/5
[2026-05-24 08:41:18] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=9 architecture=[33] train_loss=0.248879 val_loss=0.246971 candidate_best=0.246998 global_best=0.246998 es=1/5
[2026-05-24 08:41:21] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=10 architecture=[33] train_loss=0.248890 val_loss=0.246753 candidate_best=0.246753 global_best=0.246753 es=0/5
[2026-05-24 08:41:24] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=11 architecture=[33] train_loss=0.248848 val_loss=0.246919 candidate_best=0.246753 global_best=0.246753 es=1/5
[2026-05-24 08:41:27] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=12 architecture=[33] train_loss=0.248806 val_loss=0.246947 candidate_best=0.246753 global_best=0.246753 es=2/5
[2026-05-24 08:41:29] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=13 architecture=[33] train_loss=0.248642 val_loss=0.246978 candidate_best=0.246753 global_best=0.246753 es=3/5
[2026-05-24 08:41:32] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=14 architecture=[33] train_loss=0.248569 val_loss=0.246825 candidate_best=0.246753 global_best=0.246753 es=4/5
[2026-05-24 08:41:35] [denoising][ae_width_to_depth][cand_032_d1_w33] epoch=15 architecture=[33] train_loss=0.248558 val_loss=0.246764 candidate_best=0.246753 global_best=0.246753 es=5/5
