[2026-05-18 01:46:29] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 01:46:29] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_067_d1_w68/training_log.txt
[2026-05-18 01:46:29] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_067_d1_w68/training_stats.csv
[2026-05-18 01:46:29] [CANDIDATE] task=representation phase=ae_alt_width index=67 search_phase=width architecture=[68]
[2026-05-18 01:46:34] [representation][ae_alt_width][cand_067_d1_w68] epoch=1 architecture=[68] train_loss=0.400166 val_loss=0.397754 best=0.396442 es=0/5
[2026-05-18 01:46:36] [representation][ae_alt_width][cand_067_d1_w68] epoch=2 architecture=[68] train_loss=0.394969 val_loss=0.397149 best=0.396442 es=0/5
[2026-05-18 01:46:38] [representation][ae_alt_width][cand_067_d1_w68] epoch=3 architecture=[68] train_loss=0.393414 val_loss=0.397061 best=0.396442 es=1/5
[2026-05-18 01:46:41] [representation][ae_alt_width][cand_067_d1_w68] epoch=4 architecture=[68] train_loss=0.393773 val_loss=0.397590 best=0.396442 es=2/5
[2026-05-18 01:46:45] [representation][ae_alt_width][cand_067_d1_w68] epoch=5 architecture=[68] train_loss=0.393981 val_loss=0.396462 best=0.396442 es=0/5
[2026-05-18 01:46:48] [representation][ae_alt_width][cand_067_d1_w68] epoch=6 architecture=[68] train_loss=0.393540 val_loss=0.396509 best=0.396442 es=1/5
[2026-05-18 01:46:50] [representation][ae_alt_width][cand_067_d1_w68] epoch=7 architecture=[68] train_loss=0.393294 val_loss=0.396540 best=0.396442 es=2/5
[2026-05-18 01:46:52] [representation][ae_alt_width][cand_067_d1_w68] epoch=8 architecture=[68] train_loss=0.393158 val_loss=0.396072 best=0.396072 es=0/5
[2026-05-18 01:46:55] [representation][ae_alt_width][cand_067_d1_w68] epoch=9 architecture=[68] train_loss=0.393474 val_loss=0.397442 best=0.396072 es=1/5
[2026-05-18 01:47:00] [representation][ae_alt_width][cand_067_d1_w68] epoch=10 architecture=[68] train_loss=0.393530 val_loss=0.395439 best=0.395439 es=0/5
[2026-05-18 01:47:02] [representation][ae_alt_width][cand_067_d1_w68] epoch=11 architecture=[68] train_loss=0.392875 val_loss=0.396051 best=0.395439 es=1/5
[2026-05-18 01:47:04] [representation][ae_alt_width][cand_067_d1_w68] epoch=12 architecture=[68] train_loss=0.393733 val_loss=0.396815 best=0.395439 es=2/5
[2026-05-18 01:47:07] [representation][ae_alt_width][cand_067_d1_w68] epoch=13 architecture=[68] train_loss=0.392540 val_loss=0.398197 best=0.395439 es=3/5
[2026-05-18 01:47:09] [representation][ae_alt_width][cand_067_d1_w68] epoch=14 architecture=[68] train_loss=0.392756 val_loss=0.395928 best=0.395439 es=4/5
[2026-05-18 01:47:14] [representation][ae_alt_width][cand_067_d1_w68] epoch=15 architecture=[68] train_loss=0.392540 val_loss=0.396987 best=0.395439 es=5/5
