task,depth,width,params_mantissa,params_power10
simulation,6,2359,2.8,7
simulation,6,2022,2.0,7
simulation,6,1685,1.4,7
simulation,6,1348,9.1,6
simulation,6,1011,5.1,6
simulation,6,675,2.3,6
simulation,6,338,5.8,5
simulation,6,1,3.3,1
simulation,7,5760,2.0,8
simulation,7,5457,1.8,8
simulation,7,5154,1.6,8
simulation,7,4851,1.4,8
simulation,7,4548,1.2,8
simulation,7,4244,1.1,8
simulation,7,3941,9.3,7
simulation,7,3638,8.0,7
simulation,7,3335,6.7,7
simulation,7,3032,5.5,7
simulation,7,2729,4.5,7
simulation,7,2426,3.5,7
simulation,7,2123,2.7,7
simulation,7,1820,2.0,7
simulation,7,1517,1.4,7
simulation,7,1213,8.9,6
simulation,7,910,5.0,6
simulation,7,607,2.2,6
simulation,7,304,5.6,5
simulation,7,1,3.7,1
simulation,8,5248,1.9,8
simulation,8,4972,1.7,8
simulation,8,4696,1.5,8
simulation,8,4420,1.4,8
simulation,8,4143,1.2,8
simulation,8,3867,1.0,8
simulation,8,3591,9.0,7
simulation,8,3315,7.7,7
simulation,8,3039,6.5,7
simulation,8,2763,5.4,7
simulation,8,2486,4.3,7
simulation,8,2210,3.4,7
simulation,8,1934,2.6,7
simulation,8,1658,1.9,7
simulation,8,1382,1.3,7
simulation,8,1106,8.6,6
simulation,8,829,4.8,6
simulation,8,553,2.2,6
simulation,8,277,5.5,5
simulation,8,1,4.1,1
simulation,9,4864,1.9,8
simulation,9,4608,1.7,8
simulation,9,4352,1.5,8
simulation,9,4096,1.3,8
simulation,9,3840,1.2,8
simulation,9,3584,1.0,8
simulation,9,3328,8.9,7
simulation,9,3072,7.6,7
simulation,9,2816,6.4,7
simulation,9,2560,5.3,7
simulation,9,2305,4.3,7
simulation,9,2049,3.4,7
simulation,9,1793,2.6,7
simulation,9,1537,1.9,7
simulation,9,1281,1.3,7
simulation,9,1025,8.4,6
simulation,9,769,4.8,6
simulation,9,513,2.1,6
simulation,9,257,5.4,5
simulation,9,1,4.5,1
simulation,10,4480,1.8,8
simulation,10,4244,1.6,8
simulation,10,4009,1.4,8
simulation,10,3773,1.3,8
simulation,10,3537,1.1,8
simulation,10,3301,9.8,7
simulation,10,3066,8.5,7
simulation,10,2830,7.2,7
simulation,10,2594,6.1,7
simulation,10,2358,5.0,7
simulation,10,2123,4.1,7
simulation,10,1887,3.2,7
simulation,10,1651,2.5,7
simulation,10,1415,1.8,7
simulation,10,1180,1.3,7
simulation,10,944,8.1,6
simulation,10,708,4.5,6
simulation,10,472,2.0,6
simulation,10,237,5.1,5
simulation,10,1,4.9,1
prediction,1,37568,3.5,6
prediction,1,35591,3.3,6
prediction,1,33614,3.2,6
prediction,1,31636,3.0,6
prediction,1,29659,2.8,6
prediction,1,27682,2.6,6
prediction,1,25705,2.4,6
prediction,1,23728,2.2,6
prediction,1,21750,2.0,6
prediction,1,19773,1.9,6
prediction,1,17796,1.7,6
prediction,1,15819,1.5,6
prediction,1,13841,1.3,6
prediction,1,11864,1.1,6
prediction,1,9887,9.3,5
prediction,1,7910,7.4,5
prediction,1,5933,5.6,5
prediction,1,3955,3.7,5
prediction,1,1978,1.9,5
prediction,1,1,9.5,1
prediction,2,14272,2.1,8
prediction,2,13521,1.8,8
prediction,2,12770,1.6,8
prediction,2,12019,1.5,8
prediction,2,11268,1.3,8
prediction,2,10516,1.1,8
prediction,2,9765,9.6,7
prediction,2,9014,8.2,7
prediction,2,8263,6.9,7
prediction,2,7512,5.7,7
prediction,2,6761,4.6,7
prediction,2,6010,3.7,7
prediction,2,5259,2.8,7
prediction,2,4508,2.1,7
prediction,2,3757,1.4,7
prediction,2,3005,9.3,6
prediction,2,2254,5.3,6
prediction,2,1503,2.4,6
prediction,2,752,6.4,5
prediction,2,1,9.9,1
prediction,3,10560,2.2,8
prediction,3,10004,2.0,8
prediction,3,9449,1.8,8
prediction,3,8893,1.6,8
prediction,3,8337,1.4,8
prediction,3,7781,1.2,8
prediction,3,7226,1.1,8
prediction,3,6670,9.0,7
prediction,3,6114,7.5,7
prediction,3,5558,6.2,7
prediction,3,5003,5.1,7
prediction,3,4447,4.0,7
prediction,3,3891,3.1,7
prediction,3,3335,2.3,7
prediction,3,2780,1.6,7
prediction,3,2224,1.0,7
prediction,3,1668,5.7,6
prediction,3,1112,2.6,6
prediction,3,557,6.8,5
prediction,3,1,1.0,2
prediction,4,8576,2.2,8
prediction,4,8125,2.0,8
prediction,4,7673,1.8,8
prediction,4,7222,1.6,8
prediction,4,6771,1.4,8
prediction,4,6319,1.2,8
prediction,4,5868,1.0,8
prediction,4,5417,8.9,7
prediction,4,4965,7.4,7
prediction,4,4514,6.2,7
prediction,4,4063,5.0,7
prediction,4,3612,4.0,7
prediction,4,3160,3.0,7
prediction,4,2709,2.2,7
prediction,4,2258,1.6,7
prediction,4,1806,10.0,6
prediction,4,1355,5.6,6
prediction,4,904,2.5,6
prediction,4,452,6.6,5
prediction,4,1,1.1,2
prediction,5,7296,2.1,8
prediction,5,6912,1.9,8
prediction,5,6528,1.7,8
prediction,5,6144,1.5,8
prediction,5,5760,1.3,8
prediction,5,5376,1.2,8
prediction,5,4992,1.0,8
prediction,5,4608,8.5,7
prediction,5,4224,7.2,7
prediction,5,3840,5.9,7
prediction,5,3457,4.8,7
prediction,5,3073,3.8,7
prediction,5,2689,2.9,7
prediction,5,2305,2.1,7
prediction,5,1921,1.5,7
prediction,5,1537,9.6,6
prediction,5,1153,5.4,6
prediction,5,769,2.4,6
prediction,5,385,6.3,5
prediction,5,1,1.1,2
prediction,6,6400,2.1,8
prediction,6,6063,1.8,8
prediction,6,5726,1.6,8
prediction,6,5390,1.5,8
prediction,6,5053,1.3,8
prediction,6,4716,1.1,8
prediction,6,4379,9.6,7
prediction,6,4042,8.2,7
prediction,6,3706,6.9,7
prediction,6,3369,5.7,7
prediction,6,3032,4.6,7
prediction,6,2695,3.7,7
prediction,6,2359,2.8,7
prediction,6,2022,2.1,7
prediction,6,1685,1.4,7
prediction,6,1348,9.2,6
prediction,6,1011,5.2,6
prediction,6,675,2.4,6
prediction,6,338,6.1,5
prediction,6,1,1.1,2
prediction,7,5760,2.0,8
prediction,7,5457,1.8,8
prediction,7,5154,1.6,8
prediction,7,4851,1.4,8
prediction,7,4548,1.2,8
prediction,7,4244,1.1,8
prediction,7,3941,9.4,7
prediction,7,3638,8.0,7
prediction,7,3335,6.7,7
prediction,7,3032,5.5,7
prediction,7,2729,4.5,7
prediction,7,2426,3.6,7
prediction,7,2123,2.7,7
prediction,7,1820,2.0,7
prediction,7,1517,1.4,7
prediction,7,1213,9.0,6
prediction,7,910,5.1,6
prediction,7,607,2.3,6
prediction,7,304,5.9,5
prediction,7,1,1.2,2
prediction,8,5248,1.9,8
prediction,8,4972,1.7,8
prediction,8,4696,1.5,8
prediction,8,4420,1.4,8
prediction,8,4143,1.2,8
prediction,8,3867,1.1,8
prediction,8,3591,9.1,7
prediction,8,3315,7.7,7
prediction,8,3039,6.5,7
prediction,8,2763,5.4,7
prediction,8,2486,4.4,7
prediction,8,2210,3.4,7
prediction,8,1934,2.6,7
prediction,8,1658,1.9,7
prediction,8,1382,1.4,7
prediction,8,1106,8.7,6
prediction,8,829,4.9,6
prediction,8,553,2.2,6
prediction,8,277,5.7,5
prediction,8,1,1.2,2
prediction,9,4864,1.9,8
prediction,9,4608,1.7,8
prediction,9,4352,1.5,8
prediction,9,4096,1.3,8
prediction,9,3840,1.2,8
prediction,9,3584,1.0,8
prediction,9,3328,8.9,7
prediction,9,3072,7.6,7
prediction,9,2816,6.4,7
prediction,9,2560,5.3,7
prediction,9,2305,4.3,7
prediction,9,2049,3.4,7
prediction,9,1793,2.6,7
prediction,9,1537,1.9,7
prediction,9,1281,1.3,7
prediction,9,1025,8.5,6
prediction,9,769,4.8,6
prediction,9,513,2.2,6
prediction,9,257,5.6,5
prediction,9,1,1.3,2
prediction,10,4480,1.8,8
prediction,10,4244,1.6,8
prediction,10,4009,1.5,8
prediction,10,3773,1.3,8
prediction,10,3537,1.1,8
prediction,10,3301,9.8,7
prediction,10,3066,8.5,7
prediction,10,2830,7.2,7
prediction,10,2594,6.1,7
prediction,10,2358,5.0,7
prediction,10,2123,4.1,7
prediction,10,1887,3.2,7
prediction,10,1651,2.5,7
prediction,10,1415,1.8,7
prediction,10,1180,1.3,7
prediction,10,944,8.1,6
prediction,10,708,4.6,6
prediction,10,472,2.1,6
prediction,10,237,5.3,5
prediction,10,1,1.3,2
