task,depth,width,params_mantissa,params_power10
denoising,1,11703,1.3,6
denoising,1,9752,1.1,6
denoising,1,7802,8.7,5
denoising,1,5852,6.5,5
denoising,1,3902,4.3,5
denoising,1,1951,2.2,5
denoising,1,1,1.6,2
denoising,2,14272,2.1,8
denoising,2,13521,1.8,8
denoising,2,12770,1.6,8
denoising,2,12019,1.5,8
denoising,2,11268,1.3,8
denoising,2,10516,1.1,8
denoising,2,9765,9.6,7
denoising,2,9014,8.2,7
denoising,2,8263,6.9,7
denoising,2,7512,5.7,7
denoising,2,6761,4.6,7
denoising,2,6010,3.7,7
denoising,2,5259,2.8,7
denoising,2,4508,2.1,7
denoising,2,3757,1.5,7
denoising,2,3005,9.4,6
denoising,2,2254,5.3,6
denoising,2,1503,2.4,6
denoising,2,752,6.5,5
denoising,2,1,1.7,2
denoising,3,10560,2.2,8
denoising,3,10004,2.0,8
denoising,3,9449,1.8,8
denoising,3,8893,1.6,8
denoising,3,8337,1.4,8
denoising,3,7781,1.2,8
denoising,3,7226,1.1,8
denoising,3,6670,9.0,7
denoising,3,6114,7.5,7
denoising,3,5558,6.2,7
denoising,3,5003,5.1,7
denoising,3,4447,4.0,7
denoising,3,3891,3.1,7
denoising,3,3335,2.3,7
denoising,3,2780,1.6,7
denoising,3,2224,1.0,7
denoising,3,1668,5.8,6
denoising,3,1112,2.6,6
denoising,3,557,6.9,5
denoising,3,1,1.7,2
denoising,4,8576,2.2,8
denoising,4,8125,2.0,8
denoising,4,7673,1.8,8
denoising,4,7222,1.6,8
denoising,4,6771,1.4,8
denoising,4,6319,1.2,8
denoising,4,5868,1.0,8
denoising,4,5417,8.9,7
denoising,4,4965,7.5,7
denoising,4,4514,6.2,7
denoising,4,4063,5.0,7
denoising,4,3612,4.0,7
denoising,4,3160,3.0,7
denoising,4,2709,2.2,7
denoising,4,2258,1.6,7
denoising,4,1806,1.0,7
denoising,4,1355,5.7,6
denoising,4,904,2.6,6
denoising,4,452,6.7,5
denoising,4,1,1.8,2
denoising,5,7296,2.1,8
denoising,5,6912,1.9,8
denoising,5,6528,1.7,8
denoising,5,6144,1.5,8
denoising,5,5760,1.3,8
denoising,5,5376,1.2,8
denoising,5,4992,1.0,8
denoising,5,4608,8.6,7
denoising,5,4224,7.2,7
denoising,5,3840,5.9,7
denoising,5,3457,4.8,7
denoising,5,3073,3.8,7
denoising,5,2689,2.9,7
denoising,5,2305,2.2,7
denoising,5,1921,1.5,7
denoising,5,1537,9.6,6
denoising,5,1153,5.5,6
denoising,5,769,2.5,6
denoising,5,385,6.4,5
denoising,5,1,1.8,2
denoising,6,6400,2.1,8
denoising,6,6063,1.8,8
denoising,6,5726,1.6,8
denoising,6,5390,1.5,8
denoising,6,5053,1.3,8
denoising,6,4716,1.1,8
denoising,6,4379,9.6,7
denoising,6,4042,8.2,7
denoising,6,3706,6.9,7
denoising,6,3369,5.7,7
denoising,6,3032,4.6,7
denoising,6,2695,3.7,7
denoising,6,2359,2.8,7
denoising,6,2022,2.1,7
denoising,6,1685,1.4,7
denoising,6,1348,9.3,6
denoising,6,1011,5.2,6
denoising,6,675,2.4,6
denoising,6,338,6.1,5
denoising,6,1,1.9,2
denoising,7,5760,2.0,8
denoising,7,5457,1.8,8
denoising,7,5154,1.6,8
denoising,7,4851,1.4,8
denoising,7,4548,1.2,8
denoising,7,4244,1.1,8
denoising,7,3941,9.4,7
denoising,7,3638,8.0,7
denoising,7,3335,6.7,7
denoising,7,3032,5.6,7
denoising,7,2729,4.5,7
denoising,7,2426,3.6,7
denoising,7,2123,2.7,7
denoising,7,1820,2.0,7
denoising,7,1517,1.4,7
denoising,7,1213,9.0,6
denoising,7,910,5.1,6
denoising,7,607,2.3,6
denoising,7,304,5.9,5
denoising,7,1,1.9,2
denoising,8,5248,1.9,8
denoising,8,4972,1.7,8
denoising,8,4696,1.5,8
denoising,8,4420,1.4,8
denoising,8,4143,1.2,8
denoising,8,3867,1.1,8
denoising,8,3591,9.1,7
denoising,8,3315,7.7,7
denoising,8,3039,6.5,7
denoising,8,2763,5.4,7
denoising,8,2486,4.4,7
denoising,8,2210,3.4,7
denoising,8,1934,2.6,7
denoising,8,1658,1.9,7
denoising,8,1382,1.4,7
denoising,8,1106,8.7,6
denoising,8,829,4.9,6
denoising,8,553,2.2,6
denoising,8,277,5.7,5
denoising,8,1,1.9,2
denoising,9,4800,1.8,8
denoising,9,4547,1.7,8
denoising,9,4295,1.5,8
denoising,9,4042,1.3,8
denoising,9,3790,1.2,8
denoising,9,3537,1.0,8
denoising,9,3285,8.7,7
denoising,9,3032,7.4,7
denoising,9,2779,6.2,7
denoising,9,2527,5.1,7
denoising,9,2274,4.2,7
denoising,9,2022,3.3,7
denoising,9,1769,2.5,7
denoising,9,1516,1.9,7
denoising,9,1264,1.3,7
denoising,9,1011,8.3,6
denoising,9,759,4.7,6
denoising,9,506,2.1,6
denoising,9,254,5.5,5
denoising,9,1,2.0,2
denoising,10,4480,1.8,8
denoising,10,4244,1.6,8
denoising,10,4009,1.5,8
denoising,10,3773,1.3,8
denoising,10,3537,1.1,8
denoising,10,3301,9.9,7
denoising,10,3066,8.5,7
denoising,10,2830,7.2,7
denoising,10,2594,6.1,7
denoising,10,2358,5.0,7
denoising,10,2123,4.1,7
denoising,10,1887,3.2,7
denoising,10,1651,2.5,7
denoising,10,1415,1.8,7
denoising,10,1180,1.3,7
denoising,10,944,8.2,6
denoising,10,708,4.6,6
denoising,10,472,2.1,6
denoising,10,237,5.4,5
denoising,10,1,2.0,2
anomaly,1,20416,2.3,6
anomaly,1,19342,2.1,6
anomaly,1,18267,2.0,6
anomaly,1,17193,1.9,6
anomaly,1,16118,1.8,6
anomaly,1,15044,1.7,6
anomaly,1,13969,1.6,6
anomaly,1,12895,1.4,6
anomaly,1,11820,1.3,6
anomaly,1,10746,1.2,6
anomaly,1,9671,1.1,6
anomaly,1,8597,9.5,5
anomaly,1,7522,8.3,5
anomaly,1,6448,7.2,5
anomaly,1,5373,6.0,5
anomaly,1,4299,4.8,5
anomaly,1,3224,3.6,5
anomaly,1,2150,2.4,5
anomaly,1,1075,1.2,5
anomaly,1,1,1.6,2
anomaly,2,14272,2.1,8
anomaly,2,13521,1.8,8
anomaly,2,12770,1.6,8
anomaly,2,12019,1.5,8
anomaly,2,11268,1.3,8
anomaly,2,10516,1.1,8
