task,family,phase,architecture,best_val,best_epoch,final_epoch,source
autoencoding,ADP,ae_alt_depth,"[89, 89, 89, 89, 88, 88]",0.0019027519011730251,4,4,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/task_summary.json
autoencoding,ADP,ae_alt_width,[83],0.0017266004965750166,10,10,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/task_summary.json
autoencoding,ADP,ae_depth_to_width,"[101, 101, 101, 101, 101, 100, 100, 100, 100, 100]",0.0015207532007559686,4,4,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/task_summary.json
autoencoding,ADP,ae_width_to_depth,[81],0.0014818490814646724,11,11,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/task_summary.json
autoencoding,STL_ablation,stl_ablation_d03_w064_64_64_64,"[64, 64, 64]",0.010044239059581626,98,103,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d03_w096_96_96_96,"[96, 96, 96]",0.005145322418037876,68,73,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d03_w128_128_128_128,"[128, 128, 128]",0.0045945258866481676,42,47,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d03_w160_160_160_160,"[160, 160, 160]",0.002996892265961562,48,53,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d03_w192_192_192_192,"[192, 192, 192]",0.0028774359026397275,34,39,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d03_w224_224_224_224,"[224, 224, 224]",0.0027212365501297887,30,35,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d03_w256_256_256_256,"[256, 256, 256]",0.001856492212890022,37,42,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d04_w064_64_64_64_64,"[64, 64, 64, 64]",0.012035178403345862,98,103,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d04_w096_96_96_96_96,"[96, 96, 96, 96]",0.006139894437314922,66,71,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d04_w128_128_128_128_128,"[128, 128, 128, 128]",0.004605427719847249,50,55,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d04_w160_160_160_160_160,"[160, 160, 160, 160]",0.0037252596917615676,39,44,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d04_w192_192_192_192_192,"[192, 192, 192, 192]",0.003218432498466132,33,38,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d04_w224_224_224_224_224,"[224, 224, 224, 224]",0.003282162342821967,25,30,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d04_w256_256_256_256_256,"[256, 256, 256, 256]",0.0030984271689153036,24,29,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d06_w064_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64]",0.026351283089102787,63,68,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d06_w096_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96]",0.015317022431721899,39,44,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d06_w128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128]",0.009686878328036806,32,37,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d06_w160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160]",0.005772569190796188,33,38,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d06_w192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192]",0.006141794238669947,24,29,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d06_w224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224]",0.0055064918528007056,21,26,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d06_w256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256]",0.004333186955502726,24,29,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d08_w064_64_64_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64, 64, 64]",0.025315877246969997,77,82,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d08_w096_96_96_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96, 96, 96]",0.014290652536010934,50,55,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
autoencoding,STL_ablation,stl_ablation_d08_w128_128_128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128, 128, 128]",0.01020359831680587,38,43,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/autoencoding/ablation_summary.json
