timestamp,model,mode,epoch,width,depth,train_loss,val_loss,neurons,best_val,es_counter,improved,train_acc,val_acc
2026-06-13 00:42:49,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.40571488706539977,0.40209314592112233,50,0.40209314592112233,0,True,0.8322411307846217,0.8345983718008296
2026-06-13 00:42:53,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.40378286890056087,0.402006506124291,50,0.402006506124291,0,True,0.8336653686452529,0.8339615497151512
2026-06-13 00:42:57,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.40357094897065354,0.4031330157601668,50,0.4031330157601668,0,True,0.833486801058497,0.8321199290890002
2026-06-13 00:43:01,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.40498505441047516,0.40169522490635345,50,0.40169522490635345,0,True,0.8325767517910544,0.8337033785993356
2026-06-13 00:43:05,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.4035903427396506,0.4016641454851276,50,0.4016641454851276,0,True,0.8332974763882016,0.8336173215607304
2026-06-13 00:43:08,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.4043499233329982,0.4021657076391369,50,0.4021657076391369,0,True,0.8329554011316452,0.8350458684015766
2026-06-13 00:43:12,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.40425561098705065,0.4020930798165029,50,0.4020930798165029,0,True,0.8329123727974872,0.8328772310287258
2026-06-13 00:43:16,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.4043470052230307,0.40013125991239,50,0.40013125991239,0,True,0.8326455971257073,0.8344606805390613
2026-06-13 00:43:20,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.403486580419724,0.4017832013220326,50,0.4017832013220326,0,True,0.8332071168864698,0.8331181907368204
2026-06-13 00:43:24,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.40321894357386584,0.40041552936679325,50,0.40041552936679325,0,True,0.8336524601450055,0.834340200685014
2026-06-13 00:43:28,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.4033165692311064,0.40375753787685736,50,0.40375753787685736,0,True,0.8335276779759472,0.8341164523846405
2026-06-13 00:43:32,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.40283574019028057,0.40135736135100275,50,0.40135736135100275,0,True,0.8338138163980982,0.8335484759298463
2026-06-13 00:43:36,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.4040714889606416,0.4004832274818258,50,0.4004832274818258,0,True,0.8328004991286763,0.834822120101203
2026-06-13 00:43:40,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.4037722196640994,0.4008394507173355,50,0.4008394507173355,0,True,0.8327553193778103,0.8340992409769195
2026-06-13 00:43:43,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.4032216015119504,0.4009513606107148,50,0.4009513606107148,0,True,0.8335427378929025,0.8338066470456619
2026-06-13 00:43:47,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.40356265004993636,0.4019389126859342,50,0.4019389126859342,0,True,0.8335061638088681,0.8349770227706924
2026-06-13 00:43:51,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.4041277476726958,0.40069980334840427,50,0.40069980334840427,0,True,0.8328994642972397,0.8347360630625978
2026-06-13 00:43:55,MLPS.tabular.shared.dae_dnn.adp_search,width_to_depth,1,43,1,0.40321497527906863,0.4008867892235627,50,0.4008867892235627,0,True,0.833443772724339,0.8343746235004561
