task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail
representation,ae_width_to_depth,0,cand_000_d2_w2,"[2, 2]",0.9163030043891436,196,201,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_000_d2_w2/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_000_d2_w2/checkpoint_last.pt,True,width,0,0
representation,ae_width_to_depth,1,cand_001_d2_w3,"[3, 3]",0.8691719379684145,184,189,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_001_d2_w3/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_001_d2_w3/checkpoint_last.pt,True,width,0,0
representation,ae_width_to_depth,2,cand_002_d2_w4,"[4, 4]",0.8403419572991764,143,148,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_002_d2_w4/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_002_d2_w4/checkpoint_last.pt,True,width,0,0
representation,ae_width_to_depth,3,cand_003_d2_w5,"[5, 5]",0.8095334181922887,86,91,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_003_d2_w5/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_003_d2_w5/checkpoint_last.pt,True,width,0,0
representation,ae_width_to_depth,4,cand_004_d2_w6,"[6, 6]",0.780448008414786,131,136,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_004_d2_w6/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_004_d2_w6/checkpoint_last.pt,True,width,0,0
representation,ae_width_to_depth,5,cand_005_d2_w7,"[7, 7]",0.7560839070920655,142,147,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_005_d2_w7/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_005_d2_w7/checkpoint_last.pt,True,width,0,0
representation,ae_width_to_depth,6,cand_006_d2_w8,"[8, 8]",0.7266218189177474,167,172,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_006_d2_w8/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_006_d2_w8/checkpoint_last.pt,True,width,0,0
representation,ae_width_to_depth,7,cand_007_d2_w9,"[9, 9]",0.7049994582725768,55,60,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_007_d2_w9/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_007_d2_w9/checkpoint_last.pt,True,width,0,0
representation,ae_width_to_depth,8,cand_008_d2_w10,"[10, 10]",0.683294062066539,63,68,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_008_d2_w10/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_008_d2_w10/checkpoint_last.pt,True,width,0,0
representation,ae_width_to_depth,9,cand_009_d2_w11,"[11, 11]",0.6611731314110888,76,81,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_009_d2_w11/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_009_d2_w11/checkpoint_last.pt,True,width,0,0
representation,ae_width_to_depth,10,cand_010_d2_w12,"[12, 12]",0.6402107830254917,64,69,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_010_d2_w12/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_010_d2_w12/checkpoint_last.pt,True,width,0,0
