[2026-05-16 11:31:40] Initialized ContinuousLogger for representation_ae_width_to_depth (Mode: ae_width_to_depth)
[2026-05-16 11:31:40] Logs: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_033_d2_w35/training_log.txt
[2026-05-16 11:31:40] CSV: DAE/DNN/results/goliath_w2d_20260516/representation/ae_width_to_depth/cand_033_d2_w35/training_stats.csv
[2026-05-16 11:31:42] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=1 train_loss=0.222987 val_loss=0.208359 best=0.208359 es=0/5
[2026-05-16 11:31:45] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=2 train_loss=0.214371 val_loss=0.204548 best=0.204548 es=0/5
[2026-05-16 11:31:47] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=3 train_loss=0.211975 val_loss=0.203132 best=0.203132 es=0/5
[2026-05-16 11:31:50] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=4 train_loss=0.211140 val_loss=0.202156 best=0.202156 es=0/5
[2026-05-16 11:31:52] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=5 train_loss=0.210017 val_loss=0.201304 best=0.201304 es=0/5
[2026-05-16 11:31:55] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=6 train_loss=0.209186 val_loss=0.200284 best=0.200284 es=0/5
[2026-05-16 11:31:57] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=7 train_loss=0.208331 val_loss=0.198895 best=0.198895 es=0/5
[2026-05-16 11:31:59] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=8 train_loss=0.206452 val_loss=0.197058 best=0.197058 es=0/5
[2026-05-16 11:32:02] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=9 train_loss=0.204573 val_loss=0.195037 best=0.195037 es=0/5
[2026-05-16 11:32:04] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=10 train_loss=0.202779 val_loss=0.193424 best=0.193424 es=0/5
[2026-05-16 11:32:07] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=11 train_loss=0.201623 val_loss=0.192019 best=0.192019 es=0/5
[2026-05-16 11:32:10] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=12 train_loss=0.200421 val_loss=0.191088 best=0.191088 es=0/5
[2026-05-16 11:32:12] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=13 train_loss=0.199506 val_loss=0.190128 best=0.190128 es=0/5
[2026-05-16 11:32:14] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=14 train_loss=0.198744 val_loss=0.189229 best=0.189229 es=0/5
[2026-05-16 11:32:17] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=15 train_loss=0.197752 val_loss=0.188506 best=0.188506 es=0/5
[2026-05-16 11:32:19] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=16 train_loss=0.197348 val_loss=0.187717 best=0.187717 es=0/5
[2026-05-16 11:32:22] [representation][ae_width_to_depth][cand_033_d2_w35] epoch=17 train_loss=0.196725 val_loss=0.187219 best=0.187219 es=0/5
