[2025-12-16 09:45:38] Initialized ContinuousLogger for ae_stl (Mode: width_to_depth)
[2025-12-16 09:45:38] Logs: results_adp_ae_stl_cifar10_w1d1_w2d\training_log.txt
[2025-12-16 09:45:38] CSV: results_adp_ae_stl_cifar10_w1d1_w2d\training_stats.csv
[2025-12-16 09:45:38] 
================================================================================
[2025-12-16 09:45:38] ADP SEARCH STARTED: mode=width_to_depth, delta=0.001
[2025-12-16 09:45:38] Initial: width=1, depth=1, neurons=2
[2025-12-16 09:45:38] ================================================================================

[2025-12-16 09:45:38] [INITIAL TRAINING] width=1, depth=1
[2025-12-16 09:53:39]   Epoch  59/10000000000000000000 | Device: cuda | Train Loss: 0.005766 | Val Loss: 0.005559 | Best: 0.005559 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:53:47]   Epoch  60/10000000000000000000 | Device: cuda | Train Loss: 0.005748 | Val Loss: 0.005554 | Best: 0.005554 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:53:58]   Epoch  61/10000000000000000000 | Device: cuda | Train Loss: 0.005752 | Val Loss: 0.005588 | Best: 0.005554 | ES: 1/10
[2025-12-16 09:54:08]   Epoch  62/10000000000000000000 | Device: cuda | Train Loss: 0.005760 | Val Loss: 0.005585 | Best: 0.005554 | ES: 2/10
[2025-12-16 09:54:16]   Epoch  63/10000000000000000000 | Device: cuda | Train Loss: 0.005745 | Val Loss: 0.005588 | Best: 0.005554 | ES: 3/10
[2025-12-16 09:54:25]   Epoch  64/10000000000000000000 | Device: cuda | Train Loss: 0.005737 | Val Loss: 0.005539 | Best: 0.005539 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:54:33]   Epoch  65/10000000000000000000 | Device: cuda | Train Loss: 0.005739 | Val Loss: 0.005509 | Best: 0.005509 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:54:41]   Epoch  66/10000000000000000000 | Device: cuda | Train Loss: 0.005722 | Val Loss: 0.005506 | Best: 0.005506 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:54:50]   Epoch  67/10000000000000000000 | Device: cuda | Train Loss: 0.005717 | Val Loss: 0.005516 | Best: 0.005506 | ES: 1/10
[2025-12-16 09:54:58]   Epoch  68/10000000000000000000 | Device: cuda | Train Loss: 0.005722 | Val Loss: 0.005538 | Best: 0.005506 | ES: 2/10
[2025-12-16 09:55:06]   Epoch  69/10000000000000000000 | Device: cuda | Train Loss: 0.005713 | Val Loss: 0.005593 | Best: 0.005506 | ES: 3/10
[2025-12-16 09:55:14]   Epoch  70/10000000000000000000 | Device: cuda | Train Loss: 0.005707 | Val Loss: 0.005518 | Best: 0.005506 | ES: 4/10
