task,phase,phase_type,best_val,best_epoch,final_epoch,test_loss,test_acc,best_checkpoint,candidate_dir
autoencoding,ae_width_only,width_only,0.0008080639426775319,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/autoencoding_d2/autoencoding/ae_width_only/cand_185_d2_w94/checkpoint_best.pt,cand_185_d2_w94
autoencoding,stl_from_ae_width_only,stl_refit,0.0035054915680655784,94,104,0.003796013590258488,,MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/autoencoding_d2/autoencoding/stl_from_ae_width_only/cand_000_d2_w94/checkpoint_best.pt,cand_000_d2_w94
