[2026-05-20 09:18:38] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 09:18:38] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_046_d1_w47/training_log.txt
[2026-05-20 09:18:38] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_046_d1_w47/training_stats.csv
[2026-05-20 09:18:38] [CANDIDATE] task=autoencoding phase=ae_alt_width index=46 search_phase=width architecture=[47]
[2026-05-20 09:18:41] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=1 architecture=[47] train_loss=0.029792 val_loss=0.026883 best=0.026285 es=0/5
[2026-05-20 09:18:43] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=2 architecture=[47] train_loss=0.028198 val_loss=0.026265 best=0.026265 es=0/5
[2026-05-20 09:18:45] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=3 architecture=[47] train_loss=0.027733 val_loss=0.025973 best=0.025973 es=0/5
[2026-05-20 09:18:47] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=4 architecture=[47] train_loss=0.027390 val_loss=0.025845 best=0.025845 es=0/5
[2026-05-20 09:18:49] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=5 architecture=[47] train_loss=0.027287 val_loss=0.025569 best=0.025569 es=0/5
[2026-05-20 09:18:51] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=6 architecture=[47] train_loss=0.026923 val_loss=0.025334 best=0.025334 es=0/5
[2026-05-20 09:18:54] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=7 architecture=[47] train_loss=0.026634 val_loss=0.025006 best=0.025006 es=0/5
[2026-05-20 09:18:56] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=8 architecture=[47] train_loss=0.026281 val_loss=0.024648 best=0.024648 es=0/5
[2026-05-20 09:18:58] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=9 architecture=[47] train_loss=0.025761 val_loss=0.024290 best=0.024290 es=0/5
[2026-05-20 09:19:00] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=10 architecture=[47] train_loss=0.025355 val_loss=0.024000 best=0.024000 es=0/5
[2026-05-20 09:19:02] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=11 architecture=[47] train_loss=0.025170 val_loss=0.023528 best=0.023528 es=0/5
[2026-05-20 09:19:04] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=12 architecture=[47] train_loss=0.025738 val_loss=0.023246 best=0.023246 es=0/5
[2026-05-20 09:19:07] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=13 architecture=[47] train_loss=0.024251 val_loss=0.022789 best=0.022789 es=0/5
[2026-05-20 09:19:09] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=14 architecture=[47] train_loss=0.023865 val_loss=0.022437 best=0.022437 es=0/5
[2026-05-20 09:19:11] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=15 architecture=[47] train_loss=0.023441 val_loss=0.021985 best=0.021985 es=0/5
[2026-05-20 09:19:13] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=16 architecture=[47] train_loss=0.024010 val_loss=0.021707 best=0.021707 es=0/5
[2026-05-20 09:19:15] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=17 architecture=[47] train_loss=0.022502 val_loss=0.021277 best=0.021277 es=0/5
[2026-05-20 09:19:17] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=18 architecture=[47] train_loss=0.022201 val_loss=0.021126 best=0.021126 es=0/5
[2026-05-20 09:19:20] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=19 architecture=[47] train_loss=0.023154 val_loss=0.020972 best=0.020972 es=0/5
[2026-05-20 09:19:22] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=20 architecture=[47] train_loss=0.022008 val_loss=0.020886 best=0.020972 es=1/5
[2026-05-20 09:19:24] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=21 architecture=[47] train_loss=0.021803 val_loss=0.020577 best=0.020577 es=0/5
[2026-05-20 09:19:26] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=22 architecture=[47] train_loss=0.021651 val_loss=0.020440 best=0.020440 es=0/5
[2026-05-20 09:19:28] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=23 architecture=[47] train_loss=0.021535 val_loss=0.020463 best=0.020440 es=1/5
[2026-05-20 09:19:30] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=24 architecture=[47] train_loss=0.021414 val_loss=0.020321 best=0.020321 es=0/5
[2026-05-20 09:19:33] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=25 architecture=[47] train_loss=0.021188 val_loss=0.020118 best=0.020118 es=0/5
[2026-05-20 09:19:35] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=26 architecture=[47] train_loss=0.020967 val_loss=0.020029 best=0.020118 es=1/5
[2026-05-20 09:19:37] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=27 architecture=[47] train_loss=0.021002 val_loss=0.020013 best=0.020013 es=0/5
[2026-05-20 09:19:39] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=28 architecture=[47] train_loss=0.020955 val_loss=0.020010 best=0.020013 es=1/5
[2026-05-20 09:19:41] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=29 architecture=[47] train_loss=0.020848 val_loss=0.019872 best=0.019872 es=0/5
[2026-05-20 09:19:44] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=30 architecture=[47] train_loss=0.020878 val_loss=0.019771 best=0.019771 es=0/5
[2026-05-20 09:19:46] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=31 architecture=[47] train_loss=0.020651 val_loss=0.019820 best=0.019771 es=1/5
[2026-05-20 09:19:48] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=32 architecture=[47] train_loss=0.020617 val_loss=0.019674 best=0.019771 es=2/5
[2026-05-20 09:19:50] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=33 architecture=[47] train_loss=0.021252 val_loss=0.019651 best=0.019651 es=0/5
[2026-05-20 09:19:52] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=34 architecture=[47] train_loss=0.021258 val_loss=0.019628 best=0.019651 es=1/5
[2026-05-20 09:19:55] [autoencoding][ae_alt_width][cand_046_d1_w47] epoch=35 architecture=[47] train_loss=0.020498 val_loss=0.019525 best=0.019525 es=0/5
