[2026-05-18 02:57:21] Initialized ContinuousLogger for representation_ae_alt_width (Mode: ae_alt_width)
[2026-05-18 02:57:21] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_165_d1_w166/training_log.txt
[2026-05-18 02:57:21] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_width/cand_165_d1_w166/training_stats.csv
[2026-05-18 02:57:21] [CANDIDATE] task=representation phase=ae_alt_width index=165 search_phase=width architecture=[166]
[2026-05-18 02:57:28] [representation][ae_alt_width][cand_165_d1_w166] epoch=1 architecture=[166] train_loss=0.329144 val_loss=0.323549 best=0.313966 es=0/5
[2026-05-18 02:57:30] [representation][ae_alt_width][cand_165_d1_w166] epoch=2 architecture=[166] train_loss=0.312219 val_loss=0.320134 best=0.313966 es=0/5
[2026-05-18 02:57:33] [representation][ae_alt_width][cand_165_d1_w166] epoch=3 architecture=[166] train_loss=0.312159 val_loss=0.318409 best=0.313966 es=0/5
[2026-05-18 02:57:35] [representation][ae_alt_width][cand_165_d1_w166] epoch=4 architecture=[166] train_loss=0.310051 val_loss=0.316197 best=0.313966 es=0/5
[2026-05-18 02:57:42] [representation][ae_alt_width][cand_165_d1_w166] epoch=5 architecture=[166] train_loss=0.309482 val_loss=0.316771 best=0.313966 es=1/5
[2026-05-18 02:57:44] [representation][ae_alt_width][cand_165_d1_w166] epoch=6 architecture=[166] train_loss=0.309521 val_loss=0.318935 best=0.313966 es=2/5
[2026-05-18 02:57:46] [representation][ae_alt_width][cand_165_d1_w166] epoch=7 architecture=[166] train_loss=0.311054 val_loss=0.315729 best=0.313966 es=0/5
[2026-05-18 02:57:49] [representation][ae_alt_width][cand_165_d1_w166] epoch=8 architecture=[166] train_loss=0.308823 val_loss=0.314888 best=0.313966 es=0/5
[2026-05-18 02:57:51] [representation][ae_alt_width][cand_165_d1_w166] epoch=9 architecture=[166] train_loss=0.309385 val_loss=0.313839 best=0.313839 es=0/5
[2026-05-18 02:57:58] [representation][ae_alt_width][cand_165_d1_w166] epoch=10 architecture=[166] train_loss=0.308625 val_loss=0.314022 best=0.313839 es=1/5
[2026-05-18 02:58:00] [representation][ae_alt_width][cand_165_d1_w166] epoch=11 architecture=[166] train_loss=0.309496 val_loss=0.315129 best=0.313839 es=2/5
[2026-05-18 02:58:02] [representation][ae_alt_width][cand_165_d1_w166] epoch=12 architecture=[166] train_loss=0.308737 val_loss=0.313824 best=0.313839 es=3/5
[2026-05-18 02:58:05] [representation][ae_alt_width][cand_165_d1_w166] epoch=13 architecture=[166] train_loss=0.308115 val_loss=0.318522 best=0.313839 es=4/5
[2026-05-18 02:58:07] [representation][ae_alt_width][cand_165_d1_w166] epoch=14 architecture=[166] train_loss=0.309861 val_loss=0.313897 best=0.313839 es=5/5
