[2026-05-16 19:36:55] Initialized ContinuousLogger for representation_random (Mode: random)
[2026-05-16 19:36:55] Logs: DAE/DNN/results/search_suite_20260516/representation/random/cand_023_d3_w14/training_log.txt
[2026-05-16 19:36:55] CSV: DAE/DNN/results/search_suite_20260516/representation/random/cand_023_d3_w14/training_stats.csv
[2026-05-16 19:36:58] [representation][random][cand_023_d3_w14] epoch=1 train_loss=1.140130 val_loss=1.023981 best=1.023981 es=0/5
[2026-05-16 19:37:02] [representation][random][cand_023_d3_w14] epoch=2 train_loss=1.028928 val_loss=0.991620 best=0.991620 es=0/5
[2026-05-16 19:37:05] [representation][random][cand_023_d3_w14] epoch=3 train_loss=0.971209 val_loss=0.958239 best=0.958239 es=0/5
[2026-05-16 19:37:07] [representation][random][cand_023_d3_w14] epoch=4 train_loss=0.935318 val_loss=0.927358 best=0.927358 es=0/5
[2026-05-16 19:37:11] [representation][random][cand_023_d3_w14] epoch=5 train_loss=0.905289 val_loss=0.898634 best=0.898634 es=0/5
[2026-05-16 19:37:14] [representation][random][cand_023_d3_w14] epoch=6 train_loss=0.879243 val_loss=0.873946 best=0.873946 es=0/5
[2026-05-16 19:37:17] [representation][random][cand_023_d3_w14] epoch=7 train_loss=0.856260 val_loss=0.852327 best=0.852327 es=0/5
[2026-05-16 19:37:20] [representation][random][cand_023_d3_w14] epoch=8 train_loss=0.835749 val_loss=0.833104 best=0.833104 es=0/5
[2026-05-16 19:37:23] [representation][random][cand_023_d3_w14] epoch=9 train_loss=0.816970 val_loss=0.814717 best=0.814717 es=0/5
[2026-05-16 19:37:26] [representation][random][cand_023_d3_w14] epoch=10 train_loss=0.799604 val_loss=0.797480 best=0.797480 es=0/5
[2026-05-16 19:37:29] [representation][random][cand_023_d3_w14] epoch=11 train_loss=0.783212 val_loss=0.782119 best=0.782119 es=0/5
[2026-05-16 19:37:32] [representation][random][cand_023_d3_w14] epoch=12 train_loss=0.767679 val_loss=0.766899 best=0.766899 es=0/5
[2026-05-16 19:37:36] [representation][random][cand_023_d3_w14] epoch=13 train_loss=0.753114 val_loss=0.753597 best=0.753597 es=0/5
[2026-05-16 19:37:39] [representation][random][cand_023_d3_w14] epoch=14 train_loss=0.740265 val_loss=0.741100 best=0.741100 es=0/5
[2026-05-16 19:37:42] [representation][random][cand_023_d3_w14] epoch=15 train_loss=0.728998 val_loss=0.730717 best=0.730717 es=0/5
[2026-05-16 19:37:45] [representation][random][cand_023_d3_w14] epoch=16 train_loss=0.718092 val_loss=0.721014 best=0.721014 es=0/5
[2026-05-16 19:37:48] [representation][random][cand_023_d3_w14] epoch=17 train_loss=0.708931 val_loss=0.712248 best=0.712248 es=0/5
[2026-05-16 19:37:52] [representation][random][cand_023_d3_w14] epoch=18 train_loss=0.700743 val_loss=0.705212 best=0.705212 es=0/5
[2026-05-16 19:37:55] [representation][random][cand_023_d3_w14] epoch=19 train_loss=0.693504 val_loss=0.697887 best=0.697887 es=0/5
[2026-05-16 19:37:58] [representation][random][cand_023_d3_w14] epoch=20 train_loss=0.687448 val_loss=0.691732 best=0.691732 es=0/5
[2026-05-16 19:38:01] [representation][random][cand_023_d3_w14] epoch=21 train_loss=0.681250 val_loss=0.686244 best=0.686244 es=0/5
[2026-05-16 19:38:04] [representation][random][cand_023_d3_w14] epoch=22 train_loss=0.676234 val_loss=0.681448 best=0.681448 es=0/5
[2026-05-16 19:38:07] [representation][random][cand_023_d3_w14] epoch=23 train_loss=0.671556 val_loss=0.677108 best=0.677108 es=0/5
[2026-05-16 19:38:11] [representation][random][cand_023_d3_w14] epoch=24 train_loss=0.667506 val_loss=0.673200 best=0.673200 es=0/5
[2026-05-16 19:38:14] [representation][random][cand_023_d3_w14] epoch=25 train_loss=0.664027 val_loss=0.669827 best=0.669827 es=0/5
[2026-05-16 19:38:17] [representation][random][cand_023_d3_w14] epoch=26 train_loss=0.660677 val_loss=0.666215 best=0.666215 es=0/5
[2026-05-16 19:38:20] [representation][random][cand_023_d3_w14] epoch=27 train_loss=0.657729 val_loss=0.663529 best=0.663529 es=0/5
[2026-05-16 19:38:24] [representation][random][cand_023_d3_w14] epoch=28 train_loss=0.655028 val_loss=0.660994 best=0.660994 es=0/5
[2026-05-16 19:38:27] [representation][random][cand_023_d3_w14] epoch=29 train_loss=0.652549 val_loss=0.658670 best=0.658670 es=0/5
[2026-05-16 19:38:30] [representation][random][cand_023_d3_w14] epoch=30 train_loss=0.650281 val_loss=0.656291 best=0.656291 es=0/5
[2026-05-16 19:38:33] [representation][random][cand_023_d3_w14] epoch=31 train_loss=0.648032 val_loss=0.654004 best=0.654004 es=0/5
[2026-05-16 19:38:36] [representation][random][cand_023_d3_w14] epoch=32 train_loss=0.646145 val_loss=0.652286 best=0.652286 es=0/5
[2026-05-16 19:38:39] [representation][random][cand_023_d3_w14] epoch=33 train_loss=0.644337 val_loss=0.650331 best=0.650331 es=0/5
[2026-05-16 19:38:43] [representation][random][cand_023_d3_w14] epoch=34 train_loss=0.642658 val_loss=0.648714 best=0.648714 es=0/5
[2026-05-16 19:38:46] [representation][random][cand_023_d3_w14] epoch=35 train_loss=0.641267 val_loss=0.647065 best=0.647065 es=0/5
[2026-05-16 19:38:49] [representation][random][cand_023_d3_w14] epoch=36 train_loss=0.639837 val_loss=0.645598 best=0.645598 es=0/5
[2026-05-16 19:38:52] [representation][random][cand_023_d3_w14] epoch=37 train_loss=0.638478 val_loss=0.644242 best=0.644242 es=0/5
[2026-05-16 19:38:55] [representation][random][cand_023_d3_w14] epoch=38 train_loss=0.637116 val_loss=0.643036 best=0.643036 es=0/5
[2026-05-16 19:38:58] [representation][random][cand_023_d3_w14] epoch=39 train_loss=0.636009 val_loss=0.641728 best=0.641728 es=0/5
[2026-05-16 19:39:02] [representation][random][cand_023_d3_w14] epoch=40 train_loss=0.634781 val_loss=0.640579 best=0.640579 es=0/5
[2026-05-16 19:39:05] [representation][random][cand_023_d3_w14] epoch=41 train_loss=0.633634 val_loss=0.639447 best=0.639447 es=0/5
[2026-05-16 19:39:08] [representation][random][cand_023_d3_w14] epoch=42 train_loss=0.632891 val_loss=0.638326 best=0.638326 es=0/5
[2026-05-16 19:39:11] [representation][random][cand_023_d3_w14] epoch=43 train_loss=0.631997 val_loss=0.637504 best=0.637504 es=0/5
[2026-05-16 19:39:14] [representation][random][cand_023_d3_w14] epoch=44 train_loss=0.631171 val_loss=0.636739 best=0.636739 es=0/5
[2026-05-16 19:39:17] [representation][random][cand_023_d3_w14] epoch=45 train_loss=0.630001 val_loss=0.635755 best=0.635755 es=0/5
[2026-05-16 19:39:20] [representation][random][cand_023_d3_w14] epoch=46 train_loss=0.629185 val_loss=0.634668 best=0.634668 es=0/5
[2026-05-16 19:39:23] [representation][random][cand_023_d3_w14] epoch=47 train_loss=0.628348 val_loss=0.633934 best=0.633934 es=0/5
[2026-05-16 19:39:26] [representation][random][cand_023_d3_w14] epoch=48 train_loss=0.627940 val_loss=0.632992 best=0.632992 es=0/5
[2026-05-16 19:39:30] [representation][random][cand_023_d3_w14] epoch=49 train_loss=0.626851 val_loss=0.632196 best=0.632196 es=0/5
[2026-05-16 19:39:33] [representation][random][cand_023_d3_w14] epoch=50 train_loss=0.625878 val_loss=0.631458 best=0.631458 es=0/5
[2026-05-16 19:39:36] [representation][random][cand_023_d3_w14] epoch=51 train_loss=0.625278 val_loss=0.630747 best=0.630747 es=0/5
[2026-05-16 19:39:39] [representation][random][cand_023_d3_w14] epoch=52 train_loss=0.624259 val_loss=0.629737 best=0.629737 es=0/5
[2026-05-16 19:39:42] [representation][random][cand_023_d3_w14] epoch=53 train_loss=0.623607 val_loss=0.629040 best=0.629040 es=0/5
[2026-05-16 19:39:46] [representation][random][cand_023_d3_w14] epoch=54 train_loss=0.622757 val_loss=0.628172 best=0.628172 es=0/5
[2026-05-16 19:39:49] [representation][random][cand_023_d3_w14] epoch=55 train_loss=0.621978 val_loss=0.627195 best=0.627195 es=0/5
[2026-05-16 19:39:52] [representation][random][cand_023_d3_w14] epoch=56 train_loss=0.621364 val_loss=0.626793 best=0.626793 es=0/5
[2026-05-16 19:39:55] [representation][random][cand_023_d3_w14] epoch=57 train_loss=0.620847 val_loss=0.626091 best=0.626091 es=0/5
[2026-05-16 19:39:58] [representation][random][cand_023_d3_w14] epoch=58 train_loss=0.620109 val_loss=0.625513 best=0.625513 es=0/5
[2026-05-16 19:40:02] [representation][random][cand_023_d3_w14] epoch=59 train_loss=0.619586 val_loss=0.624864 best=0.624864 es=0/5
[2026-05-16 19:40:05] [representation][random][cand_023_d3_w14] epoch=60 train_loss=0.619111 val_loss=0.624410 best=0.624410 es=0/5
[2026-05-16 19:40:08] [representation][random][cand_023_d3_w14] epoch=61 train_loss=0.618459 val_loss=0.623889 best=0.623889 es=0/5
[2026-05-16 19:40:11] [representation][random][cand_023_d3_w14] epoch=62 train_loss=0.618111 val_loss=0.623556 best=0.623556 es=0/5
[2026-05-16 19:40:14] [representation][random][cand_023_d3_w14] epoch=63 train_loss=0.617699 val_loss=0.622875 best=0.622875 es=0/5
[2026-05-16 19:40:18] [representation][random][cand_023_d3_w14] epoch=64 train_loss=0.617053 val_loss=0.622441 best=0.622441 es=0/5
[2026-05-16 19:40:21] [representation][random][cand_023_d3_w14] epoch=65 train_loss=0.616909 val_loss=0.621843 best=0.621843 es=0/5
[2026-05-16 19:40:24] [representation][random][cand_023_d3_w14] epoch=66 train_loss=0.616371 val_loss=0.621564 best=0.621564 es=0/5
[2026-05-16 19:40:27] [representation][random][cand_023_d3_w14] epoch=67 train_loss=0.615938 val_loss=0.621248 best=0.621248 es=0/5
[2026-05-16 19:40:30] [representation][random][cand_023_d3_w14] epoch=68 train_loss=0.615518 val_loss=0.620865 best=0.620865 es=0/5
[2026-05-16 19:40:33] [representation][random][cand_023_d3_w14] epoch=69 train_loss=0.615105 val_loss=0.620196 best=0.620196 es=0/5
[2026-05-16 19:40:36] [representation][random][cand_023_d3_w14] epoch=70 train_loss=0.614709 val_loss=0.619935 best=0.619935 es=0/5
[2026-05-16 19:40:40] [representation][random][cand_023_d3_w14] epoch=71 train_loss=0.614658 val_loss=0.620414 best=0.619935 es=1/5
[2026-05-16 19:40:43] [representation][random][cand_023_d3_w14] epoch=72 train_loss=0.614756 val_loss=0.619989 best=0.619935 es=2/5
[2026-05-16 19:40:46] [representation][random][cand_023_d3_w14] epoch=73 train_loss=0.613864 val_loss=0.619563 best=0.619563 es=0/5
[2026-05-16 19:40:49] [representation][random][cand_023_d3_w14] epoch=74 train_loss=0.613424 val_loss=0.618883 best=0.618883 es=0/5
[2026-05-16 19:40:52] [representation][random][cand_023_d3_w14] epoch=75 train_loss=0.613020 val_loss=0.618434 best=0.618434 es=0/5
[2026-05-16 19:40:55] [representation][random][cand_023_d3_w14] epoch=76 train_loss=0.612686 val_loss=0.618092 best=0.618092 es=0/5
[2026-05-16 19:40:58] [representation][random][cand_023_d3_w14] epoch=77 train_loss=0.612316 val_loss=0.617682 best=0.617682 es=0/5
[2026-05-16 19:41:01] [representation][random][cand_023_d3_w14] epoch=78 train_loss=0.612171 val_loss=0.617328 best=0.617328 es=0/5
