[2026-05-20 08:12:55] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 08:12:55] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_004_d1_w5/training_log.txt
[2026-05-20 08:12:55] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_004_d1_w5/training_stats.csv
[2026-05-20 08:12:55] [CANDIDATE] task=autoencoding phase=ae_alt_width index=4 search_phase=width architecture=[5]
[2026-05-20 08:14:09] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=34 architecture=[5] train_loss=0.791282 val_loss=0.799762 best=0.799762 es=0/5
[2026-05-20 08:14:11] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=35 architecture=[5] train_loss=0.791121 val_loss=0.799618 best=0.799618 es=0/5
[2026-05-20 08:14:13] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=36 architecture=[5] train_loss=0.790966 val_loss=0.799471 best=0.799471 es=0/5
[2026-05-20 08:14:16] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=37 architecture=[5] train_loss=0.790812 val_loss=0.799319 best=0.799319 es=0/5
[2026-05-20 08:14:18] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=38 architecture=[5] train_loss=0.790662 val_loss=0.799176 best=0.799176 es=0/5
[2026-05-20 08:14:20] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=39 architecture=[5] train_loss=0.790526 val_loss=0.799060 best=0.799060 es=0/5
[2026-05-20 08:14:22] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=40 architecture=[5] train_loss=0.790391 val_loss=0.798929 best=0.798929 es=0/5
[2026-05-20 08:14:24] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=41 architecture=[5] train_loss=0.790266 val_loss=0.798807 best=0.798807 es=0/5
[2026-05-20 08:14:26] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=42 architecture=[5] train_loss=0.790136 val_loss=0.798703 best=0.798703 es=0/5
[2026-05-20 08:14:29] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=43 architecture=[5] train_loss=0.790034 val_loss=0.798603 best=0.798603 es=0/5
[2026-05-20 08:14:31] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=44 architecture=[5] train_loss=0.789917 val_loss=0.798490 best=0.798490 es=0/5
[2026-05-20 08:14:33] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=45 architecture=[5] train_loss=0.789811 val_loss=0.798392 best=0.798490 es=1/5
[2026-05-20 08:14:35] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=46 architecture=[5] train_loss=0.789711 val_loss=0.798299 best=0.798299 es=0/5
[2026-05-20 08:14:37] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=47 architecture=[5] train_loss=0.789624 val_loss=0.798217 best=0.798299 es=1/5
[2026-05-20 08:14:39] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=48 architecture=[5] train_loss=0.789514 val_loss=0.798120 best=0.798120 es=0/5
[2026-05-20 08:14:42] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=49 architecture=[5] train_loss=0.789415 val_loss=0.798042 best=0.798120 es=1/5
[2026-05-20 08:14:44] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=50 architecture=[5] train_loss=0.789331 val_loss=0.797954 best=0.797954 es=0/5
[2026-05-20 08:14:46] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=51 architecture=[5] train_loss=0.789239 val_loss=0.797873 best=0.797954 es=1/5
[2026-05-20 08:14:48] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=52 architecture=[5] train_loss=0.789147 val_loss=0.797788 best=0.797788 es=0/5
[2026-05-20 08:14:50] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=53 architecture=[5] train_loss=0.789059 val_loss=0.797707 best=0.797788 es=1/5
[2026-05-20 08:14:53] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=54 architecture=[5] train_loss=0.788977 val_loss=0.797636 best=0.797636 es=0/5
[2026-05-20 08:14:55] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=55 architecture=[5] train_loss=0.788900 val_loss=0.797558 best=0.797636 es=1/5
[2026-05-20 08:14:57] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=56 architecture=[5] train_loss=0.788821 val_loss=0.797492 best=0.797492 es=0/5
[2026-05-20 08:14:59] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=57 architecture=[5] train_loss=0.788753 val_loss=0.797424 best=0.797492 es=1/5
[2026-05-20 08:15:01] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=58 architecture=[5] train_loss=0.788666 val_loss=0.797349 best=0.797349 es=0/5
[2026-05-20 08:15:04] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=59 architecture=[5] train_loss=0.788595 val_loss=0.797279 best=0.797349 es=1/5
[2026-05-20 08:15:06] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=60 architecture=[5] train_loss=0.788514 val_loss=0.797208 best=0.797208 es=0/5
[2026-05-20 08:15:08] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=61 architecture=[5] train_loss=0.788441 val_loss=0.797144 best=0.797208 es=1/5
[2026-05-20 08:15:10] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=62 architecture=[5] train_loss=0.788377 val_loss=0.797084 best=0.797084 es=0/5
[2026-05-20 08:15:12] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=63 architecture=[5] train_loss=0.788307 val_loss=0.797012 best=0.797084 es=1/5
[2026-05-20 08:15:14] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=64 architecture=[5] train_loss=0.788224 val_loss=0.796947 best=0.796947 es=0/5
[2026-05-20 08:15:17] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=65 architecture=[5] train_loss=0.788169 val_loss=0.796890 best=0.796947 es=1/5
