task,family,phase,architecture,best_val,parameter_count,checkpoint_best,label
denoising,STL_ablation,stl_ablation_d04_w064_64_64_64_64,"[64, 64, 64, 64]",0.02073382834244015,20022,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d04_w064_64_64_64_64/cand_000_d4_w64/checkpoint_best.pt,"STL_ablation | stl_ablation_d04_w064_64_64_64_64
[64, 64, 64, 64]"
denoising,STL_ablation,stl_ablation_d04_w096_96_96_96_96,"[96, 96, 96, 96]",0.013977514147051012,39222,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d04_w096_96_96_96_96/cand_000_d4_w96/checkpoint_best.pt,"STL_ablation | stl_ablation_d04_w096_96_96_96_96
[96, 96, 96, 96]"
denoising,STL_ablation,stl_ablation_d04_w128_128_128_128_128,"[128, 128, 128, 128]",0.015552201089653361,64566,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d04_w128_128_128_128_128/cand_000_d4_w128/checkpoint_best.pt,"STL_ablation | stl_ablation_d04_w128_128_128_128_128
[128, 128, 128, 128]"
denoising,STL_ablation,stl_ablation_d04_w160_160_160_160_160,"[160, 160, 160, 160]",0.013449196591462289,96054,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d04_w160_160_160_160_160/cand_000_d4_w160/checkpoint_best.pt,"STL_ablation | stl_ablation_d04_w160_160_160_160_160
[160, 160, 160, 160]"
denoising,STL_ablation,stl_ablation_d04_w192_192_192_192_192,"[192, 192, 192, 192]",0.013894787076619905,133686,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d04_w192_192_192_192_192/cand_000_d4_w192/checkpoint_best.pt,"STL_ablation | stl_ablation_d04_w192_192_192_192_192
[192, 192, 192, 192]"
denoising,STL_ablation,stl_ablation_d04_w224_224_224_224_224,"[224, 224, 224, 224]",0.012899840644549165,177462,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d04_w224_224_224_224_224/cand_000_d4_w224/checkpoint_best.pt,"STL_ablation | stl_ablation_d04_w224_224_224_224_224
[224, 224, 224, 224]"
denoising,STL_ablation,stl_ablation_d04_w256_256_256_256_256,"[256, 256, 256, 256]",0.01196492790068982,227382,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d04_w256_256_256_256_256/cand_000_d4_w256/checkpoint_best.pt,"STL_ablation | stl_ablation_d04_w256_256_256_256_256
[256, 256, 256, 256]"
denoising,STL_ablation,stl_ablation_d06_w064_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64]",0.03485941987758667,28598,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d06_w064_64_64_64_64_64_64/cand_000_d6_w64/checkpoint_best.pt,"STL_ablation | stl_ablation_d06_w064_64_64_64_64_64_64
[64, 64, 64, 64, 64, 64]"
denoising,STL_ablation,stl_ablation_d06_w096_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96]",0.019958572743901313,58230,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d06_w096_96_96_96_96_96_96/cand_000_d6_w96/checkpoint_best.pt,"STL_ablation | stl_ablation_d06_w096_96_96_96_96_96_96
[96, 96, 96, 96, 96, 96]"
denoising,STL_ablation,stl_ablation_d06_w128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128]",0.025857145753635492,98102,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d06_w128_128_128_128_128_128_128/cand_000_d6_w128/checkpoint_best.pt,"STL_ablation | stl_ablation_d06_w128_128_128_128_128_128_128
[128, 128, 128, 128, 128, 128]"
