[2026-05-20 09:35:36] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 09:35:36] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_074_d1_w75/training_log.txt
[2026-05-20 09:35:36] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_074_d1_w75/training_stats.csv
[2026-05-20 09:35:36] [CANDIDATE] task=autoencoding phase=ae_alt_width index=74 search_phase=width architecture=[75]
[2026-05-20 09:35:39] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=1 architecture=[75] train_loss=0.003546 val_loss=0.002459 best=0.002175 es=0/5
[2026-05-20 09:35:41] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=2 architecture=[75] train_loss=0.002793 val_loss=0.002290 best=0.002175 es=0/5
[2026-05-20 09:35:43] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=3 architecture=[75] train_loss=0.002606 val_loss=0.002191 best=0.002175 es=1/5
[2026-05-20 09:35:46] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=4 architecture=[75] train_loss=0.002646 val_loss=0.002221 best=0.002175 es=2/5
[2026-05-20 09:35:48] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=5 architecture=[75] train_loss=0.002586 val_loss=0.002186 best=0.002175 es=0/5
[2026-05-20 09:35:50] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=6 architecture=[75] train_loss=0.002518 val_loss=0.002129 best=0.002175 es=1/5
[2026-05-20 09:35:53] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=7 architecture=[75] train_loss=0.002539 val_loss=0.002028 best=0.002028 es=0/5
[2026-05-20 09:35:55] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=8 architecture=[75] train_loss=0.002517 val_loss=0.002202 best=0.002028 es=1/5
[2026-05-20 09:35:57] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=9 architecture=[75] train_loss=0.002575 val_loss=0.002046 best=0.002028 es=2/5
[2026-05-20 09:35:59] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=10 architecture=[75] train_loss=0.002475 val_loss=0.002060 best=0.002028 es=3/5
[2026-05-20 09:36:02] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=11 architecture=[75] train_loss=0.002485 val_loss=0.002134 best=0.002028 es=4/5
[2026-05-20 09:36:04] [autoencoding][ae_alt_width][cand_074_d1_w75] epoch=12 architecture=[75] train_loss=0.002538 val_loss=0.002066 best=0.002028 es=5/5
