[2025-12-14 16:09:35] Initialized ContinuousLogger for cnn_stl (Mode: width_only)
[2025-12-14 16:09:35] Logs: results_adp_cnn_infinity\training_log.txt
[2025-12-14 16:09:35] CSV: results_adp_cnn_infinity\training_stats.csv
[2025-12-14 16:09:35] [INITIAL TRAINING]
[2025-12-14 16:12:42]   Epoch 20/10000000000000000000 | Device: cuda | Val Loss: 1.946122 | Best: 1.946122 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:12:52]   Epoch 21/10000000000000000000 | Device: cuda | Val Loss: 1.949619 | Best: 1.946122 | ES: 1/10
[2025-12-14 16:13:01]   Epoch 22/10000000000000000000 | Device: cuda | Val Loss: 1.946745 | Best: 1.946122 | ES: 2/10
[2025-12-14 16:13:10]   Epoch 23/10000000000000000000 | Device: cuda | Val Loss: 1.953903 | Best: 1.946122 | ES: 3/10
[2025-12-14 16:13:18]   Epoch 24/10000000000000000000 | Device: cuda | Val Loss: 1.941439 | Best: 1.941439 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:13:26]   Epoch 25/10000000000000000000 | Device: cuda | Val Loss: 1.939273 | Best: 1.939273 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:13:35]   Epoch 26/10000000000000000000 | Device: cuda | Val Loss: 1.936512 | Best: 1.936512 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:13:40]   Epoch 27/10000000000000000000 | Device: cuda | Val Loss: 1.951120 | Best: 1.936512 | ES: 1/10
[2025-12-14 16:13:44]   Epoch 28/10000000000000000000 | Device: cuda | Val Loss: 1.938573 | Best: 1.936512 | ES: 2/10
[2025-12-14 16:13:48]   Epoch 29/10000000000000000000 | Device: cuda | Val Loss: 1.940590 | Best: 1.936512 | ES: 3/10
[2025-12-14 16:13:57]   Epoch 30/10000000000000000000 | Device: cuda | Val Loss: 1.930971 | Best: 1.930971 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:14:06]   Epoch 31/10000000000000000000 | Device: cuda | Val Loss: 1.935229 | Best: 1.930971 | ES: 1/10
[2025-12-14 16:14:17]   Epoch 32/10000000000000000000 | Device: cuda | Val Loss: 1.943091 | Best: 1.930971 | ES: 2/10
[2025-12-14 16:14:26]   Epoch 33/10000000000000000000 | Device: cuda | Val Loss: 1.933677 | Best: 1.930971 | ES: 3/10
[2025-12-14 16:14:35]   Epoch 34/10000000000000000000 | Device: cuda | Val Loss: 1.938450 | Best: 1.930971 | ES: 4/10
[2025-12-14 16:14:45]   Epoch 35/10000000000000000000 | Device: cuda | Val Loss: 1.926182 | Best: 1.926182 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:14:56]   Epoch 36/10000000000000000000 | Device: cuda | Val Loss: 1.934929 | Best: 1.926182 | ES: 1/10
[2025-12-14 16:15:04]   Epoch 37/10000000000000000000 | Device: cuda | Val Loss: 1.939632 | Best: 1.926182 | ES: 2/10
[2025-12-14 16:15:13]   Epoch 38/10000000000000000000 | Device: cuda | Val Loss: 1.950024 | Best: 1.926182 | ES: 3/10
[2025-12-14 16:15:22]   Epoch 39/10000000000000000000 | Device: cuda | Val Loss: 1.931434 | Best: 1.926182 | ES: 4/10
[2025-12-14 16:15:30]   Epoch 40/10000000000000000000 | Device: cuda | Val Loss: 1.919438 | Best: 1.919438 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:15:40]   Epoch 41/10000000000000000000 | Device: cuda | Val Loss: 1.934721 | Best: 1.919438 | ES: 1/10
[2025-12-14 16:15:48]   Epoch 42/10000000000000000000 | Device: cuda | Val Loss: 1.921091 | Best: 1.919438 | ES: 2/10
[2025-12-14 16:15:58]   Epoch 43/10000000000000000000 | Device: cuda | Val Loss: 1.921899 | Best: 1.919438 | ES: 3/10
[2025-12-14 16:16:07]   Epoch 44/10000000000000000000 | Device: cuda | Val Loss: 1.932342 | Best: 1.919438 | ES: 4/10
[2025-12-14 16:16:17]   Epoch 45/10000000000000000000 | Device: cuda | Val Loss: 1.925009 | Best: 1.919438 | ES: 5/10
[2025-12-14 16:16:26]   Epoch 46/10000000000000000000 | Device: cuda | Val Loss: 1.918708 | Best: 1.918708 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:16:35]   Epoch 47/10000000000000000000 | Device: cuda | Val Loss: 1.930685 | Best: 1.918708 | ES: 1/10
[2025-12-14 16:16:45]   Epoch 48/10000000000000000000 | Device: cuda | Val Loss: 1.934539 | Best: 1.918708 | ES: 2/10
[2025-12-14 16:16:55]   Epoch 49/10000000000000000000 | Device: cuda | Val Loss: 1.919678 | Best: 1.918708 | ES: 3/10
[2025-12-14 16:17:03]   Epoch 50/10000000000000000000 | Device: cuda | Val Loss: 1.910637 | Best: 1.910637 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:17:12]   Epoch 51/10000000000000000000 | Device: cuda | Val Loss: 1.910165 | Best: 1.910165 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:17:21]   Epoch 52/10000000000000000000 | Device: cuda | Val Loss: 1.921557 | Best: 1.910165 | ES: 1/10
[2025-12-14 16:17:30]   Epoch 53/10000000000000000000 | Device: cuda | Val Loss: 1.905737 | Best: 1.905737 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:17:39]   Epoch 54/10000000000000000000 | Device: cuda | Val Loss: 1.922465 | Best: 1.905737 | ES: 1/10
[2025-12-14 16:17:47]   Epoch 55/10000000000000000000 | Device: cuda | Val Loss: 1.909712 | Best: 1.905737 | ES: 2/10
[2025-12-14 16:17:56]   Epoch 56/10000000000000000000 | Device: cuda | Val Loss: 1.916440 | Best: 1.905737 | ES: 3/10
[2025-12-14 16:18:04]   Epoch 57/10000000000000000000 | Device: cuda | Val Loss: 1.914304 | Best: 1.905737 | ES: 4/10
[2025-12-14 16:18:12]   Epoch 58/10000000000000000000 | Device: cuda | Val Loss: 1.902112 | Best: 1.902112 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:18:21]   Epoch 59/10000000000000000000 | Device: cuda | Val Loss: 1.913122 | Best: 1.902112 | ES: 1/10
[2025-12-14 16:18:30]   Epoch 60/10000000000000000000 | Device: cuda | Val Loss: 1.910545 | Best: 1.902112 | ES: 2/10
[2025-12-14 16:18:39]   Epoch 61/10000000000000000000 | Device: cuda | Val Loss: 1.909078 | Best: 1.902112 | ES: 3/10
[2025-12-14 16:18:48]   Epoch 62/10000000000000000000 | Device: cuda | Val Loss: 1.912162 | Best: 1.902112 | ES: 4/10
[2025-12-14 16:18:57]   Epoch 63/10000000000000000000 | Device: cuda | Val Loss: 1.901997 | Best: 1.901997 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:19:06]   Epoch 64/10000000000000000000 | Device: cuda | Val Loss: 1.905476 | Best: 1.901997 | ES: 1/10
[2025-12-14 16:19:15]   Epoch 65/10000000000000000000 | Device: cuda | Val Loss: 1.899211 | Best: 1.899211 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:19:26]   Epoch 66/10000000000000000000 | Device: cuda | Val Loss: 1.915833 | Best: 1.899211 | ES: 1/10
[2025-12-14 16:19:36]   Epoch 67/10000000000000000000 | Device: cuda | Val Loss: 1.909734 | Best: 1.899211 | ES: 2/10
[2025-12-14 16:19:45]   Epoch 68/10000000000000000000 | Device: cuda | Val Loss: 1.895333 | Best: 1.895333 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:19:53]   Epoch 69/10000000000000000000 | Device: cuda | Val Loss: 1.897989 | Best: 1.895333 | ES: 1/10
[2025-12-14 16:20:02]   Epoch 70/10000000000000000000 | Device: cuda | Val Loss: 1.902760 | Best: 1.895333 | ES: 2/10
[2025-12-14 16:20:11]   Epoch 71/10000000000000000000 | Device: cuda | Val Loss: 1.897726 | Best: 1.895333 | ES: 3/10
[2025-12-14 16:20:20]   Epoch 72/10000000000000000000 | Device: cuda | Val Loss: 1.897830 | Best: 1.895333 | ES: 4/10
[2025-12-14 16:20:29]   Epoch 73/10000000000000000000 | Device: cuda | Val Loss: 1.897406 | Best: 1.895333 | ES: 5/10
[2025-12-14 16:20:40]   Epoch 74/10000000000000000000 | Device: cuda | Val Loss: 1.898941 | Best: 1.895333 | ES: 6/10
[2025-12-14 16:20:49]   Epoch 75/10000000000000000000 | Device: cuda | Val Loss: 1.910613 | Best: 1.895333 | ES: 7/10
[2025-12-14 16:20:58]   Epoch 76/10000000000000000000 | Device: cuda | Val Loss: 1.899330 | Best: 1.895333 | ES: 8/10
[2025-12-14 16:21:08]   Epoch 77/10000000000000000000 | Device: cuda | Val Loss: 1.900144 | Best: 1.895333 | ES: 9/10
